# alpha,l1_mean,l1_std
1.261856883066020951e-01,9.847584870380006183e-01,5.393550313551468550e-02
1.788649529057436127e-01,9.513399927875326734e-01,5.391634493995971916e-02
2.535364493970112543e-01,9.561598659169281422e-01,6.706773353101470880e-02
3.593813663804629188e-01,9.289098947135954187e-01,3.813614317332969517e-02
5.094138014816381732e-01,9.094783843239563348e-01,7.202804109815877376e-02
7.220809018385467848e-01,8.839658671483485719e-01,5.047590755882756797e-02
1.023531021899026783e+00,8.277023436883436114e-01,5.120741372831677518e-02
1.450828778495940163e+00,8.048380513415182014e-01,5.223156154327461553e-02
2.056512308348652507e+00,7.069313393351011054e-01,2.789390577896599249e-02
2.915053062825177399e+00,6.184900047561393555e-01,3.346746408618794799e-02
4.132012400115338657e+00,5.013369940873664277e-01,3.529564183121092213e-02
5.857020818056669853e+00,4.234742761462369498e-01,1.530432720020763297e-02
8.302175681319747369e+00,3.191624898048740500e-01,2.245474055833337340e-02
1.176811952434998432e+01,2.387281376072693251e-01,1.557472067494977859e-02
1.668100537200059819e+01,1.850641869542740403e-01,1.332922676556655070e-02
2.364489412645408350e+01,1.305907010673768853e-01,1.161881999826997955e-02
3.351602650938842487e+01,9.513672371424179708e-02,2.708083609663432170e-03
4.750810162102800405e+01,7.777551183859596207e-02,5.754851754825776600e-03
6.734150657750825530e+01,5.851457379728593200e-02,3.771625150652456026e-03
9.545484566618341660e+01,4.869889283787204315e-02,3.839738321483855254e-03
1.353047774579807481e+02,4.250712158800068474e-02,5.415067901271323168e-03
1.917910261672488730e+02,3.458572804381652988e-02,8.573472209127555935e-03
2.718588242732940330e+02,2.986235905419357822e-02,5.870272874056117578e-03
