# alpha,l2_mean,l2_std,hub_mean,hub_std
1.261856883066020951e-01,9.815398579926609690e-01,4.308529241780501007e-02,9.692029746427823778e-01,3.197819381636043262e-02
1.788649529057436127e-01,9.587080153942167948e-01,2.107946628402440972e-02,9.542555089318824901e-01,2.864416912472556032e-02
2.535364493970112543e-01,9.656069024525415490e-01,3.895250568367470551e-02,9.532838883692160703e-01,3.845590456730348106e-02
3.593813663804629188e-01,9.543944175682350650e-01,4.166645049420942409e-02,9.378986956118572360e-01,2.889470385695735305e-02
5.094138014816381732e-01,9.299075072419421550e-01,3.514133504097099320e-02,8.847920357972443028e-01,2.328624023978593735e-02
7.220809018385467848e-01,9.144241182491572584e-01,3.472884036062082180e-02,8.542914584696118530e-01,2.966720798021309918e-02
1.023531021899026783e+00,8.496460128486175156e-01,2.700105958345756785e-02,8.213422833415833235e-01,2.984642460765071434e-02
1.450828778495940163e+00,8.023095764665372220e-01,3.291876195718090869e-02,7.377484673036217577e-01,3.175061018185038747e-02
2.056512308348652507e+00,7.348305563030357312e-01,3.761959943669732076e-02,6.726154155989627625e-01,2.448486458270376573e-02
2.915053062825177399e+00,6.628922635449522316e-01,2.561757239554143459e-02,5.794070747110834363e-01,2.440274677621518534e-02
4.132012400115338657e+00,5.588425455739974845e-01,3.227488019047724394e-02,4.719821347953733204e-01,2.367489178619670495e-02
5.857020818056669853e+00,4.900540045867886052e-01,2.605631889685655275e-02,3.653733231392699010e-01,1.662260015888838635e-02
8.302175681319747369e+00,3.994916694427380621e-01,1.513177058171371464e-02,2.873221097826642034e-01,8.224773584645272625e-03
1.176811952434998432e+01,3.127742441704734477e-01,1.460759830449031085e-02,2.164743431167880650e-01,8.573640421166664471e-03
1.668100537200059819e+01,2.475444624882889855e-01,7.730328738301082449e-03,1.549920034102587607e-01,8.594911419864207855e-03
2.364489412645408350e+01,1.887148711037960891e-01,7.684464544956331154e-03,1.093868529463119244e-01,7.583510987777310371e-03
3.351602650938842487e+01,1.611768195634658007e-01,9.297035099583692355e-03,8.925161443128555583e-02,4.264382211988801234e-03
4.750810162102800405e+01,1.400733573467268789e-01,8.910988214546649439e-03,6.923801552709536733e-02,3.344667518684798623e-03
6.734150657750825530e+01,1.260487783764180914e-01,6.842395154928720274e-03,5.644670277765104910e-02,3.290544240828193173e-03
9.545484566618341660e+01,1.147688653803139447e-01,6.628351035065874891e-03,4.674904881199879597e-02,1.738541128039601839e-03
1.353047774579807481e+02,1.091058123089434506e-01,5.212773299256612085e-03,3.944978976073792998e-02,1.677475957588314952e-03
1.917910261672488730e+02,1.054807401673228950e-01,3.604941556021922476e-03,3.612868132732734161e-02,1.528429554806707939e-03
2.718588242732940330e+02,9.863847546767509633e-02,5.698480931364238028e-03,3.246807989541760503e-02,1.339910437236047211e-03
3.853528593710527161e+02,9.954617853573813346e-02,5.076771128545229904e-03,2.932345444664814435e-02,1.294530812342420010e-03
5.462277217684347761e+02,9.481016125350254231e-02,4.314461409114293995e-03,2.801048842912168269e-02,1.184160517414703170e-03
7.742636826811277615e+02,9.367543109224647779e-02,5.336905557276361636e-03,2.674765867824553320e-02,7.918296308952592908e-04
