# alpha,err_l2,lambda_l2,err_l1,lambda_l1,err_huber,lambda_hub,huber_param,err_bo
1.000000000000000472e-01,9.833465323884453824e-01,3.134192458925920022e+00,9.823564979693496513e-01,2.024601478757059869e+00,9.798299592926842383e-01,1.683550261268496939e+00,1.107934917608329961e+00,9.792943230283361888e-01
1.123324032978027937e-01,9.813259686036847063e-01,3.133070826700874889e+00,9.802062448454618160e-01,2.022921013650589295e+00,9.773754408351378320e-01,1.680874433243671362e+00,1.107132138405147348e+00,9.767699747535272259e-01
1.261856883066020951e-01,9.790647814458603992e-01,3.131798139057448971e+00,9.777974872656021166e-01,2.021033633851064160e+00,9.746267892454413273e-01,1.677876008156413024e+00,1.106235966808418958e+00,9.739419503427361180e-01
1.417474162926805892e-01,9.765354822993461692e-01,3.130351295495083619e+00,9.751000785568346707e-01,2.018913708189494116e+00,9.715499511459233517e-01,1.674516726214365647e+00,1.105235955406592474e+00,9.707747988518683480e-01
1.592282793341092961e-01,9.737077422243823888e-01,3.128704908334953849e+00,9.720806019828662770e-01,2.016533049288662838e+00,9.681072451928017797e-01,1.670754504168043830e+00,1.104121160029349236e+00,9.672292206292175676e-01
1.788649529057436127e-01,9.705481764036136827e-01,3.126829015541678913e+00,9.687020821115013280e-01,2.013859324568817222e+00,9.642570602370216237e-01,1.666542076052095478e+00,1.102879119220213422e+00,9.632617293421732452e-01
2.009233002565047888e-01,9.670201336029132788e-01,3.124688877418605681e+00,9.649236894873420844e-01,2.010856954374895089e+00,9.599535526452707135e-01,1.661828431307560638e+00,1.101497463194284876e+00,9.588243078586266011e-01
2.257019719633921451e-01,9.630834980953170144e-01,3.122244315867405362e+00,9.607004448644763661e-01,2.007485384808789242e+00,9.551463514675961886e-01,1.656555596992793422e+00,1.099961656606456728e+00,9.538640662873769660e-01
2.535364493970112543e-01,9.586945136544297030e-01,3.119446817295599139e+00,9.559829316644368191e-01,2.003699519521288330e+00,9.497802831951295266e-01,1.650660830928932121e+00,1.098257093764142711e+00,9.483229139911451000e-01
2.848035868435803142e-01,9.538056417716641588e-01,3.116241209880626695e+00,9.507170283657684351e-01,1.999448942486596881e+00,9.437951316687427372e-01,1.644074235435974085e+00,1.096367945956540524e+00,9.421372612914631350e-01
3.199267137797385252e-01,9.483654691982718044e-01,3.112562156563158045e+00,9.448436763246728098e-01,1.994676985331766073e+00,9.371254534111126411e-01,1.636719364756636041e+00,1.094277586314482242e+00,9.352377722822504680e-01
3.593813663804629188e-01,9.423186832900714016e-01,3.108331817042636835e+00,9.382987031997402916e-01,1.989320468261538855e+00,9.297004743953301009e-01,1.628512902176615817e+00,1.091969000757814001e+00,9.275491967222675438e-01
4.037017258596556912e-01,9.356061372054560454e-01,3.103459835070736972e+00,9.310127278325806000e-01,1.983308560127648335e+00,9.214441011521907754e-01,1.619363989464654097e+00,1.089425072241006154e+00,9.189903174073466019e-01
4.534878508128584174e-01,9.281650310670825910e-01,3.097839335889382095e+00,9.229111792235669132e-01,1.976561897573285931e+00,9.122750872228503338e-01,1.609173250291255464e+00,1.086627919086345706e+00,9.094740595959367457e-01
5.094138014816381732e-01,9.199292389414760462e-01,3.091343952898994107e+00,9.139144701897263801e-01,1.968992343229613251e+00,9.021074053617887945e-01,1.597833702312128956e+00,1.083560711861652814e+00,8.989078212941560286e-01
5.722367659350220404e-01,9.108298151918121643e-01,3.083825235523112607e+00,9.039383753528191789e-01,1.960501690339977010e+00,8.908508860902826232e-01,1.585230513498213423e+00,1.080207557253927142e+00,8.871940974386361978e-01
6.428073117284324178e-01,9.007957165714944869e-01,3.075107731775111652e+00,8.928946730615435756e-01,1.950980436470824753e+00,8.784121945347784788e-01,1.571240090087368202e+00,1.076553869362292470e+00,8.742314868814293760e-01
7.220809018385467848e-01,8.897547778775494187e-01,3.064984604499843002e+00,8.806921212076466166e-01,1.940307265361385536e+00,8.646962280392389566e-01,1.555731676245048156e+00,1.072587871601253351e+00,8.599161884234793884e-01
8.111308307896873959e-01,8.776349782030021807e-01,3.053212523342160978e+00,8.672378466662953311e-01,1.928347216125889219e+00,8.496080264705667684e-01,1.538566894923922845e+00,1.068301163673145648e+00,8.441441078920066676e-01
9.111627561154895805e-01,8.643660307816338761e-01,3.039505006516830754e+00,8.524392363096329195e-01,1.914951640074371131e+00,8.330552924674761162e-01,1.519600731654729531e+00,1.063689839149214000e+00,8.268137116758843552e-01
1.023531021899026783e+00,8.498813209898801180e-01,3.023525660926090985e+00,8.362064196058598409e-01,1.899956430365756566e+00,8.149516169556735301e-01,1.498682475729681274e+00,1.058755992574372806e+00,8.078297663689620878e-01
1.149756995397736237e+00,8.341202026620433418e-01,3.004881009314447571e+00,8.184554301195761106e-01,1.883181210239033065e+00,7.952204910658751125e-01,1.475656643206854746e+00,1.053508642098397674e+00,7.871080929790643665e-01
1.291549665014884773e+00,8.170306420038665474e-01,2.983110178906632548e+00,7.991121141659376370e-01,1.864428357163489869e+00,7.738001525564612848e-01,1.450364445049085793e+00,1.047965781472048441e+00,7.645814272590798488e-01
1.450828778495940163e+00,7.985721691504676922e-01,2.957676476967629586e+00,7.781168184850437708e-01,1.843482381058332287e+00,7.506492547603156318e-01,1.422644628271515277e+00,1.042155062560736534e+00,7.402063993704102174e-01
1.629750834620645072e+00,7.787190606954763616e-01,2.927955967617855482e+00,7.554298272022239580e-01,1.820108559830186046e+00,7.257532510481495835e-01,1.392334528387459081e+00,1.036115404583751731e+00,7.139715130199210114e-01
1.830738280295368670e+00,7.574636327074872888e-01,2.893226791981283075e+00,7.310374212708121711e-01,1.794052878922226313e+00,6.991312475531333837e-01,1.359269343963406484e+00,1.029896890780787722e+00,6.859057987362578990e-01
2.056512308348652507e+00,7.348194758794569514e-01,2.852655349816703989e+00,7.049582999407071338e-01,1.765040511406582358e+00,6.708428974325713057e-01,1.323282967441231861e+00,1.023562215001502906e+00,6.560875352916344383e-01
2.310129700083160209e+00,7.108244173117403975e-01,2.805283516732493876e+00,6.772499358362276123e-01,1.732775351649052054e+00,6.409946895872903339e-01,1.284203628352862836e+00,1.017184727903980290e+00,6.246520904608702240e-01
2.595024211399737268e+00,6.855429542692701439e-01,2.750015531031185123e+00,6.480142437369422748e-01,1.696938296777218635e+00,6.097447685718293542e-01,1.241850648963493731e+00,1.010847273700614224e+00,5.917975850593504283e-01
2.915053062825177399e+00,6.590678825285948284e-01,2.685600484089126994e+00,6.174017627575680844e-01,1.657184612749677211e+00,5.773052512642991019e-01,1.196026762105151020e+00,1.004639359455303360e+00,5.577868344018723779e-01
3.274549162877729902e+00,6.315208465210865318e-01,2.610618673526129641e+00,5.856134351512249925e-01,1.613141144980162256e+00,5.439409737974900683e-01,1.146508399796806632e+00,9.986526737384473495e-01,5.229440234715120317e-01
3.678379771828634404e+00,6.030515770333858550e-01,2.523463293072726543e+00,5.528990770345508787e-01,1.564400558233196570e+00,5.099637887851119489e-01,1.093032932804896440e+00,9.929767603836843204e-01,4.876449854629238967e-01
4.132012400115338657e+00,5.738356609840763456e-01,2.422322986482579488e+00,5.195518474387216257e-01,1.510514255236432568e+00,4.757220065919809393e-01,1.035283542533688150e+00,9.876928698216329572e-01,4.523008632898903869e-01
4.641588833612781961e+00,5.440708035834498357e-01,2.305162311218058591e+00,4.858984684242662055e-01,1.450982514552960900e+00,4.415853228964627952e-01,9.728723945849240273e-01,9.828690704264302358e-01,4.173362451888185110e-01
5.214008287999686964e+00,5.139716860956096145e-01,2.169700562991399906e+00,4.522855946959225548e-01,1.385242141332102550e+00,4.079264651008494003e-01,9.053233350851501715e-01,9.785554738079407233e-01,3.831642550881044773e-01
5.857020818056669853e+00,4.837636737763206796e-01,2.013388294067768314e+00,4.190634603619729504e-01,1.312652200904023569e+00,3.751015892308731114e-01,8.320555327531652390e-01,9.747817710641251132e-01,3.501620509292333594e-01
6.579332246575682497e+00,4.536757643233424453e-01,1.833381366498412435e+00,3.865685463535630806e-01,1.232476626200783576e+00,3.434318882008116081e-01,7.523678848873300851e-01,9.715561103624308359e-01,3.186503167151468752e-01
7.390722033525782386e+00,4.239332629092573690e-01,1.626511682592034269e+00,3.551073132665338861e-01,1.143867256969305135e+00,3.131887453904549368e-01,6.654259180528703244e-01,9.688661647376419772e-01,2.888794946876598324e-01
8.302175681319747369e+00,3.947507066001969545e-01,1.389252260973222741e+00,3.249429076292120744e-01,1.045844754568050039e+00,2.845840885316395230e-01,5.702506020252351426e-01,9.666824400013172003e-01,2.610239797354472202e-01
9.326033468832203965e+00,3.663255318061471311e-01,1.117679269423121680e+00,2.962861970820889201e-01,9.372806048793607125e-01,2.577665788632985677e-01,4.657080648420643954e-01,9.649622203232186557e-01,2.351838442443687782e-01
1.047615752789665677e+01,3.388328867053971294e-01,8.074267895758091562e-01,2.692916874719957221e-01,8.168783439963247517e-01,2.328232310603746136e-01,3.504988030091302775e-01,9.636539356850484239e-01,2.113924098331192436e-01
1.176811952434998432e+01,3.124218569116585797e-01,4.536348725584098407e-01,2.440580593272065890e-01,6.831542484876463872e-01,2.097852859129945013e-01,2.231470586307060522e-01,9.627024634210167298e-01,1.896274081130044920e-01
1.321941148466029325e+01,2.872132181836479781e-01,5.088951326797711006e-02,2.206324402274759677e-01,5.344195455701149511e-01,1.886367940990669734e-01,8.198676412352583209e-02,9.620519639104156973e-01,1.698235402773486946e-01
1.484968262254465721e+01,2.640112080985106413e-01,9.999999999999999547e-08,1.990172095432098942e-01,3.687567336391393003e-01,1.694136660029297303e-01,9.999999999999999547e-08,9.499892772237534810e-01,1.518847248641381764e-01
