# epsilons,l2,l1,Huber,BO
1.000000000000000048e-04,1.104194533661262412e-02,1.696543498139990724e-02,1.112336747586795127e-02,1.098120110426015206e-02
1.089841479985287007e-04,1.104790300491731436e-02,1.696580254084190109e-02,1.112436434434416199e-02,1.098164645312782461e-02
1.187754451496519491e-04,1.105438797997160272e-02,1.696616958587293666e-02,1.112543039758584484e-02,1.098212796361752730e-02
1.294464069278079583e-04,1.106141751750056024e-02,1.696658259972605443e-02,1.112654059566753340e-02,1.098263787942754810e-02
1.410760637049798111e-04,1.106918211411667130e-02,1.696705189386826795e-02,1.112780095451171292e-02,1.098318918162854985e-02
1.537505460587338172e-04,1.107747904591738219e-02,1.696743069134010184e-02,1.112908273035317919e-02,1.098378394638632738e-02
1.675637226651963423e-04,1.108667646587280231e-02,1.696807757286267204e-02,1.113054856250927926e-02,1.098443291288364598e-02
1.826178955012817604e-04,1.109662427149293862e-02,1.696865501627953243e-02,1.113211115924617189e-02,1.098512002614393523e-02
1.990245575049151821e-04,1.110748873054800967e-02,1.696930194593715413e-02,1.113378901961370460e-02,1.098587672013962013e-02
2.169052183045736210e-04,1.111926286971542943e-02,1.696993062794849294e-02,1.113552381872962016e-02,1.098667897199279153e-02
2.363923041335880607e-04,1.113220102390610755e-02,1.697075994193397719e-02,1.113750803169555326e-02,1.098755683472019129e-02
2.576301385940816982e-04,1.114626178550315316e-02,1.697159271365800137e-02,1.113960421464033068e-02,1.098850882420165931e-02
2.807760115341883145e-04,1.116158448746462639e-02,1.697248652984773010e-02,1.114186348314971653e-02,1.098953425679294327e-02
3.060013439547857954e-04,1.117825309066189376e-02,1.697346998961868358e-02,1.114426122426204202e-02,1.099061988342020513e-02
3.334929575731706165e-04,1.119645083992359957e-02,1.697454599120873375e-02,1.114687946876768976e-02,1.099182090867656392e-02
3.634544584462144558e-04,1.121632083121637535e-02,1.697571428614597089e-02,1.114970772438272917e-02,1.099313631845388883e-02
3.961077449002729550e-04,1.123792416768987223e-02,1.697699289049281468e-02,1.115273890163104298e-02,1.099449021951504069e-02
4.316946509357480022e-04,1.126148236046664586e-02,1.697837851633265949e-02,1.115601155706036351e-02,1.099600081521723283e-02
4.704787372775474756e-04,1.128715112062117498e-02,1.697989162555835208e-02,1.115955207028340723e-02,1.099763239476103660e-02
5.127472433361707953e-04,1.131514093514840447e-02,1.698153556899395511e-02,1.116335126889556051e-02,1.099936007128610171e-02
5.588132145358679298e-04,1.134565236627338436e-02,1.698333338789237423e-02,1.116742642511825423e-02,1.100125768507176360e-02
6.090178207651060537e-04,1.137890620830739330e-02,1.698528626274775633e-02,1.117185859357894273e-02,1.100330239954494527e-02
6.637328831200574363e-04,1.141511949377682633e-02,1.698741991500840598e-02,1.117657007385641776e-02,1.100549080501533883e-02
7.233636276544640805e-04,1.145465229334652335e-02,1.698976458991108274e-02,1.118171054684236054e-02,1.100786510718354538e-02
7.883516865304673101e-04,1.149769543224210544e-02,1.699229324837703281e-02,1.118719204220441910e-02,1.101041513456757492e-02
8.591783687972606807e-04,1.154466164058698396e-02,1.699505169139992056e-02,1.119311936487576986e-02,1.101319697424818500e-02
9.363682250213513011e-04,1.159578952623818715e-02,1.699807316236645605e-02,1.119948321603425612e-02,1.101617089420270368e-02
1.020492932168464610e-03,1.165160797185005315e-02,1.700135945843195273e-02,1.120636510455597090e-02,1.101938944310698609e-02
1.112175527509004763e-03,1.171240875384049751e-02,1.700494707901611946e-02,1.121375547372549519e-02,1.102287821449521310e-02
1.212095022903831015e-03,1.177867252590703018e-02,1.700885511696159647e-02,1.122170170486724849e-02,1.102664361425009787e-02
1.320991433644310223e-03,1.185092495206463425e-02,1.701311444433639686e-02,1.123026073888766518e-02,1.103067023714188188e-02
1.439671259090799602e-03,1.192966094666791932e-02,1.701776371036411994e-02,1.123945511346158277e-02,1.103503686901885494e-02
1.569013455699798604e-03,1.201552175147058144e-02,1.702281621785628474e-02,1.124936301883083800e-02,1.103976421394348151e-02
1.709975946676698050e-03,1.210911585245511013e-02,1.702834350773096972e-02,1.126001606717919046e-02,1.104484940070060706e-02
1.863602716465372934e-03,1.221118007350874279e-02,1.703435810209796841e-02,1.127149195617027644e-02,1.105034456947229238e-02
2.031031542617221103e-03,1.232243576357672232e-02,1.704093489382119131e-02,1.128382616754386447e-02,1.105626864659203790e-02
2.213502422302753101e-03,1.244376909646449647e-02,1.704808933129231541e-02,1.129709492219688194e-02,1.106269126033965211e-02
2.412366755873450192e-03,1.257600415546988870e-02,1.705589383648264956e-02,1.131137254318437257e-02,1.106957697614507907e-02
2.629097355488423798e-03,1.272024409015104496e-02,1.706440922541796468e-02,1.132674189106896989e-02,1.107703780227042856e-02
2.865299352930904958e-03,1.287751899044886628e-02,1.707370132876917523e-02,1.134326971726373756e-02,1.108508807735542057e-02
3.122722087399102796e-03,1.304901150780435337e-02,1.708384562672371487e-02,1.136106044429618933e-02,1.109377328150173980e-02
3.403272061313782765e-03,1.323602094457743128e-02,1.709487714835078442e-02,1.138015577407469614e-02,1.110313393437656337e-02
3.709027060094787810e-03,1.344003985597064244e-02,1.710695981873944227e-02,1.140074718673922405e-02,1.111326698586256878e-02
