alphas,errors
1.000000000000001062e-02,9.889171821649119787e-01
1.291549665014885342e-02,9.856562278594437343e-01
1.668100537200059921e-02,9.814248168560238961e-01
2.154434690031885660e-02,9.759270418262001590e-01
2.782559402207127400e-02,9.687723461695034732e-01
3.593813663804629188e-02,9.594427607362485677e-01
4.641588833612782239e-02,9.472478105387664993e-01
5.994842503189414668e-02,9.312627974197319469e-01
7.742636826811277739e-02,9.102465496423518543e-01
1.000000000000000472e-01,8.825403058394196698e-01
1.291549665014884718e-01,8.459723984203542102e-01
1.668100537200059852e-01,7.978662174290593878e-01
2.154434690031884481e-01,7.354296889880812538e-01
2.782559402207125943e-01,6.570562445683385544e-01
3.593813663804629188e-01,5.647291219159362718e-01
4.641588833612779741e-01,4.656033248004229907e-01
5.994842503189411476e-01,3.695645134587837166e-01
7.742636826811273298e-01,nan
1.000000000000000000e+00,nan
1.291549665014884107e+00,nan
1.668100537200059241e+00,nan
2.154434690031884259e+00,nan
2.782559402207125832e+00,nan
3.593813663804625858e+00,nan
4.641588833612777520e+00,nan
5.994842503189408589e+00,nan
7.742636826811269302e+00,nan
1.000000000000000000e+01,nan
1.291549665014884063e+01,nan
1.668100537200057332e+01,nan
2.154434690031882127e+01,nan
2.782559402207122901e+01,nan
3.593813663804625946e+01,nan
4.641588833612777165e+01,nan
5.994842503189408944e+01,nan
7.742636826811269657e+01,nan
9.999999999999990052e+01,nan
1.291549665014883885e+02,nan
1.668100537200057545e+02,nan
2.154434690031879995e+02,nan
2.782559402207123185e+02,nan
3.593813663804622252e+02,nan
4.641588833612777307e+02,nan
5.994842503189402123e+02,nan
7.742636826811269657e+02,nan
9.999999999999989768e+02,nan
