alphas,errors
1.000000000000001062e-02,9.936785558509726446e-01
1.291549665014885342e-02,9.918399708361674838e-01
1.668100537200059921e-02,9.894683127153853786e-01
2.154434690031885660e-02,9.864101526214920090e-01
2.782559402207127400e-02,9.824686660228685309e-01
3.593813663804629188e-02,9.773918827246278473e-01
4.641588833612782239e-02,9.708581240158133951e-01
5.994842503189414668e-02,9.624582276437458894e-01
7.742636826811277739e-02,9.516743381425449844e-01
1.000000000000000472e-01,9.378554768673359465e-01
1.291549665014884718e-01,9.201910271477138359e-01
1.668100537200059852e-01,8.976850790917605405e-01
2.154434690031884481e-01,8.691379477879530580e-01
2.782559402207125943e-01,8.331472684095679870e-01
3.593813663804629188e-01,7.881515863042489745e-01
4.641588833612779741e-01,7.325565196815558844e-01
5.994842503189411476e-01,6.650085346792456997e-01
7.742636826811273298e-01,5.849090533663398039e-01
1.000000000000000000e+00,4.932661257310282377e-01
1.291549665014884107e+00,3.938829104246390767e-01
1.668100537200059241e+00,2.944697650016794288e-01
2.154434690031884259e+00,2.060916524239593262e-01
2.782559402207125832e+00,1.382541477974597033e-01
3.593813663804625858e+00,9.235573291672838359e-02
4.641588833612777520e+00,6.299989727161747766e-02
5.994842503189408589e+00,4.414175803053188574e-02
7.742636826811269302e+00,3.166643376708555557e-02
1.000000000000000000e+01,2.314158864266713245e-02
1.291549665014884063e+01,1.715069811508751485e-02
1.668100537200057332e+01,1.284535017397092638e-02
2.154434690031882127e+01,9.697220097383052462e-03
2.782559402207122901e+01,7.364451008745831473e-03
3.593813663804625946e+01,5.618192111565889491e-03
4.641588833612777165e+01,4.300767004759453727e-03
5.994842503189408944e+01,3.300920215022484783e-03
7.742636826811269657e+01,2.538614332643129856e-03
9.999999999999990052e+01,1.955366302193617400e-03
1.291549665014883885e+02,1.507906734970143603e-03
1.668100537200057545e+02,1.163904655832048718e-03
2.154434690031879995e+02,8.990132561106367604e-04
2.782559402207123185e+02,6.947855212684483917e-04
3.593813663804622252e+02,5.371773217821562696e-04
4.641588833612777307e+02,4.154563602893901475e-04
5.994842503189402123e+02,3.213971591564668273e-04
7.742636826811269657e+02,2.486811472155459057e-04
9.999999999999989768e+02,1.924459766680097772e-04
