alphas,errors,lambdas,huber-params
1.000000000000001062e-02,9.965846336592916188e-01,2.917871830687484014e-01,2.130698852344690697e-01
1.176811952434999621e-02,9.959810663268675590e-01,2.915952185274416353e-01,2.129994919418289612e-01
1.384886371393874611e-02,9.952709007711056932e-01,2.913655641973758037e-01,2.129130328902796021e-01
1.629750834620645808e-02,9.944353354011936652e-01,2.911039817050671275e-01,2.128180426289273119e-01
1.917910261672490721e-02,9.934522621950542254e-01,2.907894554651042074e-01,2.127007042575551066e-01
2.257019719633922630e-02,9.922956890505356675e-01,2.904146703409100638e-01,2.125599850161930537e-01
2.656087782946689457e-02,9.909350627290075542e-01,2.899766729443769009e-01,2.123951538826021057e-01
3.125715849688238263e-02,9.893344758952240525e-01,2.894663089666471567e-01,2.122054027498729289e-01
3.678379771828638178e-02,9.874517392735897570e-01,2.888673524479511978e-01,2.119836399398844218e-01
4.328761281083061407e-02,9.852372972014031838e-01,2.881534443858891903e-01,2.117143363461315431e-01
5.094138014816385757e-02,9.826329618889798612e-01,2.873270647502272901e-01,2.114077961781056225e-01
5.994842503189414668e-02,9.795704385762163957e-01,2.863530907403377679e-01,2.110454139309677901e-01
7.054802310718649716e-02,9.759696106313222597e-01,2.852110417540950627e-01,2.106207258083890865e-01
8.302175681319752532e-02,9.717365507299647875e-01,2.838738515873028834e-01,2.101239187099788464e-01
9.770099572992262116e-02,9.667612220623051922e-01,2.822990046510059359e-01,2.095367280821165412e-01
1.149756995397736847e-01,9.609148319518804326e-01,2.804605233239553241e-01,2.088534710385394622e-01
1.353047774579808349e-01,9.540468034534248520e-01,2.783035105303979240e-01,2.080501864096287457e-01
1.592282793341093794e-01,9.459813332431897814e-01,2.757802523244713977e-01,2.071097330473246068e-01
1.873817422860385995e-01,9.365135195400038359e-01,2.728441910612669496e-01,2.060214913929569180e-01
2.205130739903047865e-01,9.254050666222427557e-01,2.694080009186854419e-01,2.047431054940810347e-01
2.595024211399738490e-01,9.123796159008604745e-01,2.654189667045286360e-01,2.032660298166909796e-01
3.053855508833418497e-01,8.971178321612548467e-01,2.607787575563076388e-01,2.015473630819955841e-01
3.593813663804631409e-01,8.792524989045189532e-01,2.554048381717292648e-01,1.995634298246723448e-01
4.229242874389503304e-01,8.583641057311074407e-01,2.491934639420450570e-01,1.972766204774980547e-01
4.977023564332113681e-01,8.339777845416100899e-01,2.420426227269740771e-01,1.946531543759985050e-01
5.857020818056670741e-01,8.055631181663427398e-01,2.338589773266026017e-01,1.916767634897480477e-01
6.892612104349702395e-01,7.725394959068767609e-01,2.245307297179960360e-01,1.883128272061186936e-01
8.111308307896876180e-01,7.342917430041165927e-01,2.139738587401395775e-01,1.845609909896675505e-01
9.545484566618347433e-01,6.902044153088068290e-01,2.021472508540085034e-01,1.804536217438202361e-01
1.123324032978028741e+00,6.397296361448659985e-01,1.890274399912252601e-01,1.760526489085169621e-01
1.321941148466030169e+00,5.825143237674124119e-01,1.746936916401317652e-01,1.715165897086684543e-01
1.555676143930473820e+00,5.186284818725003243e-01,1.593206151239413004e-01,1.671149296763557723e-01
1.830738280295369780e+00,4.489469480279679736e-01,1.432255768396274997e-01,1.632923790755321791e-01
2.154434690031884259e+00,3.756909736593518900e-01,1.268720744221304431e-01,1.606994714992399376e-01
2.535364493970114097e+00,3.028876436052749810e-01,1.107899031180995114e-01,1.601039327669748213e-01
2.983647240283340274e+00,2.359678134506135727e-01,9.536873463198378142e-02,1.620880497679072496e-01
3.511191734215134641e+00,1.797469151566806200e-01,8.061569729482995217e-02,1.666132412645587868e-01
4.132012400115338657e+00,1.360707918403836203e-01,6.604348985712414632e-02,1.728748263550272113e-01
4.862601580065358142e+00,1.036970630363667212e-01,5.092584117494251827e-02,1.798615248761180341e-01
5.722367659350219959e+00,8.107348332186825601e-02,1.000000000000000251e-05,1.905089358375122721e-01
6.734150657750828550e+00,6.269695048622780931e-02,1.611110165391421711e-02,1.931424147031083616e-01
7.924828983539177862e+00,4.976529305490418054e-02,1.000000000000000251e-05,1.982761781522335842e-01
9.326033468832209294e+00,4.009555878873083401e-02,1.000000000000000251e-05,2.004522856377107531e-01
1.097498765493056716e+01,3.274270511221200053e-02,1.000000000000000251e-05,2.015615048066489168e-01
1.291549665014885306e+01,2.703508759875172807e-02,1.000000000000000251e-05,2.016598177218927868e-01
1.519911082952934755e+01,2.253164817037767165e-02,1.000000000000000251e-05,2.007962817653767829e-01
1.788649529057436993e+01,1.893150261383480526e-02,1.000000000000000251e-05,1.990209838206261905e-01
2.104904144512021702e+01,1.602273468465531536e-02,1.000000000000000251e-05,1.963641244179719358e-01
2.477076355991711409e+01,1.365201285110928531e-02,1.000000000000000251e-05,1.928714797316752882e-01
2.915053062825178642e+01,1.170582636801564824e-02,1.000000000000000251e-05,1.885715697835421145e-01
3.430469286314919231e+01,1.009848813685398916e-02,1.000000000000000251e-05,1.835053952778408770e-01
4.037017258596557667e+01,8.764227772963151253e-03,1.000000000000000251e-05,1.777031924596517154e-01
4.750810162102798273e+01,7.651837712301379213e-03,1.000000000000000251e-05,1.712262219883224634e-01
5.590810182512228721e+01,6.720961011900339344e-03,1.000000000000000251e-05,1.641336822680543039e-01
6.579332246575683030e+01,5.939459826113990815e-03,1.000000000000000251e-05,1.564899099755185097e-01
7.742636826811278183e+01,5.281514178602231269e-03,1.000000000000000251e-05,1.483810360355021229e-01
9.111627561154895716e+01,4.726222297693594143e-03,1.000000000000000251e-05,1.398996113952946652e-01
1.072267222010324303e+02,4.256553761197157115e-03,1.000000000000000251e-05,1.311362282567358761e-01
1.261856883066022306e+02,3.858554420792525974e-03,1.000000000000000251e-05,1.222016061376234447e-01
1.484968262254465117e+02,3.520734356036614443e-03,1.000000000000000251e-05,1.131960286167591756e-01
1.747528400007684866e+02,3.233591040633143621e-03,1.000000000000000251e-05,1.042383885023782653e-01
2.056512308348653448e+02,2.989233985362105273e-03,1.000000000000000251e-05,9.541927405059391631e-02
2.420128264794385871e+02,2.781086691843848158e-03,1.000000000000000251e-05,8.683698617571794509e-02
2.848035868435802058e+02,2.603648335165908989e-03,1.000000000000000251e-05,7.857681994731914588e-02
3.351602650938844477e+02,2.452302161837005556e-03,1.000000000000000251e-05,7.070093786724894469e-02
3.944206059437660201e+02,2.323160803516133299e-03,1.000000000000000251e-05,6.327886512466654456e-02
4.641588833612777307e+02,2.212940984219313734e-03,1.000000000000000251e-05,5.635434237124211515e-02
5.462277217684342077e+02,2.118861757129941736e-03,1.000000000000000251e-05,4.993882026056649381e-02
6.428073117284325235e+02,2.038561623078249951e-03,1.000000000000000251e-05,4.406266759571186159e-02
7.564633275546298137e+02,1.970030814683720877e-03,1.000000000000000251e-05,3.871408154320002404e-02
8.902150854450383122e+02,1.911555758791871895e-03,1.000000000000000251e-05,3.388458793306617367e-02
1.047615752789665066e+03,1.861673312258282920e-03,1.000000000000000251e-05,2.955590799870454546e-02
1.232846739442067246e+03,1.819132844808502014e-03,1.000000000000000251e-05,2.569491616165051062e-02
1.450828778495941606e+03,1.782864634105818524e-03,1.000000000000000251e-05,2.229165669411370398e-02
1.707352647470690499e+03,1.751953360064062437e-03,1.000000000000000251e-05,1.928278681365856034e-02
2.009233002565047855e+03,1.725615742178110423e-03,1.000000000000000251e-05,1.664636762371566464e-02
2.364489412645409629e+03,1.703181570185563487e-03,1.000000000000000251e-05,1.434910290255329152e-02
2.782559402207128642e+03,1.684077542309037057e-03,1.000000000000000590e-05,1.235824848262038686e-02
3.274549162877728577e+03,1.667813444844679083e-03,1.000000000000000251e-05,1.062930316760699045e-02
3.853528593710531368e+03,1.653970303950202947e-03,1.000000000000000251e-05,9.142725138621146663e-03
4.534878508128586873e+03,1.642190211268212963e-03,1.000000000000000082e-05,7.859690364783036148e-03
5.336699231206307559e+03,1.632167579600052321e-03,1.000000000000000251e-05,6.761175046130181616e-03
6.280291441834253419e+03,1.623641624262539551e-03,1.000000000000000251e-05,5.829553778094818950e-03
7.390722033525782535e+03,1.616389900859438455e-03,1.000000000000000251e-05,5.032069662413742039e-03
8.697490026177843902e+03,1.610222753099854742e-03,1.000000000000000251e-05,4.355511670871221701e-03
1.023531021899026928e+04,1.604978546089652625e-03,1.000000000000000082e-05,3.783106823893476502e-03
1.204503540258783687e+04,1.600519577618086942e-03,1.000000000000000251e-05,3.299443209073606078e-03
1.417474162926807730e+04,1.596728574082106888e-03,1.000000000000000082e-05,2.890300995388427659e-03
1.668100537200062536e+04,1.593505690009600073e-03,1.000000000000000082e-05,2.547155190495144564e-03
1.963040650040268520e+04,1.590765941111182968e-03,1.000000000000000251e-05,2.260988242138938474e-03
2.310129700083157877e+04,1.588437009671039846e-03,1.000000000000000251e-05,2.015598919210293341e-03
