alphas,errors,lambdas,huber-params
1.000000000000001062e-02,9.948557481912971845e-01,3.282306517844628679e-01,3.321371988597996983e-01
1.176811952434999621e-02,9.939476887511581316e-01,3.279849704921001807e-01,3.319597231329686204e-01
1.384886371393874611e-02,9.928796536543927909e-01,3.276955714141232545e-01,3.317505401323950220e-01
1.629750834620645808e-02,9.916235809181278560e-01,3.273553234730386952e-01,3.315045453948786136e-01
1.917910261672490721e-02,9.901465331566803307e-01,3.269554623107150948e-01,3.312156179643312992e-01
2.257019719633922630e-02,9.884098689035560881e-01,3.264853588237122128e-01,3.308758779237520598e-01
2.656087782946689457e-02,9.863682803375722896e-01,3.259328857361916132e-01,3.304766763614457314e-01
3.125715849688238263e-02,9.839686788215138424e-01,3.252834217875222311e-01,3.300073284356566106e-01
3.678379771828638178e-02,9.811489083453548421e-01,3.245208115910868107e-01,3.294563893109226926e-01
4.328761281083061407e-02,9.778362661975987802e-01,3.236249006562335051e-01,3.288091502975067359e-01
5.094138014816385757e-02,9.739458103789913057e-01,3.225732940756678713e-01,3.280495259203403680e-01
5.994842503189414668e-02,9.693784350366807523e-01,3.213392773273906489e-01,3.271583081258914172e-01
7.054802310718649716e-02,9.640186994417205835e-01,3.198920734884297401e-01,3.261133065350237947e-01
8.302175681319752532e-02,9.577324040931238791e-01,3.181957700116668786e-01,3.248887220750112936e-01
9.770099572992262116e-02,9.503639213612027348e-01,3.162090305290353731e-01,3.234548180766176895e-01
1.149756995397736847e-01,9.417333105359839696e-01,3.138842878746638254e-01,3.217775241316825907e-01
1.353047774579808349e-01,9.316332823900903559e-01,3.111669881292518092e-01,3.198178326281587713e-01
1.592282793341093794e-01,9.198261324854000165e-01,3.079951758244930948e-01,3.175315496377398850e-01
1.873817422860385995e-01,9.060408443469444295e-01,3.042986009551182924e-01,3.148687717965577004e-01
2.205130739903047865e-01,8.899706863233556309e-01,2.999989702735523789e-01,3.117742300892903939e-01
2.595024211399738490e-01,8.712718085409310032e-01,2.950095712102061563e-01,3.081870632634357010e-01
3.053855508833418497e-01,8.495636162563230398e-01,2.892371685185504693e-01,3.040429050672331934e-01
3.593813663804631409e-01,8.244320973501856331e-01,2.825830242656151570e-01,2.992747288031943342e-01
4.229242874389503304e-01,7.954378629919318655e-01,2.749475469418077855e-01,2.938173248214031030e-01
4.977023564332113681e-01,7.621315162502733109e-01,2.662364854825853833e-01,2.876130744591467447e-01
5.857020818056670741e-01,7.240801908804038733e-01,2.563711011752557445e-01,2.806215077791472945e-01
6.892612104349702395e-01,6.809107816531303481e-01,2.453035102733176764e-01,2.728339550806246905e-01
8.111308307896876180e-01,6.323775423378564797e-01,2.330388582336801184e-01,2.642952222991362676e-01
9.545484566618347433e-01,5.784638318384438538e-01,2.196654647232080815e-01,2.551341595265679274e-01
1.123324032978028741e+00,5.195279060210983291e-01,2.053921455996473577e-01,2.456030286798768225e-01
1.321941148466030169e+00,4.564947488465032066e-01,1.905877950727452586e-01,2.361213605304475771e-01
1.555676143930473820e+00,3.910654298585620747e-01,1.758060059020281063e-01,2.273045184106465832e-01
1.830738280295369780e+00,3.258391635997408553e-01,1.617617549314434022e-01,2.199339427945369019e-01
2.154434690031884259e+00,2.641266716990930963e-01,1.492152264588164912e-01,2.148040854404640043e-01
2.535364493970114097e+00,2.092286775338745297e-01,1.387572268854068980e-01,2.124318683950056352e-01
2.983647240283340274e+00,1.633544911998181526e-01,1.306020831447493313e-01,2.127838833241734728e-01
3.511191734215134641e+00,1.269509101269863383e-01,1.245594853750458531e-01,2.152828905306158891e-01
4.132012400115338657e+00,9.899130674575218336e-02,1.202058843181117026e-01,2.191123168761152928e-01
4.862601580065358142e+00,7.780665001087139210e-02,1.170893068586902203e-01,2.235376097003192730e-01
5.722367659350219959e+00,6.175176895419753897e-02,1.148401328816775757e-01,2.280467765452043882e-01
6.734150657750828550e+00,4.948721253215992988e-02,1.131916396245790796e-01,2.323407749604720074e-01
7.924828983539177862e+00,4.001178138881944513e-02,1.119614234223651195e-01,2.362716384619179821e-01
9.326033468832209294e+00,3.403349107605535551e-02,1.000000000000000251e-05,2.390666649771818753e-01
1.097498765493056716e+01,2.674228103508813348e-02,1.103053388896168968e-01,2.428749493642615720e-01
1.291549665014885306e+01,2.205871314853236065e-02,1.097402412731257743e-01,2.455675573237512677e-01
1.519911082952934755e+01,1.828138798476786064e-02,1.092920291769622493e-01,2.478973517557008510e-01
1.788649529057436993e+01,1.521090395076085677e-02,1.089328850438140289e-01,2.499037182140312896e-01
2.104904144512021702e+01,1.269813575069300704e-02,1.086422667957495092e-01,2.516259434126781325e-01
2.477076355991711409e+01,1.062996230411039633e-02,1.084055904008605492e-01,2.531008798223790546e-01
2.915053062825178642e+01,8.919417338437485299e-03,1.082114714676288558e-01,2.543614715262232928e-01
3.430469286314919231e+01,7.498813529992487403e-03,1.080512264972484648e-01,2.554378796797435736e-01
4.037017258596557667e+01,6.314877141445851549e-03,1.079186114427382742e-01,2.563557861072736643e-01
4.750810162102798273e+01,5.325257972553121277e-03,1.078082882378211260e-01,2.571382130596923110e-01
5.590810182512228721e+01,4.495988979708265276e-03,1.077162571098578686e-01,2.578046751629653466e-01
6.579332246575683030e+01,3.814611712273041633e-03,1.000000000000000251e-05,2.583592334719163608e-01
7.742636826811278183e+01,3.213782180168545111e-03,1.075742961261651615e-01,2.588549328135906769e-01
9.111627561154895716e+01,2.720197143429192721e-03,1.075201673623093490e-01,2.592658337970489280e-01
1.072267222010324303e+02,2.303795975707290111e-03,1.074747816311710513e-01,2.596152285732205023e-01
1.261856883066022306e+02,1.952124392478271631e-03,1.074356472461389794e-01,2.599125815633325232e-01
1.484968262254465117e+02,1.657629075681565922e-03,1.000000000000000251e-05,2.601630111066479123e-01
1.747528400007684866e+02,1.405343385846968829e-03,1.000000000000000251e-05,2.603786786836913558e-01
2.056512308348653448e+02,1.190436252754167867e-03,1.073535008670561119e-01,2.605631680630524638e-01
2.420128264794385871e+02,1.010092370201221001e-03,1.073333392903028649e-01,2.607186221806120363e-01
2.848035868435802058e+02,8.572594057900673192e-04,1.073168389506530263e-01,2.608506174655375598e-01
3.351602650938844477e+02,7.276878626178984177e-04,1.073025892637753803e-01,2.609625975813634202e-01
3.944206059437660201e+02,6.177992112585961593e-04,1.072906791320229203e-01,2.610582970283277793e-01
4.641588833612777307e+02,5.245760221945783286e-04,1.072826468178776221e-01,2.611393486365248817e-01
5.462277217684342077e+02,4.454710673302830770e-04,1.072715557399899905e-01,2.612084376040125777e-01
6.428073117284325235e+02,3.784756066145256170e-04,1.000000000000000251e-05,2.612661006547017939e-01
7.564633275546298137e+02,3.213383530191737947e-04,1.072599792739975383e-01,2.613168290605106803e-01
8.902150854450383122e+02,2.729497683926496165e-04,1.072534545016134433e-01,2.613588916964361131e-01
1.047615752789665066e+03,2.318616393350847460e-04,1.072476766541852616e-01,2.613946869992036515e-01
1.232846739442067246e+03,1.969689643850358607e-04,1.072423776613307678e-01,2.614256314937556391e-01
1.450828778495941606e+03,1.673342890351481316e-04,1.072414771719714666e-01,2.614512333862887838e-01
1.707352647470690499e+03,1.421634823723927354e-04,1.072404707949055069e-01,2.614737629453152135e-01
2.009233002565047855e+03,1.207973057921751803e-04,1.000000000000000251e-05,2.614925696974783609e-01
2.364489412645409629e+03,1.026202286060762248e-04,1.072376237688183742e-01,2.615074235012277426e-01
2.782559402207128642e+03,8.719087608932696298e-05,1.072305252626044869e-01,2.615216380586756761e-01
3.274549162877728577e+03,7.408281438703312460e-05,1.072283534710331554e-01,2.615326857970352026e-01
3.853528593710531368e+03,6.294641996218430791e-05,1.072286814063397598e-01,2.615427327388309964e-01
4.534878508128586873e+03,5.348483756928423816e-05,1.072280807439599248e-01,2.615515755970613254e-01
5.336699231206307559e+03,4.544598561406765214e-05,1.072051452510306979e-01,2.615581021828913832e-01
6.280291441834253419e+03,3.861578116470809618e-05,1.072154524989866881e-01,2.615642747237413301e-01
7.390722033525782535e+03,3.281239621477638480e-05,1.072276665417315894e-01,2.615705860041273589e-01
8.697490026177843902e+03,2.788138654108429648e-05,1.072390460847364169e-01,2.615740489080404241e-01
1.023531021899026928e+04,2.369155937831379788e-05,1.072483474534283859e-01,2.615771801888243653e-01
1.204503540258783687e+04,2.013146696833167937e-05,1.071863815205768150e-01,2.615807687435988127e-01
1.417474162926807730e+04,1.710643055696792203e-05,1.072427122249908077e-01,2.615825835142560063e-01
1.668100537200062536e+04,1.453601413770044815e-05,1.072032034384855226e-01,2.615862733522973937e-01
1.963040650040268520e+04,1.235187963422035295e-05,1.072141551127387404e-01,2.615883111187163879e-01
2.310129700083157877e+04,1.049596570168453979e-05,1.072834464084510137e-01,2.615884544413212831e-01
2.718588242732940125e+04,8.918941131197399841e-06,1.072261445519367001e-01,2.615897622816831802e-01
3.199267137797384567e+04,7.578891338955173751e-06,1.073055783679799507e-01,2.615944287306360971e-01
3.764935806792470976e+04,6.440202713120513067e-06,1.071505704563965877e-01,2.615917773804926072e-01
4.430621457583886513e+04,5.472614958312860267e-06,1.069912430626613342e-01,2.615938731188336974e-01
5.214008287999695312e+04,4.650416081553032654e-06,1.073677693995154225e-01,2.615943116494519050e-01
6.135907273413163057e+04,3.951758529296967026e-06,1.072312965987505945e-01,2.615952163250985785e-01
7.220809018385456875e+04,3.358078204840353465e-06,1.070037571734022697e-01,2.615922120171702558e-01
8.497534359086438781e+04,2.853600880925455385e-06,1.071336816857121205e-01,2.615946523277676294e-01
1.000000000000000000e+05,2.424922842525489841e-06,1.071302348541158800e-01,2.615903574565927592e-01
