alphas,errors,lambdas
1.000000000000001062e-02,9.952422549466674040e-01,3.460523045521516905e-01
1.176811952434999621e-02,9.944100545365371913e-01,3.485472373421872327e-01
1.384886371393874611e-02,9.934342189918944355e-01,3.515975490067169140e-01
1.629750834620645808e-02,9.922907209520274163e-01,3.553484924821470048e-01
1.917910261672490721e-02,9.909518204085479010e-01,3.600222193182751607e-01
2.257019719633922630e-02,9.893856154141097425e-01,3.659519568397979761e-01
2.656087782946689457e-02,9.875555862402662921e-01,3.736161853078180939e-01
3.125715849688238263e-02,9.854201429179699767e-01,3.838351565985114733e-01
3.678379771828638178e-02,9.829321490616880208e-01,3.979503243010412139e-01
4.328761281083061407e-02,9.800382544059971224e-01,4.183028239786595326e-01
5.094138014816385757e-02,9.766774057970907252e-01,4.482932832013467039e-01
5.994842503189414668e-02,9.727772948690727173e-01,4.896391043348462535e-01
7.054802310718649716e-02,9.682498794632974359e-01,5.368633972476073435e-01
8.302175681319752532e-02,9.629912815530464743e-01,5.824557306983932925e-01
9.770099572992262116e-02,9.568832988153492813e-01,6.237588303800085665e-01
1.149756995397736847e-01,9.497916790552530797e-01,6.608325063250911624e-01
1.353047774579808349e-01,9.415631116612598328e-01,6.941979602466279431e-01
1.592282793341093794e-01,9.320222001650367849e-01,7.242311409211991124e-01
1.873817422860385995e-01,9.209684014703143351e-01,7.511029341563417727e-01
2.205130739903047865e-01,9.081728545389085028e-01,7.747962513713024801e-01
2.595024211399738490e-01,8.933751223526120722e-01,7.951402067585440214e-01
3.053855508833418497e-01,8.762800074725669575e-01,8.118101172837470791e-01
3.593813663804631409e-01,8.565547262142504392e-01,8.243616798473161200e-01
4.229242874389503304e-01,8.338269888132103791e-01,8.322224269940032837e-01
4.977023564332113681e-01,8.076849025941393867e-01,8.346831826225316053e-01
5.857020818056670741e-01,7.776802907299205092e-01,8.309066062759711269e-01
6.892612104349702395e-01,7.433381468173402284e-01,8.199101045609857863e-01
8.111308307896876180e-01,7.041768752722770142e-01,8.005572868574568624e-01
9.545484566618347433e-01,6.597472542708255894e-01,7.715237881569749767e-01
1.123324032978028741e+00,6.097034610626927975e-01,7.313656233858554234e-01
1.321941148466030169e+00,5.539274253901981249e-01,6.784764659532533937e-01
1.555676143930473820e+00,4.927360438293859612e-01,6.112072678164394146e-01
1.830738280295369780e+00,4.271954026539226401e-01,5.280713224498452263e-01
2.154434690031884259e+00,3.595009648924230028e-01,4.281373022023954311e-01
2.535364493970114097e+00,2.931732211129476351e-01,3.115333714297426337e-01
2.983647240283340274e+00,2.325238017370112598e-01,1.797120594959484841e-01
3.511191734215134641e+00,1.811169752703527536e-01,3.457874315504672058e-02
4.132012400115338657e+00,1.413187279093619519e-01,1.000000000000000082e-05
4.862601580065358142e+00,1.127429791671787918e-01,1.000000000000000082e-05
5.722367659350219959e+00,9.175334756156017235e-02,1.000000000000000082e-05
6.734150657750828550e+00,7.597593864066953806e-02,1.000000000000000082e-05
7.924828983539177862e+00,6.387878527217050184e-02,1.000000000000000082e-05
9.326033468832209294e+00,5.444653161735457658e-02,1.000000000000000082e-05
1.097498765493056716e+01,4.698807436663199333e-02,1.000000000000000082e-05
1.291549665014885306e+01,4.102089394893182472e-02,1.000000000000000082e-05
1.519911082952934755e+01,3.620004811715671345e-02,1.000000000000000082e-05
1.788649529057436993e+01,3.227358188283591112e-02,1.000000000000000082e-05
2.104904144512021702e+01,2.905386480966920537e-02,1.000000000000000082e-05
2.477076355991711409e+01,2.639873900390776740e-02,1.000000000000000082e-05
2.915053062825178642e+01,2.419884196077859428e-02,1.000000000000000082e-05
3.430469286314919231e+01,2.236890308931527294e-02,1.000000000000000082e-05
4.037017258596557667e+01,2.084164846406810767e-02,1.000000000000000082e-05
4.750810162102798273e+01,1.956345361874434197e-02,1.000000000000000082e-05
5.590810182512228721e+01,1.849118991645548604e-02,1.000000000000000082e-05
6.579332246575683030e+01,1.758989938219635007e-02,1.000000000000000082e-05
7.742636826811278183e+01,1.683105550676189388e-02,1.000000000000000082e-05
9.111627561154895716e+01,1.619124435878238621e-02,1.000000000000000082e-05
1.072267222010324303e+02,1.565115162644747926e-02,1.000000000000000082e-05
1.261856883066022306e+02,1.519477621263698452e-02,1.000000000000000082e-05
1.484968262254465117e+02,1.480881257839072873e-02,1.000000000000000082e-05
1.747528400007684866e+02,1.448216149754899540e-02,1.000000000000000082e-05
2.056512308348653448e+02,1.420553899466114878e-02,1.000000000000000082e-05
2.420128264794385871e+02,1.397116137479481601e-02,1.000000000000000082e-05
2.848035868435802058e+02,1.377248978699574522e-02,1.000000000000000082e-05
3.351602650938844477e+02,1.360402179736430739e-02,1.000000000000000082e-05
3.944206059437660201e+02,1.346112039749258749e-02,1.000000000000000082e-05
4.641588833612777307e+02,1.333987305467809747e-02,1.000000000000000082e-05
5.462277217684342077e+02,1.323697503960663546e-02,1.000000000000000082e-05
6.428073117284325235e+02,1.314963249706657678e-02,1.000000000000000082e-05
7.564633275546298137e+02,1.307548166286154334e-02,1.000000000000000082e-05
8.902150854450383122e+02,1.301252135172092927e-02,1.000000000000000082e-05
1.047615752789665066e+03,1.295905640152006377e-02,1.000000000000000082e-05
1.232846739442067246e+03,1.291365019825696514e-02,1.000000000000000082e-05
1.450828778495941606e+03,1.287508475315002343e-02,1.000000000000000082e-05
1.707352647470690499e+03,1.284232707938071094e-02,1.000000000000000082e-05
2.009233002565047855e+03,1.281450083741786372e-02,1.000000000000000082e-05
2.364489412645409629e+03,1.279086239660687241e-02,1.000000000000000082e-05
2.782559402207128642e+03,1.277078060580461027e-02,1.000000000000000082e-05
3.274549162877728577e+03,1.275371968439120707e-02,1.000000000000000082e-05
3.853528593710531368e+03,1.273922474219424394e-02,1.000000000000000082e-05
4.534878508128586873e+03,1.272690951706878515e-02,1.000000000000000082e-05
5.336699231206307559e+03,1.271644598519716673e-02,1.000000000000000082e-05
6.280291441834253419e+03,1.270755555428637606e-02,1.000000000000000082e-05
7.390722033525782535e+03,1.270000159573325682e-02,1.000000000000000082e-05
8.697490026177843902e+03,1.269358311020130081e-02,1.000000000000000082e-05
1.023531021899026928e+04,1.268812935313090584e-02,1.000000000000000082e-05
1.204503540258783687e+04,1.268349527368073382e-02,1.000000000000000082e-05
1.417474162926807730e+04,1.267955764323036583e-02,1.000000000000000082e-05
1.668100537200062536e+04,1.267621176865052490e-02,1.000000000000000082e-05
1.963040650040268520e+04,1.267336870162316664e-02,1.000000000000000082e-05
2.310129700083157877e+04,1.267095286885844274e-02,1.000000000000000082e-05
2.718588242732940125e+04,1.266890005952792109e-02,1.000000000000000082e-05
3.199267137797384567e+04,1.266715571591525702e-02,1.000000000000000082e-05
3.764935806792470976e+04,1.266567348149783001e-02,1.000000000000000082e-05
4.430621457583886513e+04,1.266441396760953353e-02,1.000000000000000082e-05
5.214008287999695312e+04,1.266334370572441692e-02,1.000000000000000082e-05
