alphas,errors,lambdas
1.000000000000001062e-02,9.918154579258477987e-01,2.199985192079557117e-01
1.176811952434999621e-02,9.903708829165127625e-01,2.199985192079557117e-01
1.384886371393874611e-02,9.886718783080011841e-01,2.199985192079557117e-01
1.629750834620645808e-02,9.866738428887334988e-01,2.199985192079557117e-01
1.917910261672490721e-02,9.843244404575031137e-01,2.199985192079557117e-01
2.257019719633922630e-02,9.815622921404381085e-01,2.199985192079557117e-01
2.656087782946689457e-02,9.783154617366931483e-01,2.199985192079557117e-01
3.125715849688238263e-02,9.744997075800803099e-01,2.199985192079557117e-01
3.678379771828638178e-02,9.700164740851041634e-01,2.199985192079557117e-01
4.328761281083061407e-02,9.647505977842059099e-01,2.199985192079557117e-01
5.094138014816385757e-02,9.585677074936094222e-01,2.199985192079557117e-01
5.994842503189414668e-02,9.513113087379030386e-01,2.199985192079557117e-01
7.054802310718649716e-02,9.427995611162836020e-01,2.199985192079557117e-01
8.302175681319752532e-02,9.328217904287871010e-01,2.199985192079557117e-01
9.770099572992262116e-02,9.211348319592054246e-01,2.199985192079557117e-01
1.149756995397736847e-01,9.074593913382154042e-01,2.199985192079557117e-01
1.353047774579808349e-01,8.914767552357418801e-01,2.199985192079557117e-01
1.592282793341093794e-01,8.728264192507919628e-01,2.199985192079557117e-01
1.873817422860385995e-01,8.511055778990866960e-01,2.199985192079557117e-01
2.205130739903047865e-01,8.258720239932004770e-01,2.199985192079557117e-01
2.595024211399738490e-01,7.966529583609300857e-01,2.199985192079557117e-01
3.053855508833418497e-01,7.629636892456090891e-01,2.199985192079557117e-01
3.593813663804631409e-01,7.243423982419048279e-01,2.199985192079557117e-01
4.229242874389503304e-01,6.804101171230343414e-01,2.199985192079557117e-01
4.977023564332113681e-01,6.309681660215843424e-01,2.199985192079557117e-01
5.857020818056670741e-01,5.761457444092900060e-01,2.199985192079557117e-01
6.892612104349702395e-01,5.166001048469635037e-01,2.199985192079557117e-01
8.111308307896876180e-01,4.537343633440635848e-01,2.199985192079557117e-01
9.545484566618347433e-01,3.898177870222565566e-01,2.199985192079557117e-01
1.123324032978028741e+00,3.278055482375317187e-01,2.199985192079557117e-01
1.321941148466030169e+00,2.707166532573017648e-01,2.199985192079557117e-01
1.555676143930473820e+00,2.207819823798584657e-01,2.199985192079557117e-01
1.830738280295369780e+00,1.789125749469391291e-01,2.199985192079557117e-01
2.154434690031884259e+00,1.448089045822493759e-01,2.199985192079557117e-01
2.535364493970114097e+00,1.174690619629705779e-01,2.199985192079557117e-01
2.983647240283340274e+00,9.568015474871671699e-02,2.199985192079557117e-01
3.511191734215134641e+00,7.830581723424989704e-02,2.199985192079557117e-01
4.132012400115338657e+00,6.439512835193172968e-02,2.199985192079557117e-01
4.862601580065358142e+00,5.319411741191015786e-02,2.199985192079557117e-01
5.722367659350219959e+00,4.411923792348004802e-02,2.199985192079557117e-01
6.734150657750828550e+00,3.672252694515676374e-02,2.199985192079557117e-01
