# alpha,err_hub,lambda_hub,a_hub
1.000000000000000000e+01,2.425725131421494485e-01,3.979527764597684536e-01,9.641312482881863044e-01
1.009271514630571254e+01,2.406140306225523773e-01,3.886876553453293970e-01,9.640318849284277292e-01
1.018628990244687493e+01,2.386675463314391621e-01,3.793492903406516237e-01,9.639348227269151081e-01
1.028073223830865324e+01,2.367330697467271428e-01,3.699368134028738209e-01,9.638400966712488138e-01
1.037605019766911774e+01,2.348106083816385858e-01,3.604495796692096521e-01,9.637476609262758398e-01
1.047225189888434826e+01,2.329001677925401914e-01,3.508867739078223025e-01,9.636575482657723235e-01
1.056934553557988288e+01,2.310017516416706940e-01,3.412475679053283972e-01,9.635696397794498713e-01
1.066733937734857562e+01,2.291153617053662828e-01,3.315313371200601655e-01,9.634839137325753589e-01
1.076624177045493269e+01,2.272409979101004396e-01,3.217371754933626704e-01,9.634005294436709388e-01
1.086606113854597488e+01,2.253786583632404472e-01,3.118642024637593435e-01,9.633192122219054188e-01
1.096680598336868506e+01,2.235283393840266086e-01,3.019117540006307499e-01,9.632400354182528712e-01
1.106848488549412579e+01,2.216900355347455331e-01,2.918790142510380159e-01,9.631629514984367813e-01
1.117110650504824143e+01,2.198637396520730647e-01,2.817649435268791414e-01,9.630879054575132159e-01
1.127467958244946722e+01,2.180494428785573202e-01,2.715690473976052344e-01,9.630150062482984996e-01
1.137921293915315069e+01,2.162471346942194117e-01,2.612901835605776490e-01,9.629441003290152290e-01
1.148471547840289553e+01,2.144568029482452065e-01,2.509276925681093173e-01,9.628751302635516485e-01
1.159119618598885637e+01,2.126784338907428129e-01,2.404806038596344342e-01,9.628082140887543883e-01
1.169866413101307501e+01,2.109120122045469170e-01,2.299481921935684903e-01,9.627431596360143118e-01
1.180712846666190252e+01,2.091575210370388849e-01,2.193293568081705891e-01,9.626800683145081416e-01
1.191659843098559435e+01,2.074149420319704173e-01,2.086233991479441441e-01,9.626188343250621227e-01
1.202708334768512088e+01,2.056842553612594493e-01,1.978293966736640597e-01,9.625595000944549007e-01
1.213859262690627716e+01,2.039654397567438604e-01,1.869463579825020594e-01,9.625019823760947446e-01
1.225113576604118926e+01,2.022584725418707929e-01,1.759734988448203585e-01,9.624462350546858502e-01
1.236472235053714996e+01,2.005633296633015927e-01,1.649098383213775665e-01,9.623922942862066510e-01
1.247936205471310700e+01,1.988799857224123890e-01,1.537545227454917840e-01,9.623400109556780047e-01
1.259506464258357639e+01,1.972084140066772129e-01,1.425065904292217023e-01,9.622894970764871436e-01
1.271183996869028121e+01,1.955485865209090068e-01,1.311649573891301157e-01,9.622407866471567317e-01
1.282969797894147490e+01,1.939004740183465358e-01,1.197289044919225831e-01,9.621936100125860758e-01
1.294864871145904317e+01,1.922640460315709898e-01,1.081974074970531996e-01,9.621481143815638903e-01
1.306870229743346279e+01,1.906392709032345145e-01,9.656939702274705550e-02,9.621042767001402041e-01
1.318986896198669889e+01,1.890261158165871258e-01,8.484399033954462266e-02,9.620620092167744275e-01
1.331215902504307635e+01,1.874245468257882408e-01,7.302023523323378229e-02,9.620212495420114029e-01
1.343558290220825668e+01,1.858345288859892808e-01,6.109707025238576839e-02,9.619821417167347954e-01
1.356015110565633286e+01,1.842560258831733577e-01,4.907349873106043453e-02,9.619444542370219065e-01
1.368587424502518424e+01,1.826890006637422736e-01,3.694844941479739908e-02,9.619082893063006789e-01
1.381276302832009506e+01,1.811334150638368445e-01,2.472106303295391536e-02,9.618735618649336683e-01
1.394082826282577869e+01,1.795892299383805568e-01,1.239019772554375044e-02,9.618402509238229703e-01
1.407008085602685021e+01,1.780564051898365641e-01,-4.508746142827489960e-05,9.618083724367114673e-01
1.420053181653682373e+01,1.765348997966689204e-01,-1.258596961472704771e-02,9.617778575008636421e-01
1.433219225503573924e+01,1.750246718414962821e-01,-2.523358206159947992e-02,9.617487759038303441e-01
1.446507338521646346e+01,1.735256785389331924e-01,-3.798858809868535524e-02,9.617209892893209267e-01
1.459918652473978717e+01,1.720378762631091796e-01,-5.085258203855660269e-02,9.616944839648806642e-01
1.473454309619835101e+01,1.705612205748547883e-01,-6.382624467408032354e-02,9.616694102675353850e-01
1.487115462808953836e+01,1.690956662485578743e-01,-7.691087739421503811e-02,9.616454621288548221e-01
1.500903275579735840e+01,1.676411672986688473e-01,-9.010739273050785703e-02,9.616227855712116135e-01
1.514818922258345779e+01,1.661976770109998558e-01,-1.034172518417432601e-01,9.616014590508555893e-01
1.528863588058730194e+01,1.647651479478358105e-01,-1.168413380662057105e-01,9.615811808565208896e-01
1.543038469183564487e+01,1.633435320046521255e-01,-1.303808608180822282e-01,9.615622457223298447e-01
1.557344772926134269e+01,1.619327804141961202e-01,-1.440367523437554031e-01,9.615442698478269268e-01
1.571783717773162792e+01,1.605328437764967919e-01,-1.578105753077040929e-01,9.615274394656839752e-01
1.586356533508590516e+01,1.591436720832057894e-01,-1.717029704347510510e-01,9.615117830313415492e-01
1.601064461318317811e+01,1.577652147415740114e-01,-1.857155569780572502e-01,9.614972720320538180e-01
1.615908753895918437e+01,1.563974205980445120e-01,-1.998494466537157899e-01,9.614838124870185299e-01
1.630890675549332514e+01,1.550402379614701509e-01,-2.141057118836676709e-01,9.614713562830837779e-01
1.646011502308550689e+01,1.536936146259486602e-01,-2.284855157647617263e-01,9.614599671311674367e-01
1.661272522034293075e+01,1.523574978932769053e-01,-2.429903357213188675e-01,9.614495233937681018e-01
1.676675034527699992e+01,1.510318345950225627e-01,-2.576212381355369452e-01,9.614401990354581873e-01
1.692220351641037368e+01,1.497165711142081079e-01,-2.723793933520243238e-01,9.614316084797038808e-01
1.707909797389427808e+01,1.484116534066151072e-01,-2.872660853442861040e-01,9.614241855988818752e-01
1.723744708063619768e+01,1.471170270217005971e-01,-3.022827054594206531e-01,9.614175449577815336e-01
1.739726432343801577e+01,1.458326371231291052e-01,-3.174305123730517542e-01,9.614119649167403026e-01
1.755856331414468841e+01,1.445584285089225318e-01,-3.327106085354601950e-01,9.614071500723606611e-01
1.772135779080358375e+01,1.432943456312256725e-01,-3.481243730159079286e-01,9.614032697072862899e-01
1.788566161883461803e+01,1.420403326156882695e-01,-3.636733145048167692e-01,9.614001805210731222e-01
1.805148879221108160e+01,1.407963332804693657e-01,-3.793584911957743611e-01,9.613980282319257720e-01
1.821885343465167040e+01,1.395622911548581868e-01,-3.951812721378911153e-01,9.613965916529587652e-01
1.838776980082326773e+01,1.383381494975215453e-01,-4.111431616998585947e-01,9.613959808080112523e-01
1.855825227755518725e+01,1.371238513143719917e-01,-4.272453728113844162e-01,9.613960705893345171e-01
1.873031538506436533e+01,1.359193393760651514e-01,-4.434894160870610502e-01,9.613970148588155684e-01
1.890397377819221347e+01,1.347245562351242487e-01,-4.598764746491079691e-01,9.613987341660484853e-01
1.907924224765265109e+01,1.335394442426973693e-01,-4.764080307745133247e-01,9.614011381557565628e-01
1.925613572129197593e+01,1.323639455649476826e-01,-4.930856018489739312e-01,9.614042402981590740e-01
1.943466926536020267e+01,1.311980021990830636e-01,-5.099105010836959551e-01,9.614079944743387784e-01
1.961485808579430312e+01,1.300415559890235606e-01,-5.268843641926701515e-01,9.614125763905188027e-01
