# delta_large,l2,l1,Huber,BO
1.000000000000000021e-02,1.785394126738883980e-01,2.753679606831949123e-01,1.785394126738728549e-01,1.466188567940139853e-01
1.097498765493056146e-02,1.785822441049949028e-01,2.753725823821060459e-01,1.785822441049806919e-01,1.468626730493984844e-01
1.204503540258782326e-02,1.786292460599869791e-01,2.753776442641338029e-01,1.786292460599687715e-01,1.471149539367492265e-01
1.321941148466028795e-02,1.786808240367108169e-01,2.753831871597007819e-01,1.786808240366932754e-01,1.473760111363691117e-01
1.450828778495939428e-02,1.787374228440588020e-01,2.753892554674972626e-01,1.787374228440412605e-01,1.476461763641574443e-01
1.592282793341092198e-02,1.787995303830793858e-01,2.753958974220334088e-01,1.787995303830609561e-01,1.479258038135013997e-01
1.747528400007683849e-02,1.788676817846921452e-01,2.754031653743804764e-01,1.788676817846739375e-01,1.482152729398351632e-01
1.917910261672488639e-02,1.789424639673353745e-01,2.754111160782619638e-01,1.789424639673153905e-01,1.485149915229959650e-01
2.104904144512020903e-02,1.790245205858389532e-01,2.754198109887300294e-01,1.790245205858207456e-01,1.488253992222121624e-01
2.310129700083160542e-02,1.791145574711161537e-01,2.754293165616259476e-01,1.791145574711032751e-01,1.491469715099997817e-01
2.535364493970111363e-02,1.792133485801348236e-01,2.754397045558609758e-01,1.792133485801234993e-01,1.494802241133647014e-01
2.782559402207124277e-02,1.793217424880555466e-01,2.754510523316371362e-01,1.793217424880444444e-01,1.498257179940871708e-01
3.053855508833415444e-02,1.794406694976542482e-01,2.754634431397848804e-01,1.794406694976420358e-01,1.501840649096272129e-01
3.351602650938842465e-02,1.795711494024734289e-01,2.754769663950442649e-01,1.795711494024638810e-01,1.505559336347396249e-01
3.678379771828634015e-02,1.797142999644263384e-01,2.754917179253491000e-01,1.797142999644221195e-01,1.509420568864684453e-01
4.037017258596553582e-02,1.798713461685870207e-01,2.755078001870887583e-01,1.798713461685816917e-01,1.513432390113238490e-01
4.430621457583882455e-02,1.800436303242978209e-01,2.755253224365579179e-01,1.800436303242913816e-01,1.517603645459020267e-01
4.862601580065353118e-02,1.802326230698361176e-01,2.755444008401448652e-01,1.802326230698334530e-01,1.521944075317172018e-01
5.336699231206309957e-02,1.804399353791736882e-01,2.755651585159784034e-01,1.804399353791692473e-01,1.526464420864208638e-01
5.857020818056667133e-02,1.806673316176559130e-01,2.755877254822074462e-01,1.806673316176525823e-01,1.531176536460663318e-01
6.428073117284321958e-02,1.809167437550067703e-01,2.756122384988282104e-01,1.809167437550012192e-01,1.536093515439321822e-01
7.054802310718645553e-02,1.811902868230654828e-01,2.756388407821896980e-01,1.811902868230614860e-01,1.541229826150987137e-01
7.742636826811269413e-02,1.814902756856831001e-01,2.756676815677656656e-01,1.814902756856782151e-01,1.546601459505857479e-01
