# alpha,l2_mean,l2_std
1.261856883066020951e-01,9.838064327300809486e-01,4.747472447713876886e-02
1.788649529057436127e-01,9.795554712242404705e-01,4.399795031862549499e-02
2.535364493970112543e-01,9.513733396188136515e-01,2.809547670810869785e-02
3.593813663804629188e-01,9.202781293243427196e-01,2.723162348862060225e-02
5.094138014816381732e-01,9.278059508686654633e-01,3.482478902964070144e-02
7.220809018385467848e-01,8.883563470287869634e-01,3.906409818367580222e-02
1.023531021899026783e+00,8.543326904608272709e-01,4.507116579253573480e-02
1.450828778495940163e+00,7.856446729955930408e-01,2.863578358689162009e-02
2.056512308348652507e+00,7.214810332420567018e-01,3.275457106036296778e-02
2.915053062825177399e+00,6.743081425813484131e-01,1.901762041011277257e-02
4.132012400115338657e+00,5.795965559415694468e-01,1.905659193165445270e-02
5.857020818056669853e+00,4.969116946530910961e-01,2.410577547295762735e-02
8.302175681319747369e+00,3.967942168072567388e-01,2.559482859910994570e-02
1.176811952434998432e+01,3.029924794680586286e-01,8.418206877524397891e-03
1.668100537200059819e+01,2.442294913986383376e-01,1.066568725413449131e-02
2.364489412645408350e+01,1.941394998020448681e-01,1.225811205819479777e-02
3.351602650938842487e+01,1.629453585419659567e-01,7.186230860424065378e-03
4.750810162102800405e+01,1.433926220327517986e-01,8.393720735794581861e-03
6.734150657750825530e+01,1.263398656985909307e-01,5.052100178632981144e-03
9.545484566618341660e+01,1.153987225200953093e-01,5.725190959540435616e-03
