# alpha,l2_mean,l2_std,hub_mean,hub_std
1.261856883066020951e-01,9.658131345629279441e-01,5.566708606819731342e-02,9.871864136552840341e-01,5.113381227540201440e-02
1.788649529057436127e-01,9.659062300463551187e-01,6.739906379931709379e-02,9.561546514019394483e-01,4.208276174391726437e-02
2.535364493970112543e-01,9.523551484568087977e-01,3.639500307168241910e-02,9.564538657277292799e-01,4.476723955489303464e-02
3.593813663804629188e-01,9.602660284042526806e-01,5.179286824581542242e-02,9.263999233234997410e-01,5.366474479263830255e-02
5.094138014816381732e-01,9.145524665483147908e-01,3.800057062650979978e-02,8.800059418827457236e-01,3.697669993153911844e-02
7.220809018385467848e-01,8.926542206147651815e-01,5.172524433024988655e-02,8.486399066460480478e-01,3.213379340315802857e-02
1.023531021899026783e+00,8.324901561351817358e-01,2.999990197007916179e-02,8.166439298255744328e-01,3.479117237822032527e-02
1.450828778495940163e+00,7.919772367548711944e-01,3.207853380342488153e-02,7.622344220696449790e-01,3.617368799245375410e-02
2.056512308348652507e+00,7.360870443108457062e-01,3.610776799141748178e-02,6.657262522691531625e-01,2.755756929239713826e-02
2.915053062825177399e+00,6.591220900500550650e-01,4.187621127144830480e-02,5.816570279462736082e-01,2.923982286580816339e-02
4.132012400115338657e+00,5.696608319596208059e-01,2.661188958175085204e-02,4.635892259970569862e-01,2.047755187675700736e-02
5.857020818056669853e+00,4.726069720515469474e-01,2.499956532261094280e-02,3.741076729798652467e-01,2.177901803683223933e-02
8.302175681319747369e+00,3.934086072996209049e-01,2.314952029527025598e-02,2.838087559530460546e-01,1.353096672115786797e-02
1.176811952434998432e+01,3.089749797587240110e-01,1.040403688389369627e-02,2.107463149231062205e-01,1.174217763533235391e-02
1.668100537200059819e+01,2.512393429029788350e-01,9.707912531979836016e-03,1.531442600549726973e-01,7.574721406116048314e-03
2.364489412645408350e+01,2.006133512299367871e-01,8.868227622526179271e-03,1.102847561654223957e-01,7.246248278347425242e-03
3.351602650938842487e+01,1.655186498359614844e-01,5.266343021131996913e-03,8.519403776769005066e-02,3.682892477329144203e-03
4.750810162102800405e+01,1.357688822568929865e-01,6.572505223760671637e-03,6.878035455429205858e-02,2.549162348850647370e-03
6.734150657750825530e+01,1.263189792312912341e-01,6.606895129577874254e-03,5.602864522598841740e-02,3.018767731241699896e-03
9.545484566618341660e+01,1.136774229049879736e-01,5.112742241770966943e-03,4.671218840464617938e-02,2.507408901586278757e-03
