# alpha,l2_mean,l2_std,l1_mean,l1_std,hub_mean,hub_std
1.261856883066020951e-01,6.127622612706405958e-01,4.710433396909299297e-01,6.265900511216802027e-01,5.679155858871779428e-01,9.972899025639113679e-01,8.230665474979445007e-01
1.788649529057436127e-01,8.178065074776614818e-01,6.038584248530241005e-01,1.295037309668497283e+00,1.104260232335901648e+00,1.430353453771854522e+00,9.577648870619677179e-01
2.535364493970112543e-01,9.144266092732207252e-01,7.194501551006198259e-01,6.417272586845070848e-01,7.867942435292676340e-01,6.293936883570183660e-01,3.454346599228694803e-01
3.593813663804629188e-01,8.277281217228207311e-01,6.872004975807627369e-01,9.314478303075903742e-01,1.089733790771995947e+00,1.656307997232828955e+00,1.440843199857842594e+00
5.094138014816381732e-01,8.207118578062647662e-01,5.876250665531110862e-01,7.175615951088570865e-01,9.697982686783814810e-01,7.286176039912490854e-01,4.679831948241348072e-01
7.220809018385467848e-01,1.230170961077856839e+00,6.221291709244706203e-01,4.063065417108964184e-01,4.507918093648055069e-01,8.926563224297288102e-01,4.390296006595410527e-01
1.023531021899026783e+00,9.194364381025129651e-01,5.903201134609613598e-01,8.851771140454323117e-01,7.356017630217110970e-01,1.235695141177546530e+00,1.566358692478800885e+00
1.450828778495940163e+00,5.252499904009579890e-01,4.567419372895655250e-01,5.047617319797480517e-01,5.285985384059941339e-01,1.438078620317949641e+00,1.209662827299385901e+00
2.056512308348652507e+00,5.725825954928466244e-01,3.854732292430073648e-01,3.159059644401758793e-01,4.704363881055090291e-01,3.394976133588918921e-01,3.268713656808007184e-01
2.915053062825177399e+00,3.511692150350115837e-01,3.786781888233126669e-01,3.653079097874585290e-01,3.124818668971358071e-01,4.225773821659729035e-01,4.046334039033158692e-01
4.132012400115338657e+00,3.663004212852160602e-01,2.844942502233649417e-01,4.030926978429733576e-01,5.506350483354053305e-01,6.120404279900706346e-01,4.754774018304906980e-01
5.857020818056669853e+00,2.499537636405273489e-01,1.767334792101003527e-01,3.857320145732104910e-01,5.644417862723325463e-01,4.924119208990072605e-01,3.411389824055655606e-01
8.302175681319747369e+00,2.502959116471082934e-01,1.597811266456844737e-01,1.716904148052112444e-01,1.694887958423597907e-01,3.531500625888474021e-01,4.267521797145816809e-01
1.176811952434998432e+01,1.748887984068475399e-01,1.303034468022952197e-01,1.092422136666068300e-01,1.009119019547933538e-01,3.956762678712267833e-01,4.381754661722849220e-01
1.668100537200059819e+01,1.526905501412712529e-01,1.059248753264416532e-01,1.315312458225644521e-01,1.245925419462013406e-01,3.734400188790689690e-01,3.407509873439108494e-01
2.364489412645408350e+01,9.243622336926757277e-02,1.086779828679637766e-01,1.704368297361352480e-01,1.409737968655438156e-01,1.143334814084845108e-01,9.275527684562583086e-02
3.351602650938842487e+01,3.770945932247966870e-02,3.621283617917354231e-02,1.039162964832210101e-01,1.221417020512018115e-01,1.317440341293061867e-01,1.750894037931258196e-01
4.750810162102800405e+01,5.810162987828434294e-02,5.097505599026003892e-02,8.080098639159835616e-02,6.473017116500072443e-02,1.599147540787446697e-01,1.571715609606834652e-01
6.734150657750825530e+01,2.549537413989812901e-02,1.902846364615435118e-02,2.310984931720299132e-02,1.496824111472407418e-02,3.362284561797122540e-01,9.382444980063882056e-01
9.545484566618341660e+01,2.192856989169064338e-02,1.127034166760726083e-02,1.591991486221535843e-02,1.546711600353934714e-02,6.634585529660240455e-02,7.115603952554451495e-02
