# alpha,l1_mean,l1_std
1.261856883066020951e-01,-3.105036184601417870e+231,-3.105036184601417870e+231
1.788649529057436127e-01,2.320363673626382528e+77,3.111099046345575457e+231
2.535364493970112543e-01,2.781434948743355197e+180,2.983516309431691070e+256
3.593813663804629188e-01,7.139946685771343036e+247,0.000000000000000000e+00
5.094138014816381732e-01,7.699723953290342029e+218,0.000000000000000000e+00
7.220809018385467848e-01,1.385192493574073767e+219,0.000000000000000000e+00
1.023531021899026783e+00,1.235588057137434529e-259,0.000000000000000000e+00
1.450828778495940163e+00,1.125470242927605962e-153,0.000000000000000000e+00
2.056512308348652507e+00,-3.105036184601417870e+231,0.000000000000000000e+00
2.915053062825177399e+00,-3.105036184601417870e+231,0.000000000000000000e+00
4.132012400115338657e+00,1.061120948796370359e-153,0.000000000000000000e+00
5.857020818056669853e+00,1.969600573225569477e-153,0.000000000000000000e+00
8.302175681319747369e+00,5.392306857381295437e+241,6.951450557034982367e-310
1.176811952434998432e+01,7.492316698214729923e+247,6.951450562640453558e-310
1.668100537200059819e+01,3.994611089195245250e+252,6.951450552632659836e-310
2.364489412645408350e+01,6.951450266237083439e-310,6.951446230257065175e-310
3.351602650938842487e+01,-3.105036184601417870e+231,2.249662820248620096e-314
4.750810162102800405e+01,-3.105036184601417870e+231,6.951450562061803874e-310
6.734150657750825530e+01,2.470328229206232721e-323,2.249662804438519429e-314
9.545484566618341660e+01,0.000000000000000000e+00,6.951450562077613975e-310
1.353047774579807481e+02,0.000000000000000000e+00,6.951450562080775995e-310
1.917910261672488730e+02,0.000000000000000000e+00,2.249662804438519429e-314
2.718588242732940330e+02,0.000000000000000000e+00,2.249662820248620096e-314
3.853528593710527161e+02,0.000000000000000000e+00,2.249463865941827576e-314
5.462277217684347761e+02,2.320363671897553220e+77,6.951449864256133768e-310
7.742636826811277615e+02,1.812217166395653817e-308,1.807874759699921372e-308
