# alpha,l1_mean,l1_std
1.261856883066020951e-01,9.548573562337819842e-01,7.082837860233748284e-02
1.788649529057436127e-01,9.630201383430211370e-01,7.525431074052760239e-02
2.535364493970112543e-01,9.186580005686257877e-01,4.052145105462559571e-02
3.593813663804629188e-01,8.990274220525593663e-01,6.275554413491911399e-02
5.094138014816381732e-01,8.454408658473425708e-01,6.497416645257406143e-02
7.220809018385467848e-01,8.165689831960927236e-01,5.863892611429444290e-02
1.023531021899026783e+00,7.397853201883485275e-01,4.063551557937728625e-02
1.450828778495940163e+00,6.908324692474104856e-01,5.370327279525558689e-02
2.056512308348652507e+00,5.960386376629509542e-01,3.202298860754446141e-02
2.915053062825177399e+00,4.912877862628713954e-01,2.024035383177233069e-02
4.132012400115338657e+00,3.880838479471895308e-01,2.363708568012213435e-02
5.857020818056669853e+00,3.073941929199918155e-01,1.461326615734538995e-02
8.302175681319747369e+00,2.302501026666147754e-01,1.131838257806627897e-02
1.176811952434998432e+01,1.737126793352610776e-01,8.195397049913769397e-03
1.668100537200059819e+01,1.281286325702109541e-01,7.974931918630599748e-03
2.364489412645408350e+01,8.829139305720516695e-02,5.501028713988940708e-03
3.351602650938842487e+01,6.367835922640763258e-02,3.967412350424654593e-03
4.750810162102800405e+01,4.628979353838826027e-02,2.861570146764831537e-03
6.734150657750825530e+01,3.306338449833784443e-02,2.691037694720668002e-03
9.545484566618341660e+01,2.312915547974929084e-02,7.222514095378317414e-04
