# alpha,l2_mean,l2_std,hub_mean,hub_std
1.261856883066020951e-01,9.910478275561122041e-01,2.742737428565217642e-02,9.878476647018107348e-01,4.473312798263825996e-02
1.788649529057436127e-01,9.708344332676176469e-01,4.372563036883082843e-02,9.689224550550579185e-01,3.426868007485576323e-02
2.535364493970112543e-01,9.566868554160082860e-01,2.778403871553709187e-02,9.490381134861871626e-01,5.176733275733119699e-02
3.593813663804629188e-01,9.381357557874576703e-01,3.353702903511072975e-02,9.484537595612577698e-01,4.151312233023344428e-02
5.094138014816381732e-01,9.112725276619164649e-01,3.134056656801113144e-02,9.060780734354404453e-01,5.512748448666868195e-02
7.220809018385467848e-01,8.878363304749958829e-01,3.297525291313686130e-02,8.592275833930733686e-01,4.126073453070669417e-02
1.023531021899026783e+00,8.350019964376638182e-01,2.649771008053779936e-02,8.127201895369683404e-01,2.956001776483880433e-02
1.450828778495940163e+00,8.025867434088201913e-01,4.074230760642893329e-02,7.502284112504008506e-01,4.274552553148982387e-02
2.056512308348652507e+00,7.325110067095131905e-01,2.752831544705253153e-02,6.811528560718954628e-01,3.788374680902634878e-02
2.915053062825177399e+00,6.515649315196520019e-01,1.970124245165185209e-02,5.743203111376473657e-01,3.433993126173453397e-02
