# alpha,l2_mean,l2_std,hub_mean,hub_std
1.261856883066020951e-01,9.576013361033858251e-01,2.800139727677247031e-02,9.734666916926177915e-01,2.770874369178104313e-02
1.788649529057436127e-01,9.639407436242907190e-01,2.705774902414649977e-02,9.523681540990638350e-01,3.171467933420007990e-02
2.535364493970112543e-01,9.182228331175622538e-01,5.191565374897663676e-02,9.161808094713992379e-01,5.168864016196231259e-02
3.593813663804629188e-01,8.876292520146762399e-01,3.486804435190858642e-02,8.795253035036492140e-01,3.744215705368484498e-02
5.094138014816381732e-01,8.968107198292185611e-01,3.601042389902360530e-02,8.415498182986465014e-01,3.386945493148441066e-02
7.220809018385467848e-01,8.136365380402927894e-01,3.640538193553942425e-02,7.944031494350917155e-01,2.391088552183027668e-02
1.023531021899026783e+00,7.631755147592627075e-01,3.337105417836373072e-02,7.365805527815012521e-01,3.534336596699937105e-02
1.450828778495940163e+00,6.691230050945355945e-01,3.984217666514204559e-02,6.329280557092966664e-01,2.835297224803859026e-02
2.056512308348652507e+00,5.637491292790322017e-01,3.140872628903409319e-02,5.384014298233387175e-01,1.931512516008963148e-02
2.915053062825177399e+00,4.902083537016013182e-01,2.414321404826291761e-02,4.342808508113596977e-01,1.836990413562968050e-02
4.132012400115338657e+00,3.805843014286699466e-01,1.674709831388529815e-02,3.446473230716628477e-01,1.616042762907124453e-02
5.857020818056669853e+00,2.926769801707875263e-01,1.259273367453463827e-02,2.641589165961833463e-01,1.237528315504835691e-02
8.302175681319747369e+00,2.308109488292965084e-01,1.199746191388129796e-02,1.921554673696425908e-01,7.044320193085510870e-03
1.176811952434998432e+01,1.685508048431014483e-01,7.656463596455016958e-03,1.362557453767591908e-01,5.801809777311419877e-03
1.668100537200059819e+01,1.230693494932471460e-01,2.230132444992145250e-03,1.035108047683720445e-01,4.122037564858597666e-03
2.364489412645408350e+01,8.690311716940886388e-02,3.323941814190965478e-03,7.203298923585191305e-02,2.897700863767093456e-03
3.351602650938842487e+01,6.279341157974867305e-02,2.512505245132413880e-03,5.151577472587537398e-02,2.463165534463508406e-03
4.750810162102800405e+01,4.497495945601535927e-02,2.101052367192669020e-03,3.630763084624152176e-02,2.578443397215885325e-03
6.734150657750825530e+01,3.186982264855449387e-02,1.161807463833556793e-03,2.662907627742693364e-02,1.922709645235504226e-03
9.545484566618341660e+01,2.289880260841082454e-02,1.024056149114160224e-03,1.903787771801102036e-02,1.297186082062732780e-03
1.353047774579807481e+02,1.598477888887353537e-02,6.685748045986831568e-04,1.323761788735997036e-02,6.399991708035827941e-04
1.917910261672488730e+02,1.144197333494603903e-02,3.619823885680044373e-04,1.024101227971945492e-02,2.306460614595257259e-03
2.718588242732940330e+02,8.123305057172533136e-03,4.426420056095240569e-04,6.965354175889363827e-03,1.236757337463812974e-03
3.853528593710527161e+02,5.857711583591659193e-03,2.673255301613258164e-04,4.786940367508650193e-03,9.363286811180789818e-04
5.462277217684347761e+02,4.125962028395190224e-03,1.251667551514418263e-04,3.587186486651541134e-03,8.740331501412202829e-04
7.742636826811277615e+02,2.829352637156124124e-03,1.132820129399559006e-04,2.651009350171521731e-03,7.831573832054808393e-04
