# alpha,l2_mean,l2_std,hub_mean,hub_std
1.261856883066020951e-01,9.472198511282666766e-01,7.459479149149527144e-01,6.623936546735668118e-01,6.223597339504312043e-01
1.788649529057436127e-01,5.859989221126780112e-01,3.504133443911988111e-01,7.019351680527319282e-01,5.605841258243109415e-01
2.535364493970112543e-01,3.880556748179255777e-01,3.701359936791787097e-01,6.834258210487156315e-01,4.213740322084761347e-01
3.593813663804629188e-01,1.008452256838371586e+00,7.292151997771553207e-01,4.091765969027665872e-01,3.023200048994990619e-01
5.094138014816381732e-01,6.875165839979333615e-01,8.634864013307602670e-01,1.231485982567565030e+00,1.015706574357861269e+00
7.220809018385467848e-01,5.340131406023488347e-01,5.182466704522806777e-01,1.286947840849429259e+00,9.677523300336671186e-01
1.023531021899026783e+00,8.553604395439184938e-01,6.506087611867701348e-01,4.053686333097978323e-01,3.819369988437214536e-01
1.450828778495940163e+00,6.056969636768771981e-01,5.508353230776072973e-01,6.468945770203728962e-01,3.116723442857774473e-01
2.056512308348652507e+00,7.342034831286489149e-01,5.763044275622414281e-01,5.299626678973089478e-01,6.254202082206761215e-01
2.915053062825177399e+00,5.299199640214988793e-01,4.691248444869787759e-01,7.871842519321707865e-01,8.048329626647426904e-01
4.132012400115338657e+00,7.006346391807872775e-01,9.752594144470404514e-01,7.614804025540771182e-01,1.391552379793520089e+00
5.857020818056669853e+00,3.052590047316429689e-01,2.794589569885223002e-01,4.547296590677124550e-01,4.371305240187444152e-01
8.302175681319747369e+00,1.308326133589923501e-01,1.051948495351750501e-01,3.559724251714543874e-01,3.964771501591679015e-01
1.176811952434998432e+01,1.890849570786390377e-01,1.388951615024501818e-01,1.497526311076377570e-01,1.121755893672152365e-01
1.668100537200059819e+01,5.788738167553895975e-02,4.296071396313170393e-02,2.080466999895065894e-01,3.319313307691945103e-01
2.364489412645408350e+01,8.929736960497566822e-02,7.769702475089058924e-02,7.007675848160832555e-01,1.342686313313435909e+00
3.351602650938842487e+01,5.362312936326492363e-02,5.826876772051010206e-02,3.916351696854628028e-01,6.401501506481620529e-01
4.750810162102800405e+01,6.162774437318683379e-02,7.890803736816455471e-02,2.541584437055974810e-01,4.906573799500723587e-01
6.734150657750825530e+01,3.910819874533155022e-02,2.570175352516235884e-02,1.139331297001847237e-01,1.605054317237646633e-01
9.545484566618341660e+01,2.362848237867701956e-02,2.348779722585863164e-02,7.825950861486823396e-01,9.284176787248380469e-01
1.353047774579807481e+02,1.152958581436683630e-02,1.952860109899165128e-02,5.448349802915679607e-01,7.093815143073332052e-01
1.917910261672488730e+02,1.655563174112082217e-02,8.238221366971791929e-03,2.203998497319132055e-01,4.268275591706014449e-01
2.718588242732940330e+02,8.656240670533997192e-03,6.981553381679738747e-03,2.433583807804337584e-01,4.770959758984242294e-01
3.853528593710527161e+02,5.127576348259083906e-03,4.026919373723424067e-03,1.717200264330246695e-01,3.437717964297694051e-01
5.462277217684347761e+02,1.988878091541248453e-03,2.476680565567003153e-03,7.634722658510877114e-02,8.037225357879870802e-02
7.742636826811277615e+02,2.519131924202392542e-03,3.151504464117961795e-03,7.668566788092745501e-02,1.222362099871081853e-01
