# alpha,l2_mean,l2_std,hub_mean,hub_std
1.261856883066020951e-01,6.687900837389627595e-01,5.289421136319616412e-01,1.080441518168264725e+00,1.037776936226599611e+00
1.788649529057436127e-01,7.681692451084021211e-01,6.769510666220321937e-01,6.685918960709089642e-01,5.479077660432386532e-01
2.535364493970112543e-01,5.845617315277124026e-01,8.100834606342487421e-01,1.692435068160709433e+00,1.734871433104590466e+00
3.593813663804629188e-01,7.416383283988159381e-01,7.422425481694442384e-01,1.164604915113433226e+00,1.099969531376091325e+00
5.094138014816381732e-01,1.035882486649376766e+00,1.088982826422793648e+00,9.436601591010163048e-01,8.631481483672750477e-01
7.220809018385467848e-01,9.981884072202278357e-01,1.175587111947460350e+00,1.304876341865191192e+00,5.571433241740375575e-01
1.023531021899026783e+00,1.049280982839695620e+00,1.070301022242536204e+00,6.805030311259969711e-01,5.838315591100577961e-01
1.450828778495940163e+00,6.722313675405031663e-01,7.845428151261494287e-01,8.928016143452556230e-01,7.391040859376066807e-01
2.056512308348652507e+00,5.525058943896832275e-01,7.171806585205336981e-01,7.996797698979323243e-01,8.568438805441023209e-01
2.915053062825177399e+00,3.147051097192334335e-01,2.407590330595350547e-01,4.111578847389828484e-01,4.610113074479809669e-01
4.132012400115338657e+00,4.491132323322517550e-01,3.858125842706092712e-01,8.645938770137988616e-01,1.210121669619276474e+00
5.857020818056669853e+00,3.461624293406734276e-01,2.611679979912569505e-01,2.868735787149038208e-01,2.362092426329374384e-01
8.302175681319747369e+00,1.718839270547080633e-01,1.928549169564613697e-01,5.829033579125965092e-01,1.189141811930667147e+00
1.176811952434998432e+01,1.886411511478374714e-01,1.643504817344104418e-01,4.422237984170102609e-01,1.049736144523669035e+00
1.668100537200059819e+01,2.072490823341157085e-01,1.909716765424216423e-01,1.450315361237717038e-01,1.880279867974223584e-01
2.364489412645408350e+01,1.341909480560545820e-01,8.313584915574916134e-02,1.490817880518431338e-01,2.746576068014662808e-01
3.351602650938842487e+01,6.243813798637486145e-02,8.198848137228974264e-02,7.362143086709187489e-01,1.015144509322244870e+00
4.750810162102800405e+01,5.898480579729702133e-02,4.976101129828006120e-02,1.024363230157866178e-01,1.534155498633316406e-01
6.734150657750825530e+01,4.989099515738713853e-02,6.016444858270720425e-02,6.792712856619455286e-02,1.121011205604348082e-01
9.545484566618341660e+01,1.781089340275505278e-02,1.152567270516859088e-02,5.105147437548718248e-01,9.325623085776542087e-01
1.353047774579807481e+02,1.180849159690071370e-02,8.936399448361123654e-03,1.368271065174735401e-01,2.394350740527811938e-01
1.917910261672488730e+02,1.291083543569166922e-02,8.038632143038890177e-03,7.451148860989531553e-01,1.406759068063026641e+00
2.718588242732940330e+02,1.108238504934425453e-02,1.046890928365035341e-02,3.272212433480539695e-02,5.977897884421077418e-02
3.853528593710527161e+02,6.842994978199863805e-03,4.667326105055333643e-03,6.261000458607279828e-01,1.064985782586306717e+00
5.462277217684347761e+02,4.269171212875435585e-03,2.668432197554861454e-03,1.269330850691420542e-01,2.801654700704922507e-01
7.742636826811277615e+02,3.224234094207591248e-03,2.271335638262283498e-03,1.895285222519817458e-01,3.212876493822657276e-01
