# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000472e-01,9.593386622447602763e-01,1.399999999999999911e+00,9.647016496945586272e-01,1.282570459842681032e+00,9.578598981107390165e-01,1.155868627684254246e+00,1.505830174984623238e+00,9.578061943492128805e-01
1.123324032978027937e-01,9.544621983430938705e-01,1.399999999999999911e+00,9.604636037662802606e-01,1.282873570919035977e+00,9.528017864183526697e-01,1.155458322526440096e+00,1.506206995082917111e+00,9.527414385265953189e-01
1.261856883066020951e-01,9.490201227951743368e-01,1.399999933242797701e+00,9.557325497560917871e-01,1.283208091259001815e+00,9.471559555803354957e-01,1.154999811755093031e+00,1.506630818128540827e+00,9.470881396491284132e-01
1.417474162926805892e-01,9.429518830177799904e-01,1.400000001043081088e+00,9.504552445181666531e-01,1.283576382398604832e+00,9.408592465586693709e-01,1.154487866457969414e+00,1.507108265036785077e+00,9.407830363838198817e-01
1.592282793341092961e-01,9.361917934907610928e-01,1.399999999999999911e+00,9.445737711081590993e-01,1.283980991542338801e+00,9.338430944982124560e-01,1.153916446356089143e+00,1.507645490906396990e+00,9.337574490273208294e-01
1.788649529057436127e-01,9.286689800874592393e-01,1.400000016689300519e+00,9.380254217112502513e-01,1.284424324035643883e+00,9.260334587714935672e-01,1.153279431923117881e+00,1.508250505495691396e+00,9.259372081567589508e-01
2.009233002565047888e-01,9.203074530185620938e-01,1.399999966621399139e+00,9.307426712553775738e-01,1.284908397197722874e+00,9.173508873838422950e-01,1.152569850706119947e+00,1.508931567337039148e+00,9.172427175528252707e-01
2.257019719633921451e-01,9.110263524104660338e-01,1.399999999999999911e+00,9.226532741112101199e-01,1.285435445047914849e+00,9.077107632262135795e-01,1.151780478371130290e+00,1.509698766588596808e+00,9.075891989574436103e-01
2.535364493970112543e-01,9.007404199442486936e-01,1.400000004172325285e+00,9.136805232392400944e-01,1.286007145643234040e+00,8.970237903986817418e-01,1.150903546215410689e+00,1.510562794274219911e+00,8.968871769615776035e-01
2.848035868435803142e-01,8.893607600513172562e-01,1.400000066757201900e+00,9.037437187030963326e-01,1.286624608039855566e+00,8.851967906082158777e-01,1.149930478221298014e+00,1.511535361868296512e+00,8.850432741798802683e-01
3.199267137797385252e-01,8.767959642003892995e-01,1.400000004172325063e+00,8.927589002484532799e-01,1.287288676351308503e+00,8.721338918137941931e-01,1.148852936089370225e+00,1.512630916750905996e+00,8.719613990888266386e-01
3.593813663804629188e-01,8.629536806169717522e-01,1.399999999739229617e+00,8.806399059855514189e-01,1.287999172210692711e+00,8.577382026287212469e-01,1.147661936553825646e+00,1.513864094943404570e+00,8.575444204088851219e-01
4.037017258596556912e-01,8.477427174145969468e-01,1.399999949932098087e+00,8.672998250400224540e-01,1.288755210041999444e+00,8.419140744281002897e-01,1.146348564658212776e+00,1.515251848933884871e+00,8.416964304597994717e-01
4.534878508128584174e-01,8.310757667082832034e-01,1.399999995827674759e+00,8.526529148174925021e-01,1.289554848670958931e+00,8.245700554503514468e-01,1.144904108775136375e+00,1.516812972627370470e+00,8.243257025312631381e-01
5.094138014816381732e-01,8.128728267642186811e-01,1.400000008344650215e+00,8.366170507498795761e-01,1.290395079851150317e+00,8.056226326822963912e-01,1.143320169736696812e+00,1.518567482445737582e+00,8.053484390260685633e-01
5.722367659350220404e-01,7.930653732847474657e-01,1.400000020861625227e+00,8.191167655569068229e-01,1.291271626949309859e+00,7.850008315277423598e-01,1.141589291790942706e+00,1.520537078561142508e+00,7.846933818627395141e-01
6.428073117284324178e-01,7.716012831633535241e-01,1.400000004172325063e+00,8.000869116016950944e-01,1.292179090976714129e+00,7.626516919892369906e-01,1.139705377361381000e+00,1.522745368504510477e+00,7.623073053715856418e-01
7.220809018385467848e-01,7.484504377730735181e-01,1.400000002086162487e+00,7.794769400670273907e-01,1.293111067414283166e+00,7.385465541283490198e-01,1.137664205469342438e+00,1.525216132017793935e+00,7.381613266021489483e-01
8.111308307896873959e-01,7.236108228532149855e-01,1.399999996349215348e+00,7.572557300281513859e-01,1.294059933423995279e+00,7.126879566922058595e-01,1.135464117449142663e+00,1.527973913952400897e+00,7.122578387615143836e-01
9.111627561154895805e-01,6.971147974589859686e-01,1.400000033378600905e+00,7.334168156281131168e-01,1.295017632246017403e+00,6.851167772163383463e-01,1.133106592782882505e+00,1.531042384619360153e+00,6.846376974874763821e-01
1.023531021899026783e+00,6.690350331472811884e-01,1.399999999999999911e+00,7.079837509442059584e-01,1.295975756645202592e+00,6.559190265345634652e-01,1.130597052136823155e+00,1.534443080728745246e+00,6.553870727484294445e-01
1.149756995397736237e+00,6.394894481332190628e-01,1.399999991655349607e+00,6.810152256931126802e-01,1.296926354169845474e+00,6.252314802940621696e-01,1.127945632220304972e+00,1.538194170003561512e+00,6.246431458875338905e-01
1.291549665014884773e+00,6.086443186676389061e-01,1.400000020861625671e+00,6.526094151164852919e-01,1.297862239815294361e+00,5.932451345151701361e-01,1.125167243759106928e+00,1.542308037425172529e+00,5.925976315714114318e-01
1.450828778495940163e+00,5.767146970258728578e-01,1.399999983310699525e+00,6.229069403512008662e-01,1.298777923583984251e+00,5.602053876733070759e-01,1.122282290355795187e+00,1.546789435900164822e+00,5.594970144296835812e-01
1.629750834620645072e+00,5.439613646089879184e-01,1.399999966621398917e+00,5.920917677410257873e-01,1.299670099169015547e+00,5.264079680356682500e-01,1.119315766123502254e+00,1.551633004968284935e+00,5.256385016045924674e-01
1.830738280295368670e+00,5.106838475494378526e-01,1.399999966621398695e+00,5.603894280802913519e-01,1.300537989735603084e+00,4.921900163846346654e-01,1.116297290319453239e+00,1.556821740754951833e+00,4.913610820363505383e-01
