# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000000e+01,3.497078825199761987e-01,9.364687134855728123e-01,2.798824962117061332e-01,8.665502428218242459e-01,2.425725131421494485e-01,3.979527764597684536e-01,9.641312482881863044e-01,2.206634639084790184e-01
1.009271514630571254e+01,3.475369520488782449e-01,9.114051434865844126e-01,2.777590954115807254e-01,8.568599633391886794e-01,2.406140306225523773e-01,3.886876553453293970e-01,9.640318849284277292e-01,2.187981637520723943e-01
1.018628990244687493e+01,3.453725658441393342e-01,8.860777388829754742e-01,2.756466500598895308e-01,8.470891148176373786e-01,2.386675463314391621e-01,3.793492903406516237e-01,9.639348227269151081e-01,2.169457285607334640e-01
1.028073223830865324e+01,3.432147955049646981e-01,8.604843292559649637e-01,2.735452032770959718e-01,8.372367724434202074e-01,2.367330697467271428e-01,3.699368134028738209e-01,9.638400966712488138e-01,2.151061411531898226e-01
1.037605019766911774e+01,3.410637115135739528e-01,8.346219407146484581e-01,2.714547960682540673e-01,8.273022029951658807e-01,2.348106083816385858e-01,3.604495796692096521e-01,9.637476609262758398e-01,2.132793825209227112e-01
1.047225189888434826e+01,3.389193832296129028e-01,8.084884469196851331e-01,2.693754673400967636e-01,8.172846795708172962e-01,2.329001677925401914e-01,3.508867739078223025e-01,9.636575482657723235e-01,2.114654318687154699e-01
1.056934553557988288e+01,3.367818788849499256e-01,7.820811264047756728e-01,2.673072539188086072e-01,8.071835080865359391e-01,2.310017516416706940e-01,3.412475679053283972e-01,9.635696397794498713e-01,2.096642666550601053e-01
1.066733937734857562e+01,3.346512655788551616e-01,7.553973485931575471e-01,2.652501905684576666e-01,7.969977304209509006e-01,2.291153617053662828e-01,3.315313371200601655e-01,9.634839137325753589e-01,2.078758626321011160e-01
1.076624177045493269e+01,3.325276092735605094e-01,7.284346120211138143e-01,2.632043100100638355e-01,7.867265155146421218e-01,2.272409979101004396e-01,3.217371754933626704e-01,9.634005294436709388e-01,2.061001938898305852e-01
1.086606113854597488e+01,3.304109747901979866e-01,7.011903533590971849e-01,2.611696429412717624e-01,7.763691131625712893e-01,2.253786583632404472e-01,3.118642024637593435e-01,9.633192122219054188e-01,2.043372328905461721e-01
1.096680598336868506e+01,3.283014258051137890e-01,6.736619502671012949e-01,2.591462180566066476e-01,7.659249821349445320e-01,2.235283393840266086e-01,3.019117540006307499e-01,9.632400354182528712e-01,2.025869505127442238e-01
1.106848488549412579e+01,3.261990248465560516e-01,6.458462575574031028e-01,2.571340620682875944e-01,7.553927248234989511e-01,2.216900355347455331e-01,2.918790142510380159e-01,9.631629514984367813e-01,2.008493160906730246e-01
1.117110650504824143e+01,3.241038332917338671e-01,6.177415090867683922e-01,2.551331997275654295e-01,7.447721037867258698e-01,2.198637396520730647e-01,2.817649435268791414e-01,9.630879054575132159e-01,1.991242974542277722e-01
1.127467958244946722e+01,3.220159113642431237e-01,5.893441903746234889e-01,2.531436538465672292e-01,7.340617289692292768e-01,2.180494428785573202e-01,2.715690473976052344e-01,9.630150062482984996e-01,1.974118609648025657e-01
1.137921293915315069e+01,3.199353181318556061e-01,5.606520935543952699e-01,2.511654453206182414e-01,7.232612678156863373e-01,2.162471346942194117e-01,2.612901835605776490e-01,9.629441003290152290e-01,1.957119715608017785e-01
1.148471547840289553e+01,3.178621115046715850e-01,5.316620382923324950e-01,2.491985931510116714e-01,7.123692019931344710e-01,2.144568029482452065e-01,2.509276925681093173e-01,9.628751302635516485e-01,1.940245927917232382e-01
1.159119618598885637e+01,3.157963482336276773e-01,5.023713831965624932e-01,2.472431144682116777e-01,7.013853123539917078e-01,2.126784338907428129e-01,2.404806038596344342e-01,9.628082140887543883e-01,1.923496868584924080e-01
1.169866413101307501e+01,3.137380839093595331e-01,4.727776490356638828e-01,2.452990245554527160e-01,6.903085545283209612e-01,2.109120122045469170e-01,2.299481921935684903e-01,9.627431596360143118e-01,1.906872146522753386e-01
1.180712846666190252e+01,3.116873729614153543e-01,4.428777009248809904e-01,2.433663368727174703e-01,6.791378882758603019e-01,2.091575210370388849e-01,2.193293568081705891e-01,9.626800683145081416e-01,1.890371357908380290e-01
1.191659843098559435e+01,3.096442686578131376e-01,4.126687041819444568e-01,2.414450630810638376e-01,6.678724004554951188e-01,2.074149420319704173e-01,2.086233991479441441e-01,9.626188343250621227e-01,1.873994086572796647e-01
1.202708334768512088e+01,3.076088231049423083e-01,3.821479954284318081e-01,2.395352130672887547e-01,6.565113346191153720e-01,2.056842553612594493e-01,1.978293966736640597e-01,9.625595000944549007e-01,1.857739904369504202e-01
1.213859262690627716e+01,3.055810872478013085e-01,3.513121902996686474e-01,2.376367949688840131e-01,6.450536786412335299e-01,2.039654397567438604e-01,1.869463579825020594e-01,9.625019823760947446e-01,1.841608371542673428e-01
1.225113576604118926e+01,3.035611108705695838e-01,3.201588704734105173e-01,2.357498151992811763e-01,6.334985829594241835e-01,2.022584725418707929e-01,1.759734988448203585e-01,9.624462350546858502e-01,1.825599037091196752e-01
1.236472235053714996e+01,3.015489425975081961e-01,2.886848859369869347e-01,2.338742784733536251e-01,6.218449416150917397e-01,2.005633296633015927e-01,1.649098383213775665e-01,9.623922942862066510e-01,1.809711439128589561e-01
1.247936205471310700e+01,2.995446298941828456e-01,2.568875249039648812e-01,2.320101878331468637e-01,6.100920724928462491e-01,1.988799857224123890e-01,1.537545227454917840e-01,9.623400109556780047e-01,1.793945105238561322e-01
1.259506464258357639e+01,2.975482190690101891e-01,2.247632569962813576e-01,2.301575446738304276e-01,5.982388160628995255e-01,1.972084140066772129e-01,1.425065904292217023e-01,9.622894970764871436e-01,1.778299552826159147e-01
1.271183996869028121e+01,2.955597552751147994e-01,1.923094092273323064e-01,2.283163487698323113e-01,5.862841494445345525e-01,1.955485865209090068e-01,1.311649573891301157e-01,9.622407866471567317e-01,1.762774289468065358e-01
1.282969797894147490e+01,2.935792825124978744e-01,1.595227448949756432e-01,2.264865983011461470e-01,5.742275319531550126e-01,1.939004740183465358e-01,1.197289044919225831e-01,9.621936100125860758e-01,1.747368813239988938e-01
1.294864871145904317e+01,2.916068436305101486e-01,1.264005862805878400e-01,2.246682898797915939e-01,5.620678241108043593e-01,1.922640460315709898e-01,1.081974074970531996e-01,9.621481143815638903e-01,1.732082613075824895e-01
1.306870229743346279e+01,2.896424803306243412e-01,9.293922351611681731e-02,2.228614185763893030e-01,5.498032513542423505e-01,1.906392709032345145e-01,9.656939702274705550e-02,9.621042767001402041e-01,1.716915169085526660e-01
1.318986896198669889e+01,2.876862331695015929e-01,5.913594195394648173e-02,2.210659779468568953e-01,5.374339615043763896e-01,1.890261158165871258e-01,8.484399033954462266e-02,9.620620092167744275e-01,1.701865952886447708e-01
1.331215902504307635e+01,2.857381415623467813e-01,2.498776883213625968e-02,2.192819600591873197e-01,5.249581967111993652e-01,1.874245468257882408e-01,7.302023523323378229e-02,9.620212495420114029e-01,1.686934427913724388e-01
1.343558290220825668e+01,2.837982437865484986e-01,-9.508971588320589904e-03,2.175093555202920470e-01,5.123755328417403110e-01,1.858345288859892808e-01,6.109707025238576839e-02,9.619821417167347954e-01,1.672120049786891549e-01
1.356015110565633286e+01,2.818665769871944171e-01,-4.435728607442673832e-02,2.157481535029028841e-01,4.996842975242379303e-01,1.842560258831733577e-01,4.907349873106043453e-02,9.619444542370219065e-01,1.657422266549304357e-01
1.368587424502518424e+01,2.799431771749341102e-01,-7.956060282031457431e-02,2.139983417725008774e-01,4.868836776490325091e-01,1.826890006637422736e-01,3.694844941479739908e-02,9.619082893063006789e-01,1.642840519028780921e-01
1.381276302832009506e+01,2.780280792398224232e-01,-1.151218951588072192e-01,2.122599067142592055e-01,4.739728217180935177e-01,1.811334150638368445e-01,2.472106303295391536e-02,9.618735618649336683e-01,1.628374241110470688e-01
1.394082826282577869e+01,2.761213169498517583e-01,-1.510444374503504550e-01,2.105328333599878476e-01,4.609504187125981201e-01,1.795892299383805568e-01,1.239019772554375044e-02,9.618402509238229703e-01,1.614022860060104758e-01
1.407008085602685021e+01,2.742229229555936953e-01,-1.873318287127078430e-01,2.088171054150538275e-01,4.478157181292989342e-01,1.780564051898365641e-01,-4.508746142827489960e-05,9.618083724367114673e-01,1.599785796798871562e-01
1.420053181653682373e+01,2.723329288028031314e-01,-2.239874640703176656e-01,2.071127052852703709e-01,4.345673553020474311e-01,1.765348997966689204e-01,-1.258596961472704771e-02,9.617778575008636421e-01,1.585662466194928122e-01
1.433219225503573924e+01,2.704513649269097986e-01,-2.610142980356527365e-01,2.054196141037352152e-01,4.212042910641320970e-01,1.750246718414962821e-01,-2.523358206159947992e-02,9.617487759038303441e-01,1.571652277342929782e-01
1.446507338521646346e+01,2.685782606659801175e-01,-2.984161245831276066e-01,2.037378117576003067e-01,4.077254452508432547e-01,1.735256785389331924e-01,-3.798858809868535524e-02,9.617209892893209267e-01,1.557754633844887771e-01
