# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000021e-02,7.246144470608473220e-01,1.027738880077598838e+00,8.138574105724130092e-01,1.226095104172040262e+00,7.246144470580829777e-01,1.027740853682074018e+00,1.826695881734524676e+02,7.131124568615444526e-01
1.047370897959449751e-02,7.246380326355441603e-01,1.027918856996440589e+00,8.138938458680714527e-01,1.226522396644397439e+00,7.246380326325242427e-01,1.027917797616124673e+00,1.894620737686040570e+02,7.131802870568964003e-01
1.096985797892383561e-02,7.246627308127571165e-01,1.028107358792191395e+00,8.139318899381535743e-01,1.226969799347740864e+00,7.246627308096986742e-01,1.028105662939263976e+00,1.742405209651445830e+02,7.132494788866946545e-01
1.148951000187309161e-02,7.246885938442771957e-01,1.028304790218396381e+00,8.139716082860168900e-01,1.227438381104290599e+00,7.246885938427031215e-01,1.028303365307178252e+00,1.642177178916074922e+02,7.133200717482905961e-01
1.203377840777589310e-02,7.247156764154459863e-01,1.028511568835401624e+00,8.140130685861299842e-01,1.227928931555024139e+00,7.247156764130286977e-01,1.028509389447603173e+00,1.617608859068071183e+02,7.133921068681667865e-01
1.260382929679727468e-02,7.247440357697791935e-01,1.028728189456350472e+00,8.140563406724521389e-01,1.228442649303398415e+00,7.247440357628586183e-01,1.028727191266052721e+00,1.683244457036529980e+02,7.134656274907152929e-01
1.320088400831418048e-02,7.247737317709688210e-01,1.028955014170558346e+00,8.141014965935043923e-01,1.228980531049892910e+00,7.247737317654112665e-01,1.028953446001485972e+00,1.577618326440213536e+02,7.135406788792687527e-01
1.382622173764655633e-02,7.248048270928669767e-01,1.029192614308372500e+00,8.141486106050470628e-01,1.229543781930754420e+00,7.248048270914906333e-01,1.029195230459725607e+00,1.537937903508428406e+02,7.136173085207253575e-01
1.448118227674533715e-02,7.248373873161729763e-01,1.029441451592388201e+00,8.141977591836503381e-01,1.230133412764942591e+00,7.248373873147158086e-01,1.029439634088942235e+00,1.430839359365678263e+02,7.136955661868067402e-01
1.516716888470922599e-02,7.248714810468503966e-01,1.029702123616842435e+00,8.142490210233785941e-01,1.230750768240678639e+00,7.248714810449325974e-01,1.029701435238915774e+00,1.285098434471722442e+02,7.137755040870356060e-01
1.588565129428052766e-02,7.249071800697195478e-01,1.029975143017440864e+00,8.143024770306950266e-01,1.231397155347629946e+00,7.249071800685669142e-01,1.029976548458332086e+00,1.328445777928830296e+02,7.138571770095289981e-01
1.663816886076129042e-02,7.249445594830352668e-01,1.030261072554619517e+00,8.143582103053100818e-01,1.232073810502672728e+00,7.249445594818707539e-01,1.030262662662135398e+00,1.207525551810834372e+02,7.139406424124681294e-01
1.742633386009649968e-02,7.249836978619050853e-01,1.030560589766755797e+00,8.144163061196526554e-01,1.232782167995114087e+00,7.249836978607713256e-01,1.030564446094579090e+00,1.098860258246768353e+02,7.140259606708257989e-01
1.825183494319043351e-02,7.250246773932350619e-01,1.030874278245541564e+00,8.144768518807108393e-01,1.233523754222435986e+00,7.250246773924301502e-01,1.030871986327855039e+00,1.019218628985018000e+02,7.141131951491174190e-01
1.911644075385701691e-02,7.250675840575147024e-01,1.031202830468388676e+00,8.145399370880724854e-01,1.234300006147955875e+00,7.250675840569864583e-01,1.031202038843914259e+00,1.009422450647494571e+02,7.142024123646668610e-01
2.002200371815584384e-02,7.251125077877931258e-01,1.031546986560947676e+00,8.146056532664518457e-01,1.235112459245074401e+00,7.251125077871216629e-01,1.031546366410080573e+00,9.134336961860141457e+01,7.142936822410790310e-01
2.097046401323232959e-02,7.251595426374606301e-01,1.031907494490120980e+00,8.146740939109757829e-01,1.235962880930346230e+00,7.251595426368482311e-01,1.031906843794232920e+00,9.284906455066686704e+01,7.143870782032100131e-01
2.196385372416545870e-02,7.252087869802679165e-01,1.032285039406753757e+00,8.147453543946182597e-01,1.236852871627144523e+00,7.252087869793987229e-01,1.032284877121860234e+00,1.003689231265004480e+02,7.144826774116874724e-01
2.300430119772918156e-02,7.252603436941401638e-01,1.032680456076829678e+00,8.148195318663893350e-01,1.237784351935639293e+00,7.252603436935023407e-01,1.032680388433133478e+00,8.822197062697807723e+01,7.145805609570057282e-01
2.409403560239524456e-02,7.253143203584089260e-01,1.033094692342540144e+00,8.148967251438496984e-01,1.238759102583701033e+00,7.253143203577288034e-01,1.033093842327631240e+00,8.380230657710188780e+01,7.146808140674913989e-01
2.523539170434765944e-02,7.253708294550403890e-01,1.033528526018617999e+00,8.149770345875008148e-01,1.239778964129248262e+00,7.253708294528122824e-01,1.033528747987509933e+00,8.155124417070626919e+01,7.147835263299856523e-01
2.643081486974105734e-02,7.254299885913320090e-01,1.033982925372406658e+00,8.150605619439044158e-01,1.240846117250139935e+00,7.254299885909851753e-01,1.033983134697987527e+00,7.412297130186794902e+01,7.148887919296862403e-01
2.768286630392066683e-02,7.254919207133554426e-01,1.034458880083077181e+00,8.151474101728699573e-01,1.241962558889095014e+00,7.254919207130505754e-01,1.034458167285951635e+00,6.913151931529981198e+01,7.149967098781295771e-01
2.899422853882876669e-02,7.255567543727687863e-01,1.034957407657273176e+00,8.152376832880624535e-01,1.243130435888371910e+00,7.255567543724809054e-01,1.034957212939662696e+00,6.736537728133892244e+01,7.151073842828288285e-01
3.036771118035457365e-02,7.256246238956077788e-01,1.035479566054991807e+00,8.153314861194952412e-01,1.244352091028399165e+00,7.256246238940182725e-01,1.035480306760347968e+00,6.433499500698856366e+01,7.152209246179600521e-01
3.180625692794119413e-02,7.256956697111486276e-01,1.036026516574847900e+00,8.154289241040141301e-01,1.245629838205854378e+00,7.256956697109675503e-01,1.036026640813283883e+00,6.116926847803362932e+01,7.153374459783501393e-01
3.331294787934673679e-02,7.257700385626933981e-01,1.036599372926344076e+00,8.155301030348559577e-01,1.246966015289099561e+00,7.257700385601517645e-01,1.036600775210797520e+00,5.647100101257768756e+01,7.154570693645936341e-01
3.489101213406773511e-02,7.258478837760093949e-01,1.037199490543867952e+00,8.156351287810422734e-01,1.248363134188490875e+00,7.258478837758154389e-01,1.037199310083359194e+00,5.158017952304051335e+01,7.155799221054224279e-01
3.654383070957256674e-02,7.259293655844053506e-01,1.037827994104035367e+00,8.157441069893656138e-01,1.249823867979656944e+00,7.259293655842498083e-01,1.037827358945683898e+00,5.004153392994030014e+01,7.157061380732900879e-01
