# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000021e-02,1.914444444492919839e-01,1.000000000000000036e-10,3.042319595336420157e-01,1.000000000000000036e-10,1.914444444488039299e-01,1.109907527989378397e-10,1.954761570357334222e+02,1.466188567981465685e-01
1.047370897959449751e-02,1.914602347459612997e-01,1.000000000000000036e-10,3.041530845616116085e-01,1.000000000000000036e-10,1.914602347451521691e-01,1.058260272476762917e-10,2.062732840854583287e+02,1.467391130402351251e-01
1.096985797892383561e-02,1.914767730459991935e-01,1.000000000000000036e-10,3.040708272372798504e-01,1.000000000000000036e-10,1.914767730450557259e-01,1.098001157820780145e-10,1.911279351828245581e+02,1.468614269155990026e-01
1.148951000187309161e-02,1.914940947828789319e-01,1.000000000000000036e-10,3.039850589326025254e-01,1.000000000000000036e-10,1.914940947825765072e-01,1.098001719019376808e-10,1.820265003151565111e+02,1.469858351138526587e-01
1.203377840777589310e-02,1.915122370613586700e-01,1.000000000000000036e-10,3.038956476496461612e-01,1.000000000000000036e-10,1.915122370608406399e-01,1.056229921607650219e-10,1.775395535404309157e+02,1.471123753236364129e-01
1.260382929679727468e-02,1.915312387561856067e-01,1.000000000000000036e-10,3.038024580253710916e-01,1.000000000000000036e-10,1.915312387558134599e-01,1.056311317667132330e-10,1.775327812022808018e+02,1.472410865342328457e-01
1.320088400831418048e-02,1.915511405810434997e-01,1.000000000000000036e-10,3.037053514279897115e-01,1.000000000000000036e-10,1.915511405803766998e-01,1.000000000000000036e-10,1.845282261957753747e+02,1.473720088304595333e-01
1.382622173764655633e-02,1.915719851710742105e-01,1.000000000000000036e-10,3.036041860159148786e-01,1.000000000000000036e-10,1.915719851699484444e-01,1.000000000000000036e-10,1.812874962925225475e+02,1.475051837261420751e-01
1.448118227674533715e-02,1.915938171899007614e-01,1.000000000000000036e-10,3.034988168708669942e-01,1.000000000000000036e-10,1.915938171892812569e-01,1.000000000000000036e-10,1.814225647181363570e+02,1.476406539504568904e-01
1.516716888470922599e-02,1.916166834115247131e-01,1.000000000000000036e-10,3.033890961099556804e-01,1.000000000000000036e-10,1.916166834107173589e-01,1.000000000000000036e-10,1.725346703240042814e+02,1.477784638053381006e-01
1.588565129428052766e-02,1.916406328242961088e-01,1.000000000000000036e-10,3.032748730528971315e-01,1.000000000000000036e-10,1.916406328240052304e-01,1.090936083183094105e-10,1.380385205597607978e+02,1.479186591152239494e-01
1.663816886076129042e-02,1.916657167418653884e-01,1.000000000000000036e-10,3.031559943508148613e-01,1.000000000000000036e-10,1.916657167413418072e-01,1.031709151860903659e-10,1.492943721991002803e+02,1.480612872795722401e-01
1.742633386009649968e-02,1.916919889096906360e-01,1.000000000000000036e-10,3.030323042503675346e-01,1.000000000000000036e-10,1.916919889091761586e-01,1.054259015350928473e-10,1.455383268790041313e+02,1.482063974916241200e-01
1.825183494319043351e-02,1.917195056131624220e-01,1.000000000000000036e-10,3.029036447711077606e-01,1.000000000000000036e-10,1.917195056123854879e-01,1.001063500463401607e-10,1.483232374813445915e+02,1.483540407338685974e-01
1.911644075385701691e-02,1.917483258069654362e-01,1.000000000000000036e-10,3.027698559868603478e-01,1.000000000000000036e-10,1.917483258064520690e-01,1.002143885871217695e-10,1.443677786937495853e+02,1.485042699389677034e-01
2.002200371815584384e-02,1.917785112383270096e-01,1.000000000000000036e-10,3.026307763090869685e-01,1.000000000000000036e-10,1.917785112379093437e-01,1.029222058393038927e-10,1.364612054302531874e+02,1.486571401128538028e-01
2.097046401323232959e-02,1.918101265803959787e-01,1.000000000000000036e-10,3.024862428108527901e-01,1.000000000000000036e-10,1.918101265800811195e-01,1.028124190114440297e-10,1.300620915180855093e+02,1.488127084319132987e-01
2.196385372416545870e-02,1.918432395713605132e-01,1.000000000000000036e-10,3.023360915839479190e-01,1.000000000000000036e-10,1.918432395707112548e-01,1.000000000000000036e-10,1.292547866627513997e+02,1.489710343718041452e-01
2.300430119772918156e-02,1.918779211549834773e-01,1.000000000000000036e-10,3.021801581262890668e-01,1.000000000000000036e-10,1.918779211545547092e-01,1.000000000000000036e-10,1.238658944943499591e+02,1.491321798946809718e-01
2.409403560239524456e-02,1.919142456355615867e-01,1.000000000000000036e-10,3.020182777819353515e-01,1.000000000000000036e-10,1.919142456354387960e-01,1.035876103305006126e-10,1.000937024966206224e+02,1.492962095188268279e-01
2.523539170434765944e-02,1.919522908397430783e-01,1.000000000000000036e-10,3.018502861884595490e-01,1.000000000000000036e-10,1.919522908395625560e-01,1.043302816657555185e-10,9.883907652733108762e+01,1.494631905107914882e-01
2.643081486974105734e-02,1.919921382770122253e-01,1.000000000000000036e-10,3.016760198266301707e-01,1.000000000000000036e-10,1.919921382769482765e-01,1.091038202698407639e-10,9.167689024083742311e+01,1.496331931203331855e-01
2.768286630392066683e-02,1.920338733253794672e-01,1.000000000000000036e-10,3.014953165291405224e-01,1.000000000000000036e-10,1.920338733251811814e-01,1.039157104492187654e-10,9.167484597173982763e+01,1.498062905852822757e-01
2.899422853882876669e-02,1.920775853990310811e-01,1.000000000000000036e-10,3.013080160963663712e-01,1.000000000000000036e-10,1.920775853987652937e-01,1.000000000000000036e-10,9.918975324090061463e+01,1.499825595342756390e-01
3.036771118035457365e-02,1.921233681527565462e-01,1.000000000000000036e-10,3.011139609311661580e-01,1.000000000000000036e-10,1.921233681525915671e-01,1.000000000000000036e-10,1.017330802452555218e+02,1.501620798749405683e-01
3.180625692794119413e-02,1.921713196791987599e-01,1.000000000000000036e-10,3.009129966992756255e-01,1.000000000000000036e-10,1.921713196790355571e-01,1.000000000000000036e-10,9.891718646714434726e+01,1.503449355023593892e-01
3.331294787934673679e-02,1.922215427126621190e-01,1.000000000000000036e-10,3.007049730898077033e-01,1.000000000000000036e-10,1.922215427104285723e-01,1.000000000000000036e-10,8.992471155926637039e+01,1.505312138143644063e-01
3.489101213406773511e-02,1.922741448516376295e-01,1.000000000000000036e-10,3.004897445449221660e-01,1.000000000000000036e-10,1.922741448515521423e-01,1.000000000000000036e-10,8.513582105479720497e+01,1.507210065750791417e-01
3.654383070957256674e-02,1.923292388049002710e-01,1.000000000000000036e-10,3.002671710892774737e-01,1.000000000000000036e-10,1.923292388046577983e-01,1.000000000000000036e-10,8.306530378409416926e+01,1.509144098050896332e-01
3.827494478516311333e-02,1.923869426061544097e-01,1.000000000000000036e-10,3.000371191819564132e-01,1.000000000000000036e-10,1.923869426060473842e-01,1.000000000000000036e-10,8.027450201976481026e+01,1.511115241562314138e-01
4.008806328898464888e-02,1.924473798909114297e-01,1.000000000000000036e-10,2.997994625928095402e-01,1.000000000000000036e-10,1.924473798907713196e-01,1.000000000000000036e-10,7.467455489987995065e+01,1.513124551486534353e-01
4.198707084443910331e-02,1.925106801419997904e-01,1.000000000000000036e-10,2.995540833652003965e-01,1.000000000000000036e-10,1.925106801418823288e-01,1.000000000000000036e-10,7.375311689786383340e+01,1.515173133718719090e-01
4.397603609302721400e-02,1.925769789837588064e-01,1.000000000000000036e-10,2.993008727671297997e-01,1.000000000000000036e-10,1.925769789836475621e-01,1.000000000000000036e-10,7.375311689786383340e+01,1.517262149619221789e-01
4.605922041145105866e-02,1.926464184623470910e-01,1.000000000000000036e-10,2.990397322997981888e-01,1.000000000000000036e-10,1.926464184621838882e-01,1.000000000000000036e-10,7.024105753598985302e+01,1.519392817278589769e-01
4.824108704165368938e-02,1.927191473492135820e-01,1.000000000000000036e-10,2.987705747433819781e-01,1.000000000000000036e-10,1.927191473490630358e-01,1.000000000000000036e-10,6.396908832875631390e+01,1.521566415434689734e-01
5.052631065335679711e-02,1.927953214705127039e-01,1.000000000000000036e-10,2.984933252307977458e-01,1.000000000000000036e-10,1.927953214704825058e-01,1.000000000000000036e-10,6.193678650200216396e+01,1.523784287078475685e-01
5.291978735958442065e-02,1.928751040267910888e-01,1.000000000000000036e-10,2.982079223248690347e-01,1.000000000000000036e-10,1.928751040267311367e-01,1.000000000000000036e-10,6.250522392792777282e+01,1.526047842319127046e-01
5.542664520663106997e-02,1.929586659542925631e-01,1.000000000000000036e-10,2.979143191512807487e-01,1.000000000000000036e-10,1.929586659541806526e-01,1.000000000000000036e-10,5.952056753901969444e+01,1.528358563353474642e-01
5.805225516094898730e-02,1.930461862857211219e-01,1.000000000000000036e-10,2.976124845100796001e-01,1.000000000000000036e-10,1.930461862856596156e-01,1.000000000000000036e-10,5.623928975662748542e+01,1.530718006113213070e-01
6.080224261649423700e-02,1.931378525371554300e-01,1.000000000000000036e-10,2.973024040512395327e-01,1.000000000000000036e-10,1.931378525370874844e-01,1.000000000000000036e-10,5.486624977365303835e+01,1.533127806696912288e-01
6.368249944718586131e-02,1.932338610963693082e-01,1.000000000000000036e-10,2.969840813933206647e-01,1.000000000000000036e-10,1.932338610963124648e-01,1.000000000000000036e-10,5.485018038486840908e+01,1.535589684130391763e-01
6.669919663030121626e-02,1.933344176679350213e-01,1.000000000000000036e-10,2.966575392843135983e-01,1.000000000000000036e-10,1.933344176678537529e-01,1.000000000000000036e-10,5.209322045699600778e+01,1.538105445082382783e-01
6.985879746785249311e-02,1.934397376967926796e-01,1.000000000000000036e-10,2.963228207280885762e-01,1.000000000000000036e-10,1.934397376967322835e-01,1.000000000000000036e-10,4.956789399154985887e+01,1.540676988591647145e-01
7.316807143427195292e-02,1.935500468283222197e-01,1.000000000000000036e-10,2.959799901442554670e-01,1.000000000000000036e-10,1.935500468282533859e-01,1.000000000000000036e-10,4.865572463803303549e+01,1.543306310591946451e-01
7.663410868007458632e-02,1.936655814034231593e-01,1.000000000000000036e-10,2.956291344383026320e-01,1.000000000000000036e-10,1.936655814033623191e-01,1.000000000000000036e-10,4.718465993888327148e+01,1.545995508862783030e-01
8.026433522257174491e-02,1.937865889573555656e-01,1.000000000000000036e-10,2.952703640813083563e-01,1.000000000000000036e-10,1.937865889573042733e-01,1.000000000000000036e-10,4.770644654577903054e+01,1.548746788354113946e-01
8.406652885618325077e-02,1.939133287414724904e-01,1.000000000000000036e-10,2.949038141786790579e-01,1.000000000000000036e-10,1.939133287414160911e-01,1.000000000000000036e-10,4.770644855114687743e+01,1.551562466966363019e-01
