# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000021e-02,1.785394126742672061e-01,-1.021840549248266061e+00,2.753679606833547844e-01,-9.287583737312506971e-01,1.785394126742150256e-01,-1.021840600092527751e+00,3.270471827592236025e+01,1.466188567979405111e-01
1.047370897959449751e-02,1.785602234141288047e-01,-1.021658447079458965e+00,2.753702073223480706e-01,-9.278817947270998623e-01,1.785602234140859501e-01,-1.021658205228005656e+00,3.161434513415091985e+01,1.467391130423646439e-01
1.096985797892383561e-02,1.785820187699724837e-01,-1.021467733344359363e+00,2.753725580897883329e-01,-9.269645773797066113e-01,1.785820187699336259e-01,-1.021467955229962143e+00,3.141715065880489277e+01,1.468614269154568941e-01
1.148951000187309161e-02,1.786048452669848352e-01,-1.021268023444259487e+00,2.753750176998372989e-01,-9.260048828451092895e-01,1.786048452669481978e-01,-1.021267211147578458e+00,3.124844979382436350e+01,1.469858351138828567e-01
1.203377840777589310e-02,1.786287516243001416e-01,-1.021058860309499217e+00,2.753775910693203599e-01,-9.250006990918072658e-01,1.786287516242717199e-01,-1.021057997124418026e+00,3.283820577701567345e+01,1.471123753216512231e-01
1.260382929679727468e-02,1.786537888542076846e-01,-1.020839617181877212e+00,2.753802833253082838e-01,-9.239501014425781644e-01,1.786537888541555041e-01,-1.020840024470138552e+00,3.281787554871623058e+01,1.472410865312075989e-01
1.320088400831418048e-02,1.786800103735766143e-01,-1.020610106051538013e+00,2.753830998139932262e-01,-9.228511103183358877e-01,1.786800103735382006e-01,-1.020610671378824552e+00,3.125555728094418129e+01,1.473720088300971565e-01
1.382622173764655633e-02,1.787074721135406552e-01,-1.020369750246798324e+00,2.753860461066295340e-01,-9.217015500697881558e-01,1.787074721135080146e-01,-1.020369792332612491e+00,2.915411548379088558e+01,1.475051837259745424e-01
1.448118227674533715e-02,1.787362326387844647e-01,-1.020118071260215586e+00,2.753891280101619099e-01,-9.204988871484611757e-01,1.787362326387571532e-01,-1.020117056983989468e+00,2.897356694031646640e+01,1.476406539500131343e-01
1.516716888470922599e-02,1.787663532688406054e-01,-1.019854299739515469e+00,2.753923515742537909e-01,-9.192408414088450996e-01,1.787663532688270607e-01,-1.019854052976097325e+00,2.752046581133058822e+01,1.477784638090769986e-01
1.588565129428052766e-02,1.787978982135209893e-01,-1.019578105013783542e+00,2.753957230999986017e-01,-9.179251127973431235e-01,1.787978982134721395e-01,-1.019577781329072286e+00,3.032165597080286901e+01,1.479186591129587613e-01
1.663816886076129042e-02,1.788309346954579659e-01,-1.019288823184689274e+00,2.753992491497800899e-01,-9.165491104222260876e-01,1.788309346954486401e-01,-1.019288104793235394e+00,2.804683167606819083e+01,1.480612872834254912e-01
1.742633386009649968e-02,1.788655331020978512e-01,-1.018985773416775320e+00,2.754029365538002150e-01,-9.151100819364100802e-01,1.788655331020876371e-01,-1.018986463902737061e+00,2.736671437113253091e+01,1.482063974861278499e-01
1.825183494319043351e-02,1.789017671310177970e-01,-1.018668440151494270e+00,2.754067924220284791e-01,-9.136052909646301678e-01,1.789017671310006996e-01,-1.018668790531146451e+00,2.686706905651849198e+01,1.483540407343459933e-01
1.911644075385701691e-02,1.789397139382984392e-01,-1.018336205944289752e+00,2.754108241502930543e-01,-9.120317642342122832e-01,1.789397139382762347e-01,-1.018336070787558612e+00,2.401876457459821879e+01,1.485042699412708611e-01
2.002200371815584384e-02,1.789794543040108543e-01,-1.017988030244868058e+00,2.754150394324037521e-01,-9.103865887323991934e-01,1.789794543039922026e-01,-1.017987737627196410e+00,2.372617658745387104e+01,1.486571401156469019e-01
2.097046401323232959e-02,1.790210728047874067e-01,-1.017623371906327456e+00,2.754194462662749032e-01,-9.086666165981674981e-01,1.790210728047687549e-01,-1.017623024830879075e+00,2.300684310253571141e+01,1.488127084336261508e-01
2.196385372416545870e-02,1.790646579810801775e-01,-1.017241606537663046e+00,2.754240529662741466e-01,-9.068686214879967400e-01,1.790646579810657446e-01,-1.017241114096210319e+00,2.181773847631088614e+01,1.489710343731207587e-01
2.300430119772918156e-02,1.791103025301368223e-01,-1.016841493622367976e+00,2.754288681694661012e-01,-9.049891250874468884e-01,1.791103025301219454e-01,-1.016841582987172199e+00,2.078268702739880069e+01,1.491321798941016574e-01
2.409403560239524456e-02,1.791581034937912431e-01,-1.016422546569767604e+00,2.754339008471282657e-01,-9.030246828073120735e-01,1.791581034937785866e-01,-1.016423023169753304e+00,2.427817694174769869e+01,1.492962095167760239e-01
2.523539170434765944e-02,1.792081624613979240e-01,-1.015983808539997035e+00,2.754391603123653720e-01,-9.009716918908086125e-01,1.792081624613901525e-01,-1.015984484516132991e+00,2.226550838224653717e+01,1.494631905113834591e-01
2.643081486974105734e-02,1.792605857778473144e-01,-1.015524265060296250e+00,2.754446562303498602e-01,-8.988262586821531563e-01,1.792605857778319933e-01,-1.015524117886369648e+00,2.169417307834277153e+01,1.496331931222285583e-01
