# delta_large,l2,l1,Huber,BO
1.000000000000000021e-02,1.214443172642107882e-01,6.195100922068497162e-02,5.913019392487295356e-02,1.874525313189634446e-02
1.097498765493056146e-02,1.214791404240798123e-01,6.190933843886514687e-02,5.908711868955696112e-02,1.883521995740966570e-02
1.204503540258782326e-02,1.215150824898245663e-01,6.186313261966125410e-02,5.903952552631364092e-02,1.892207344665486346e-02
1.321941148466028795e-02,1.215560421503991684e-01,6.181375577787884268e-02,5.898839720218118643e-02,1.901859334353495079e-02
1.450828778495939428e-02,1.215988215130769934e-01,6.175923918876469187e-02,5.893202124715202217e-02,1.911591034433079983e-02
1.592282793341092198e-02,1.216485168709231512e-01,6.169913459849030168e-02,5.886999550856741870e-02,1.921437615089649498e-02
1.747528400007683849e-02,1.216948754811741917e-01,6.163412875067586505e-02,5.880301914433427868e-02,1.931623827818040873e-02
1.917910261672488639e-02,1.217532845616369208e-01,6.156382517983693958e-02,5.873032856482041097e-02,1.942519164910838647e-02
2.104904144512020903e-02,1.218173862674825081e-01,6.148589098067724912e-02,5.864981831088011965e-02,1.953300721229567216e-02
2.310129700083160542e-02,1.218846549498984189e-01,6.140194934928255854e-02,5.856314845339261055e-02,1.964512190801381841e-02
2.535364493970111363e-02,1.219573740975028464e-01,6.131039065682997169e-02,5.846873667704954869e-02,1.976154260233253801e-02
2.782559402207124277e-02,1.220403725795755623e-01,6.120938271194509284e-02,5.836431284070497938e-02,1.987918205513850012e-02
3.053855508833415444e-02,1.221295645755180459e-01,6.110058910380988806e-02,5.825251151501897873e-02,2.000260106984952380e-02
3.351602650938842465e-02,1.222303119680760997e-01,6.098375151110269066e-02,5.813107455220656306e-02,2.012939844457339866e-02
3.678379771828634015e-02,1.223386667692323293e-01,6.085608308071477346e-02,5.799931399353264183e-02,2.025765978246796273e-02
4.037017258596553582e-02,1.224568989894048165e-01,6.071105576827662276e-02,5.785030190873818867e-02,2.038989497184529043e-02
4.430621457583882455e-02,1.225916405228306694e-01,6.056757030990267410e-02,5.770100427124380538e-02,2.052770479595755759e-02
4.862601580065353118e-02,1.227344849271538862e-01,6.040513958128834737e-02,5.753309112578430806e-02,2.066791932987455116e-02
5.336699231206309957e-02,1.228939951300931366e-01,6.022995261814068080e-02,5.735317614308788059e-02,2.081167801032535181e-02
5.857020818056667133e-02,1.230675198130284365e-01,6.004225925622597160e-02,5.715755003056588457e-02,2.095775972436375589e-02
6.428073117284321958e-02,1.232547444261111735e-01,5.983925600908523990e-02,5.694765055982720092e-02,2.110791488565644247e-02
7.054802310718645553e-02,1.234647616497228650e-01,5.962035109678387457e-02,5.672103466916911252e-02,2.126312827353959989e-02
7.742636826811269413e-02,1.236921130113282086e-01,5.938755258456418495e-02,5.647843630316295993e-02,2.141756494183977289e-02
8.497534359086446332e-02,1.239447696019300160e-01,5.913587179305657138e-02,5.621924207537398743e-02,2.157998392402937782e-02
9.326033468832199691e-02,1.242203327879782826e-01,5.886855041593141991e-02,5.594216774164384454e-02,2.174132523962901686e-02
1.023531021899026366e-01,1.245247222644660923e-01,5.858391245883298737e-02,5.564553524233240012e-02,2.190626765152026145e-02
1.123324032978027659e-01,1.248567184083557713e-01,5.827913453072852690e-02,5.533143076491375822e-02,2.207584380624516562e-02
1.232846739442066547e-01,1.252236887306927837e-01,5.795648286917809422e-02,5.499576048694820862e-02,2.224429012466511146e-02
1.353047774579807516e-01,1.256218404885118822e-01,5.761526128052141260e-02,5.464168062157037653e-02,2.241396438518905576e-02
1.484968262254464932e-01,1.260624822483122909e-01,5.725546105816614606e-02,5.426622381416157381e-02,2.258882641972448369e-02
1.629750834620644351e-01,1.265463131531496810e-01,5.687496390507007504e-02,5.387190565224564409e-02,2.276000658544474753e-02
1.788649529057435017e-01,1.270761924362437956e-01,5.647657045299903089e-02,5.345723997462914490e-02,2.293347217628416423e-02
1.963040650040271395e-01,1.276560000397140016e-01,5.605882798367911590e-02,5.302224694803769900e-02,2.310755348179871493e-02
2.154434690031884481e-01,1.282939384364716329e-01,5.562368730939137862e-02,5.256741290145283685e-02,2.327610620275522013e-02
2.364489412645408295e-01,1.289941115782817782e-01,5.517111844940636445e-02,5.209495656546692111e-02,2.344661918913126808e-02
2.595024211399737379e-01,1.297642521339712474e-01,5.470063250302237279e-02,5.160499462088830036e-02,2.361243483070429861e-02
2.848035868435802032e-01,1.306074695494094939e-01,5.421624804678470966e-02,5.109740199625045776e-02,2.377216860880626559e-02
3.125715849688237014e-01,1.315304275333148976e-01,5.371633659884889056e-02,5.057571892383339041e-02,2.392725028375231044e-02
3.430469286314919430e-01,1.325498223922738639e-01,5.320471508817847806e-02,5.003953209955325221e-02,2.407693099447338891e-02
3.764935806792469308e-01,1.336628169372064967e-01,5.268233716849346493e-02,4.949147627594818744e-02,2.421957623265669213e-02
4.132012400115338546e-01,1.348842999084174377e-01,5.215094814867193840e-02,4.893234169914362219e-02,2.434923906736485844e-02
4.534878508128584174e-01,1.362297938582901491e-01,5.161297954070320770e-02,4.836584777925256873e-02,2.447104683706924355e-02
4.977023564332111460e-01,1.377036103837594450e-01,5.106964716032647011e-02,4.779341466101971747e-02,2.458084748697486610e-02
5.462277217684342601e-01,1.393202416643930519e-01,5.052352772952639626e-02,4.721739887815923353e-02,2.467744174961850057e-02
5.994842503189411476e-01,1.410958593019400187e-01,4.997903962044336623e-02,4.664079153946620870e-02,2.476097533512144899e-02
6.579332246575682053e-01,1.430462635871430077e-01,4.943451757807748592e-02,4.606437765519122429e-02,2.482637065682358202e-02
7.220809018385467848e-01,1.451826381673460009e-01,4.889456290246929626e-02,4.549181504698407430e-02,2.487797768152766320e-02
7.924828983539177196e-01,1.475257055551302265e-01,4.835220477210877554e-02,4.492593841438563551e-02,2.491290026830528248e-02
8.697490026177834288e-01,1.501048938866058613e-01,4.783941161472049508e-02,4.436801516146560154e-02,2.492810716401094862e-02
9.545484566618341882e-01,1.529298411952157988e-01,4.732686085957649169e-02,4.382102771234763772e-02,2.492448960424531457e-02
1.047615752789665233e+00,1.560327037424134033e-01,4.682790632955580179e-02,4.328671409965734185e-02,2.490481132217980953e-02
1.149756995397736903e+00,1.594379321234380420e-01,4.634307220729061427e-02,4.276695567662147646e-02,2.486720275055753770e-02
1.261856883066021062e+00,1.631735912608098804e-01,4.587634035768295426e-02,4.226485209423902489e-02,2.481239186992789669e-02
1.384886371393873050e+00,1.672758319353697676e-01,4.542910329128457825e-02,4.178014055606138477e-02,2.474238778084592028e-02
1.519911082952934755e+00,1.717754354640472769e-01,4.499908099773031189e-02,4.131574209749278026e-02,2.465709619054012869e-02
1.668100537200059241e+00,1.767161441690370260e-01,4.458990880376401122e-02,4.087328773620368949e-02,2.455679931754550793e-02
1.830738280295369780e+00,1.821398707110479798e-01,4.420349484272323437e-02,4.045157232009177761e-02,2.444057478912975423e-02
2.009233002565047776e+00,1.880893144798760908e-01,4.383865308327239418e-02,4.005366946921440352e-02,2.431338807256144818e-02
2.205130739903045534e+00,1.946179320032239701e-01,4.349625776373389208e-02,3.967926820442779778e-02,2.417721372430792215e-02
2.420128264794383366e+00,2.017849902571984266e-01,4.317863673545652148e-02,3.932929130810980389e-02,2.403122591354045490e-02
2.656087782946686904e+00,2.096484026286196123e-01,4.288014877454737750e-02,3.900335955665790166e-02,2.387703013436304200e-02
2.915053062825178731e+00,2.182855624212294288e-01,4.260720145982710427e-02,3.870138524711586037e-02,2.371455849043113684e-02
3.199267137797384475e+00,2.277557780490264694e-01,4.235792376085578681e-02,3.842299627118683780e-02,2.354921601159154498e-02
3.511191734215134641e+00,2.381507246112937182e-01,4.212881547730851217e-02,3.816882966280732425e-02,2.337913338684027842e-02
3.853528593710531247e+00,2.495616749268956269e-01,4.192432522958600138e-02,3.793739405481311167e-02,2.320427017667370251e-02
4.229242874389498752e+00,2.620876696630787261e-01,4.173609158564217658e-02,3.772854480807286137e-02,2.302776474474277357e-02
4.641588833612781961e+00,2.758346117416736742e-01,4.157313767446413344e-02,3.754214336821104503e-02,2.285158218506411210e-02
5.094138014816380178e+00,2.907126334967748971e-01,4.142617632707956687e-02,3.737547936703888851e-02,2.267291686917971560e-02
5.590810182512228721e+00,3.063431487899619388e-01,4.129934077779728874e-02,3.722949780402773357e-02,2.249510586116287847e-02
6.135907273413176100e+00,3.226851344749710471e-01,4.118611841147612473e-02,3.710280752564565354e-02,2.231839914231703581e-02
6.734150657750828550e+00,3.397219947747798230e-01,4.109342204389587749e-02,3.699413841614607179e-02,2.214319991624880135e-02
7.390722033525782386e+00,3.574222397260842232e-01,4.101250977488568594e-02,3.690183730930285400e-02,2.196936628726842144e-02
8.111308307896871739e+00,3.757500013382537585e-01,4.095083678510880176e-02,3.682574445214803482e-02,2.180014546572772716e-02
8.902150854450392004e+00,3.946608802682840533e-01,4.089954795675998511e-02,3.676477033060021604e-02,2.163278793553746748e-02
9.770099572992256398e+00,4.140942893157328886e-01,4.086368550261942900e-02,3.671702933256870693e-02,2.146765343705037132e-02
1.072267222010324339e+01,4.339966275942275242e-01,4.083506272947001747e-02,3.668274976613550287e-02,2.130440414094403323e-02
1.176811952434999142e+01,4.542983590956233275e-01,4.081791943400614464e-02,3.665962060309402304e-02,2.114626002404818017e-02
1.291549665014884063e+01,4.749272901428742699e-01,4.081196795601549354e-02,3.664735968029964042e-02,2.099178402310175606e-02
1.417474162926806258e+01,4.958048474140266393e-01,4.081643000311996339e-02,3.664441585900624077e-02,2.084293542819670719e-02
1.555676143930472222e+01,5.168484932352691574e-01,4.082604201708694980e-02,3.665059759034416942e-02,2.069618249690852174e-02
1.707352647470692020e+01,5.379760183067254786e-01,4.084374238512578081e-02,3.666480149845541270e-02,2.055103776836197937e-02
1.873817422860384951e+01,5.590993996736851601e-01,4.083446484488595374e-02,3.668664759017392640e-02,2.041254426712779679e-02
2.056512308348653661e+01,5.801293978550174923e-01,4.084034975983619198e-02,3.671429798805525557e-02,2.027851674652614289e-02
2.257019719633921540e+01,6.009871878530720357e-01,4.084604024399429711e-02,3.674690121932799869e-02,2.014495409928973579e-02
2.477076355991711409e+01,6.215888671160330059e-01,4.085037673977365280e-02,3.678562686093411749e-02,2.001745777286401129e-02
2.718588242732942817e+01,6.418569816045425203e-01,4.085459655536882728e-02,3.682759043779415542e-02,1.989358171619204363e-02
2.983647240283340452e+01,6.617173294268088313e-01,4.086289883427518532e-02,3.687356221622439811e-02,1.977436667558540861e-02
3.274549162877731590e+01,6.811039280577082522e-01,4.086665047059789835e-02,3.692249778017386852e-02,1.965708038333391361e-02
3.593813663804629499e+01,6.999549138778609070e-01,4.087016511188945600e-02,3.697478392410791237e-02,1.954374346037168753e-02
3.944206059437659917e+01,7.182207368552758764e-01,4.087571670208944852e-02,3.702820426669495291e-02,1.943513943301744540e-02
4.328761281083061618e+01,7.358534840553316858e-01,4.087819752456689493e-02,3.708420785664534591e-02,1.932920926101777681e-02
4.750810162102798273e+01,7.528158122436860999e-01,4.088273097606842654e-02,3.714124594137957480e-02,1.922727133238910646e-02
5.214008287999689628e+01,7.690810759652673134e-01,4.088548295631833085e-02,3.719879966282824135e-02,1.912840068131493876e-02
5.722367659350219782e+01,7.846225415809483517e-01,4.088987462923698857e-02,3.725769631631581369e-02,1.903234148622212629e-02
6.280291441834259558e+01,7.994313822707312944e-01,4.089369189530511761e-02,3.731602084705132327e-02,1.894041178230831957e-02
6.892612104349701951e+01,8.134975250403881919e-01,4.089727133371434675e-02,3.737516700095477873e-02,1.885023804260443914e-02
7.564633275546290747e+01,8.268211333817636621e-01,4.089988826984525261e-02,3.743464862128176307e-02,1.876361926426584059e-02
8.302175681319752698e+01,8.394084779890936820e-01,4.090355644619125819e-02,3.749285286153325458e-02,1.867950722274525077e-02
9.111627561154895716e+01,8.512685211659480888e-01,4.090773090653021526e-02,3.701692809490086944e-02,1.859892005472640886e-02
1.000000000000000000e+02,8.624174050291619764e-01,4.090852723886628795e-02,3.702975189793056288e-02,1.852110636488268902e-02
