# delta_large,l2,l1,Huber,BO
1.000000000000000021e-02,1.914438261171724776e-01,3.042294655032344863e-01,1.914438261171715894e-01,1.466204324511002355e-01
1.097498765493056146e-02,1.914807514833252178e-01,3.040675312460277002e-01,1.914807514833196667e-01,1.468645587671902897e-01
1.204503540258782326e-02,1.915149889045879572e-01,3.038914347101224767e-01,1.915149889045855147e-01,1.471175510617077631e-01
1.321941148466028795e-02,1.915537487631508995e-01,3.037055265157651007e-01,1.915537487631484570e-01,1.473801024049861130e-01
1.450828778495939428e-02,1.915960327479508951e-01,3.034964529730188598e-01,1.915960327479484526e-01,1.476495056379292237e-01
1.592282793341092198e-02,1.916441287195849164e-01,3.032659724612756236e-01,1.916441287195831400e-01,1.479296945861952040e-01
1.747528400007683849e-02,1.916922538651437691e-01,3.030269337641964267e-01,1.916922538651411045e-01,1.482182354456438311e-01
1.917910261672488639e-02,1.917514507379225464e-01,3.027575725645714755e-01,1.917514507379203259e-01,1.485165162929498184e-01
2.104904144512020903e-02,1.918162525141893227e-01,3.024772652877414369e-01,1.918162525141868802e-01,1.488278538790901440e-01
2.310129700083160542e-02,1.918838824663477993e-01,3.021638280779186392e-01,1.918838824663442466e-01,1.491493401321825063e-01
2.535364493970111363e-02,1.919593290404690844e-01,3.018351048435921058e-01,1.919593290404648656e-01,1.494824996490812241e-01
2.782559402207124277e-02,1.920391902635634196e-01,3.014723305505095929e-01,1.920391902635572023e-01,1.498268343308797323e-01
3.053855508833415444e-02,1.921294249537444099e-01,3.010923704616748076e-01,1.921294249537410792e-01,1.501872731654598780e-01
3.351602650938842465e-02,1.922312287136633824e-01,3.006791495350709109e-01,1.922312287136620501e-01,1.505592270234514807e-01
3.678379771828634015e-02,1.923384521518889390e-01,3.002368394774637128e-01,1.923384521518869406e-01,1.509439752669796686e-01
4.037017258596553582e-02,1.924606760413762885e-01,2.997660141007747470e-01,1.924606760413747342e-01,1.513450375226518263e-01
4.430621457583882455e-02,1.925887247629480825e-01,2.992564903658638809e-01,1.925887247629445298e-01,1.517632063322100766e-01
4.862601580065353118e-02,1.927322920214484814e-01,2.987215938951028882e-01,1.927322920214471491e-01,1.521967647961616210e-01
5.336699231206309957e-02,1.928926656828084951e-01,2.981534138790862265e-01,1.928926656828060526e-01,1.526524649243463649e-01
5.857020818056667133e-02,1.930664213297692555e-01,2.975521601177595343e-01,1.930664213297665910e-01,1.531184870663280240e-01
6.428073117284321958e-02,1.932532359388747789e-01,2.969208495952921911e-01,1.932532359388738907e-01,1.536114193148223617e-01
7.054802310718645553e-02,1.934634460703379411e-01,2.962523980525206824e-01,1.934634460703328340e-01,1.541262469298818605e-01
7.742636826811269413e-02,1.936947551334269324e-01,2.955518452163150567e-01,1.936947551334242679e-01,1.546634961444497414e-01
8.497534359086446332e-02,1.939464429951189839e-01,2.948157651727738582e-01,1.939464429951112123e-01,1.552280419097387121e-01
9.326033468832199691e-02,1.942206441848630671e-01,2.940530837727728386e-01,1.942206441848606246e-01,1.558112685436192635e-01
1.023531021899026366e-01,1.945210544960933596e-01,2.932611372249016579e-01,1.945210544960918053e-01,1.564323857017124730e-01
1.123324032978027659e-01,1.948548838868675581e-01,2.924448978399101229e-01,1.948548838868646715e-01,1.570843498353123868e-01
1.232846739442066547e-01,1.952211506867369550e-01,2.916025196870410952e-01,1.952211506867318480e-01,1.577712431452995556e-01
1.353047774579807516e-01,1.956243481157968755e-01,2.907359709409957915e-01,1.956243481157939890e-01,1.584926804855819604e-01
1.484968262254464932e-01,1.960582888008470803e-01,2.898543465022689336e-01,1.960582888008450819e-01,1.592549507363023586e-01
1.629750834620644351e-01,1.965458698760240708e-01,2.889645095096884386e-01,1.965458698760178535e-01,1.600644654777864107e-01
1.788649529057435017e-01,1.970702946206439599e-01,2.880546231851377481e-01,1.970702946206408512e-01,1.609168516575281149e-01
1.963040650040271395e-01,1.976584379746157971e-01,2.871540218168762149e-01,1.976584379746133546e-01,1.618254045592382173e-01
2.154434690031884481e-01,1.982953629725898725e-01,2.862524522811709105e-01,1.982953629725829892e-01,1.627857509700000316e-01
2.364489412645408295e-01,1.989962271862568688e-01,2.853515000494140086e-01,1.989962271862484311e-01,1.638084823268608492e-01
2.595024211399737379e-01,1.997651565460976109e-01,2.844753063488945077e-01,1.997651565460953904e-01,1.649024324749925885e-01
2.848035868435802032e-01,2.006081051527304204e-01,2.836136656999899142e-01,2.006081051527270898e-01,1.660656804664220054e-01
3.125715849688237014e-01,2.015299755602306675e-01,2.827804334944075126e-01,2.015299755602280030e-01,1.672999287995368123e-01
