# delta_large,l2,l1,Huber,BO
7.000000000000002054e-02,1.934469372524292297e-01,2.963067122342872839e-01,1.934469372524094677e-01,1.540847830575675648e-01
1.025995631401847435e-01,1.945336200032907747e-01,2.932432857284466010e-01,1.945336200032883323e-01,1.564507796435747888e-01
1.503810050936679188e-01,1.961228123401688173e-01,2.897355195747575163e-01,1.961228123401663748e-01,1.593620001498521344e-01
2.204146489598888814e-01,1.984586976339319797e-01,2.860289763115480000e-01,1.984586976339293152e-01,1.630325475441956051e-01
3.230635241854538098e-01,2.018842048180520266e-01,2.824993535188271565e-01,2.018842048180482518e-01,1.677653614251317649e-01
4.735168063993723253e-01,2.068967816478075594e-01,2.796223108234268118e-01,2.068967816477980115e-01,1.739558351883335741e-01
6.940373925158718205e-01,2.142462210206725892e-01,2.779145044300377343e-01,2.141105235121423256e-01,1.820194633727580946e-01
1.017256189644019315e+00,2.250179513368124606e-01,2.778609590976881538e-01,2.204482209019296146e-01,1.920838829994604424e-01
1.491000580844647150e+00,2.408120731135336978e-01,2.783465038350341203e-01,2.253819641349887881e-01,2.033316686891286640e-01
2.185371546234606388e+00,2.639558632579870334e-01,2.788546454901235094e-01,2.308648229497465287e-01,2.134498424635722369e-01
3.203116656323723443e+00,2.973803898978766291e-01,2.793620371170606465e-01,2.368770513837012981e-01,2.196600256928675776e-01
4.694833851798045465e+00,3.413990022437036753e-01,2.798060969358970862e-01,2.418463888351178870e-01,2.208930559277544337e-01
6.881255745860432427e+00,3.964884788808484828e-01,2.802212930788763323e-01,2.458843012310418796e-01,2.180627131250451045e-01
1.008591190544522753e+01,4.619994803098459446e-01,2.805632953724785938e-01,2.491209616720047038e-01,2.127404849118696983e-01
1.478300221955812788e+01,5.354244083280329525e-01,2.808749176810449999e-01,2.517208798690699911e-01,2.062151279386982283e-01
2.166756528038636986e+01,6.124703809147583611e-01,2.811239287538478404e-01,2.538026546631757530e-01,1.993403943915178500e-01
3.175832474398677618e+01,6.879403880746308708e-01,2.813514999641160141e-01,2.554701826393177555e-01,1.926387530485909050e-01
4.654843206853086457e+01,7.570301703943267402e-01,2.815344130102268583e-01,2.568142083763003125e-01,1.863615293973561737e-01
6.822641135845476867e+01,8.164408740396252862e-01,2.816841747304867916e-01,2.578922981032030215e-01,1.806453807284713609e-01
1.000000000000000000e+02,8.648120467062707650e-01,2.818044389811806827e-01,2.587676436643493449e-01,1.755156176170626914e-01
