# delta_large,l2,l1,Huber,BO
1.000000000000000021e-02,7.191876506364747179e-02,3.050410191801145032e-02,2.954043571121589551e-02,1.770340908897582999e-02
1.097498765493056146e-02,7.194632675211787287e-02,3.145074983393092438e-02,3.041055737648434842e-02,1.926118704044710306e-02
1.204503540258782326e-02,7.197658116463667710e-02,3.244231419159993024e-02,3.131828603807607081e-02,2.086248545057434178e-02
1.321941148466028795e-02,7.200978383903922087e-02,3.348018828081933407e-02,3.226427987062208125e-02,2.250093269185393652e-02
1.450828778495939428e-02,7.204621760278651088e-02,3.456575621373003671e-02,3.324912758941200863e-02,2.417092351615479640e-02
1.592282793341092198e-02,7.208619835980423218e-02,3.570041843778470891e-02,3.427333723893033479e-02,2.586757189253385825e-02
1.747528400007683849e-02,7.213007212721889161e-02,3.688556667450715310e-02,3.533732362322172804e-02,2.758664677767042051e-02
1.917910261672488639e-02,7.217822292217745961e-02,3.812259716385724140e-02,3.644139365563359156e-02,2.932446293704060736e-02
2.104904144512020903e-02,7.223106339883234028e-02,3.941288328942094132e-02,3.758572983604624440e-02,3.107776673823614555e-02
2.310129700083160542e-02,7.228904476619790742e-02,4.075779130707779530e-02,3.877037128755111972e-02,3.284363289405034525e-02
2.535364493970111363e-02,7.235267255263266861e-02,4.215866698980708094e-02,3.999519708256693562e-02,3.461938379037210467e-02
2.782559402207124277e-02,7.242249034519576689e-02,4.361680977798298997e-02,4.125990137116186673e-02,3.640248233833487390e-02
3.053855508833415444e-02,7.249910191110142677e-02,4.513350653145664637e-02,4.256397239855691517e-02,3.819049091208825963e-02
3.351602650938842465e-02,7.258317064786901085e-02,4.670998763250922003e-02,4.390666642339779990e-02,3.998101120535835218e-02
3.678379771828634015e-02,7.267541085514173105e-02,4.834742328901020514e-02,4.528697794504266128e-02,4.177164648173570249e-02
4.037017258596553582e-02,7.277662361582715178e-02,5.004693709097107757e-02,4.670361452325644258e-02,4.355995210020846553e-02
4.430621457583882455e-02,7.288767396307438418e-02,5.180955565781442118e-02,4.815495868831076720e-02,4.534351705933281629e-02
4.862601580065353118e-02,7.300952216619216451e-02,5.363627744516019646e-02,4.963904993951562261e-02,4.711978644019321205e-02
5.336699231206309957e-02,7.314320987805689178e-02,5.552795894081774541e-02,5.115351724498484742e-02,4.888622630528272062e-02
5.857020818056667133e-02,7.328988934954860923e-02,5.748539450444445364e-02,5.269559182130301167e-02,5.064027571360596447e-02
6.428073117284321958e-02,7.345080864325526093e-02,5.950920868531173191e-02,5.426202107108446526e-02,5.237935350677558333e-02
