# epsilons,l2,l1,Huber,BO
1.000000000000000048e-04,2.708502622643804703e-01,3.110759891240058028e-01,2.705121552187317313e-01,2.703977596179758525e-01
1.089841479985287007e-04,2.709125526762821146e-01,3.110879799038788196e-01,2.705416766543005114e-01,2.704175448276793237e-01
1.187754451496519491e-04,2.709803241088097892e-01,3.111010126801230236e-01,2.705735899823880075e-01,2.704385996112851354e-01
1.294464069278079583e-04,2.710540932973406480e-01,3.111151177393518541e-01,2.706079355944517317e-01,2.704619993041701420e-01
1.410760637049798111e-04,2.711345678625463052e-01,3.111307381675072481e-01,2.706452666932386286e-01,2.704866618916534904e-01
1.537505460587338172e-04,2.712222665990511317e-01,3.111476270260262744e-01,2.706857267746338724e-01,2.705139267629794730e-01
1.675637226651963423e-04,2.713177107092044071e-01,3.111660141168366422e-01,2.707293160790191777e-01,2.705427946093629243e-01
1.826178955012817604e-04,2.714217489379842085e-01,3.111860740443983531e-01,2.707765368705283837e-01,2.705742824820160930e-01
1.990245575049151821e-04,2.715349323523288394e-01,3.112077995176196765e-01,2.708273588092255935e-01,2.706085733400593885e-01
2.169052183045736210e-04,2.716583534664549493e-01,3.112317599659550904e-01,2.708825872520668199e-01,2.706453561708939137e-01
2.363923041335880607e-04,2.717927091935812278e-01,3.112577398540696816e-01,2.709421034936077000e-01,2.706850799226245829e-01
2.576301385940816982e-04,2.719391104482071775e-01,3.112860408496196385e-01,2.710066305096980876e-01,2.707276954025801263e-01
2.807760115341883145e-04,2.720984402233579402e-01,3.113168682238949270e-01,2.710762086319964403e-01,2.707740530915438981e-01
3.060013439547857954e-04,2.722719093752354880e-01,3.113504869608387793e-01,2.711513439035031503e-01,2.708243714543804304e-01
3.334929575731706165e-04,2.724608630174949475e-01,3.113871142642881118e-01,2.712325581879762026e-01,2.708784481561179458e-01
3.634544584462144558e-04,2.726665184744359038e-01,3.114270482460155254e-01,2.713203127916961055e-01,2.709368256793123209e-01
3.961077449002729550e-04,2.728903797662647346e-01,3.114705738466949647e-01,2.714149727470998030e-01,2.709995945095760028e-01
4.316946509357480022e-04,2.731340648802362825e-01,3.115178477122626521e-01,2.715172819475675237e-01,2.710679557439357179e-01
4.704787372775474756e-04,2.733994320215578089e-01,3.115696733934987250e-01,2.716279151249072488e-01,2.711412078736761266e-01
5.127472433361707953e-04,2.736880268464374488e-01,3.116260218041897456e-01,2.717473069583959955e-01,2.712208458903169195e-01
5.588132145358679298e-04,2.740020690720699204e-01,3.116872624928095359e-01,2.718760194771159266e-01,2.713062483888256660e-01
6.090178207651060537e-04,2.743438295024791529e-01,3.117543285621842131e-01,2.720152925386545295e-01,2.713990024181831551e-01
6.637328831200574363e-04,2.747155241015764027e-01,3.118271029084540569e-01,2.721652981355004997e-01,2.714988435878220585e-01
7.233636276544640805e-04,2.751198974357971228e-01,3.119067413741731798e-01,2.723274041393937139e-01,2.716063504093041425e-01
7.883516865304673101e-04,2.755594458134602576e-01,3.119932246535164211e-01,2.725022221231550024e-01,2.717229278066597420e-01
8.591783687972606807e-04,2.760374106379142045e-01,3.120876379211803275e-01,2.726909012424740819e-01,2.718481725371095781e-01
9.363682250213513011e-04,2.765569691265592489e-01,3.121905420256665398e-01,2.728944835894187015e-01,2.719836116919059910e-01
1.020492932168464610e-03,2.771216382974006631e-01,3.123028596679089386e-01,2.731142824587324824e-01,2.721300520057560179e-01
1.112175527509004763e-03,2.777351327633079681e-01,3.124251116016703023e-01,2.733510692611340609e-01,2.722877444022389071e-01
1.212095022903831015e-03,2.784014900330564757e-01,3.125583447896542744e-01,2.736065589227461015e-01,2.724579372941624555e-01
1.320991433644310223e-03,2.791250250496737362e-01,3.127035795753214664e-01,2.738821527432471203e-01,2.726412277336759393e-01
1.439671259090799602e-03,2.799105262843926134e-01,3.128618628038057903e-01,2.741792711127652993e-01,2.728395968890279244e-01
1.569013455699798604e-03,2.807629779181155527e-01,3.130343652431581969e-01,2.744994824949322787e-01,2.730530103127182251e-01
1.709975946676698050e-03,2.816877613730257579e-01,3.132224035601618439e-01,2.748447633536659218e-01,2.732834949223673648e-01
1.863602716465372934e-03,2.826905409772755284e-01,3.134273430763185875e-01,2.752169721623962673e-01,2.735321872251422759e-01
2.031031542617221103e-03,2.837774764761507029e-01,3.136505967061886668e-01,2.756180740730793666e-01,2.738004320016691473e-01
2.213502422302753101e-03,2.849553438691716511e-01,3.138942448995192258e-01,2.760504687872564755e-01,2.740897585060159125e-01
