# epsilons,l2,l1,Huber,BO
1.000000000000000082e-05,-5.000000000000000000e+00,0.000000000000000000e+00,1.097733819866686389e-02,1.097643329156738901e-02
1.125335582600764634e-05,-4.948717948717948900e+00,0.000000000000000000e+00,1.097751801355517642e-02,1.097650896317370339e-02
1.266380173467402173e-05,-4.897435897435897800e+00,0.000000000000000000e+00,1.097771826939686335e-02,1.097659323277533350e-02
1.425102670302999301e-05,-4.846153846153845812e+00,0.000000000000000000e+00,1.097794125668194454e-02,1.097668708795851433e-02
1.603718743751331087e-05,-4.794871794871794712e+00,0.000000000000000000e+00,1.097818952796814074e-02,1.097679160277464927e-02
1.804721766827170097e-05,-4.743589743589743613e+00,0.000000000000000000e+00,1.097846590666629041e-02,1.097690798186534700e-02
2.030917620904734816e-05,-4.692307692307692513e+00,0.000000000000000000e+00,1.097877353317322502e-02,1.097703756023982180e-02
2.285463864134988516e-05,-4.641025641025641413e+00,0.000000000000000000e+00,1.097911589530986554e-02,1.097718182575013746e-02
2.571913809059347009e-05,-4.589743589743589425e+00,0.000000000000000000e+00,1.097949685701005151e-02,1.097734242866521548e-02
2.894266124716751731e-05,-4.538461538461538325e+00,0.000000000000000000e+00,1.097992071272613224e-02,1.097752120513939555e-02
3.257020655659782988e-05,-4.487179487179487225e+00,0.000000000000000000e+00,1.098039221378366292e-02,1.097772019014287004e-02
3.665241237079626321e-05,-4.435897435897436125e+00,0.000000000000000000e+00,1.098091664312450533e-02,1.097794165689758294e-02
4.124626382901347725e-05,-4.384615384615385025e+00,0.000000000000000000e+00,1.098149985012319974e-02,1.097818811947104400e-02
4.641588833612781789e-05,-4.333333333333333037e+00,0.000000000000000000e+00,1.098214831959132276e-02,1.097846237627342347e-02
5.223345074266843603e-05,-4.282051282051281937e+00,0.000000000000000000e+00,1.098286924128366593e-02,1.097876753542004202e-02
5.878016072274911818e-05,-4.230769230769230838e+00,0.000000000000000000e+00,1.098367057915927703e-02,1.097910705015281430e-02
6.614740641230145183e-05,-4.179487179487179738e+00,0.000000000000000000e+00,1.098456115108970010e-02,1.097948475435883697e-02
7.443803013251695940e-05,-4.128205128205127750e+00,0.000000000000000000e+00,1.098555073625817613e-02,1.097990490646394424e-02
8.376776400682923638e-05,-4.076923076923076650e+00,0.000000000000000000e+00,1.098665014758015701e-02,1.098037223720516042e-02
9.426684551178853488e-05,-4.025641025641025550e+00,0.000000000000000000e+00,1.098787137212164922e-02,1.098089199720597708e-02
1.060818355139448306e-04,-3.974358974358974450e+00,0.000000000000000000e+00,1.098922766045129507e-02,1.098147001661931021e-02
1.193776641714435703e-04,-3.923076923076923350e+00,0.000000000000000000e+00,1.099073368758451963e-02,1.098211276963101390e-02
1.343399332598899977e-04,-3.871794871794871806e+00,0.000000000000000000e+00,1.099240568060322332e-02,1.098282744370970843e-02
1.511775070615662981e-04,-3.820512820512820262e+00,0.000000000000000000e+00,1.099426159365268774e-02,1.098362201616465139e-02
1.701254279852589153e-04,-3.769230769230769162e+00,0.000000000000000000e+00,1.099632128210714654e-02,1.098450533646411209e-02
1.914481976169957525e-04,-3.717948717948718063e+00,0.000000000000000000e+00,1.099860669353414089e-02,1.098548724043713065e-02
2.154434690031882321e-04,-3.666666666666666963e+00,0.000000000000000000e+00,1.100114208505753588e-02,1.098657862774132798e-02
2.424462017082328286e-04,-3.615384615384615419e+00,0.000000000000000000e+00,1.100395427523448433e-02,1.098779160588625459e-02
2.728333376486769706e-04,-3.564102564102563875e+00,0.000000000000000000e+00,1.100707289107782927e-02,1.098913959993663703e-02
3.070290629757849643e-04,-3.512820512820512775e+00,0.000000000000000000e+00,1.101053066312362994e-02,1.099063752180340359e-02
3.455107294592218038e-04,-3.461538461538461675e+00,0.000000000000000000e+00,1.101436374179565192e-02,1.099230190285838127e-02
3.888155180308085538e-04,-3.410256410256410575e+00,0.000000000000000000e+00,1.101861205376719610e-02,1.099415109221868470e-02
4.375479375074184211e-04,-3.358974358974359031e+00,0.000000000000000000e+00,1.102331968421599306e-02,1.099620545863289056e-02
4.923882631706741255e-04,-3.307692307692307487e+00,0.000000000000000000e+00,1.102853530449676711e-02,1.099848758693755535e-02
5.541020330009491972e-04,-3.256410256410256387e+00,0.000000000000000000e+00,1.103431264728493844e-02,1.100102254924717471e-02
6.235507341273912067e-04,-3.205128205128205288e+00,0.000000000000000000e+00,1.104071101966974666e-02,1.100383815135086429e-02
7.017038286703822323e-04,-3.153846153846154188e+00,0.000000000000000000e+00,1.104779588284965364e-02,1.100696526937494646e-02
7.896522868499724398e-04,-3.102564102564102644e+00,0.000000000000000000e+00,1.105563948910748273e-02,1.101043815607749554e-02
8.886238162743407155e-04,-3.051282051282051100e+00,0.000000000000000000e+00,1.106432157947567774e-02,1.101429482512894520e-02
1.000000000000000021e-03,-3.000000000000000000e+00,0.000000000000000000e+00,1.107393016328228619e-02,1.101857747337708915e-02
