# delta_large,l2,l1,Huber,BO
1.000000000000000048e-04,9.901951688398646922e-02,1.455297985666477167e-01,9.901951688398491491e-02,9.901951700139222101e-02
1.072267222010323413e-04,9.902015239738548580e-02,1.455306303524392941e-01,9.902015239738481966e-02,9.902014968902639325e-02
1.149756995397735904e-04,9.902084837767022307e-02,1.455314789199528835e-01,9.902084837767000103e-02,9.902083987406107290e-02
1.232846739442066287e-04,9.902156929724648116e-02,1.455322753141317094e-01,9.902156929724470480e-02,9.902157333358285740e-02
1.321941148466029056e-04,9.902236436321842916e-02,1.455330833605252838e-01,9.902236436321776303e-02,9.902236300955091775e-02
1.417474162926805404e-04,9.902320933866293196e-02,1.455338546694990853e-01,9.902320933865205177e-02,9.902320247752904869e-02
1.519911082952933622e-04,9.902410448741960636e-02,1.455345921336301807e-01,9.902410448695686540e-02,9.902411054682480618e-02
1.629750834620644258e-04,9.902508629694350972e-02,1.455353418036215984e-01,9.902508628899653331e-02,9.902508033681822752e-02
1.747528400007684023e-04,9.902611819913942348e-02,1.455360482829495261e-01,9.902611812973827199e-02,9.902612017074785555e-02
1.873817422860384085e-04,9.902723284677383830e-02,1.455367429820131342e-01,9.902723246254829803e-02,9.902723492404641448e-02
2.009233002565047322e-04,9.902842831669333989e-02,1.455374217415392746e-01,9.902842677525858228e-02,9.902843054078291907e-02
2.154434690031883947e-04,9.902971219475364961e-02,1.455380783698980718e-01,9.902970731251059533e-02,9.902970626113716257e-02
2.310129700083159968e-04,9.903108792350368006e-02,1.455387190027854771e-01,9.903107499129881752e-02,9.903106662366956137e-02
2.477076355991710650e-04,9.903257524609276885e-02,1.455393600712096003e-01,9.903254542549433381e-02,9.903252485586633291e-02
2.656087782946686443e-04,9.903415021218697767e-02,1.455399672370634168e-01,9.903408859657480967e-02,9.903406953630000675e-02
2.848035868435802175e-04,9.903584008684629403e-02,1.455405421179467584e-01,9.903572355288647877e-02,9.903569012384716430e-02
3.053855508833415791e-04,9.903766035688876812e-02,1.455411193774085454e-01,9.903745533932384326e-02,9.903739405463563017e-02
3.274549162877728962e-04,9.903961383001713692e-02,1.455416780941454213e-01,9.903927413622914955e-02,9.903916827336933792e-02
3.511191734215131496e-04,9.904170284522950674e-02,1.455422172391866997e-01,9.904116759774672651e-02,9.904100441972862878e-02
3.764935806792468623e-04,9.904395243649743996e-02,1.455427394592763157e-01,9.904314419982007678e-02,9.904288342296263536e-02
4.037017258596554926e-04,9.904634334208162194e-02,1.455432328509642659e-01,9.904516645555583310e-02,9.904478878334010972e-02
4.328761281083058719e-04,9.904892539381426886e-02,1.455437317862950941e-01,9.904726452172729623e-02,9.904671066562842352e-02
4.641588833612779485e-04,9.905168602484115681e-02,1.455442013771950371e-01,9.904940489144098414e-02,9.904862595726426910e-02
4.977023564332112198e-04,9.905465269036595188e-02,1.455446715162651561e-01,9.905159299004773210e-02,9.905052529512747839e-02
5.336699231206310044e-04,9.905783034182169544e-02,1.455451151193543069e-01,9.905381077111785615e-02,9.905237589445037294e-02
5.722367659350217342e-04,9.906123269390598729e-02,1.455455341229188182e-01,9.905604808565104946e-02,9.905417451099363113e-02
6.135907273413172868e-04,9.906488504387467309e-02,1.455459542306101195e-01,9.905830555463324139e-02,9.905590743810654963e-02
6.579332246575681333e-04,9.906880252466954140e-02,1.455463553325908599e-01,9.906057283905522759e-02,9.905755934558879705e-02
7.054802310718643081e-04,9.907300603677127171e-02,1.455467597451600703e-01,9.906284456156155827e-02,9.905911659911548206e-02
7.564633275546288988e-04,9.907750729443298709e-02,1.455471265006544890e-01,9.906510530260059788e-02,9.906057105791354900e-02
8.111308307896872294e-04,9.908233673851474244e-02,1.455474983177873494e-01,9.906735745442807328e-02,9.906191905591787972e-02
8.697490026177835502e-04,9.908751490225009562e-02,1.455478561778880131e-01,9.906959247987590089e-02,9.906315272513221970e-02
9.326033468832199040e-04,9.909306343501844694e-02,1.455481987062365867e-01,9.907180182381702949e-02,9.906426812821389483e-02
1.000000000000000021e-03,9.909902162176287277e-02,1.455485353027965445e-01,9.907399331059729697e-02,9.906526372717183726e-02
1.072267222010323115e-03,9.910540196954320535e-02,1.455488501434143433e-01,9.907614654718011060e-02,9.906613970592226259e-02
1.149756995397735633e-03,9.911225097256814998e-02,1.455491732161731111e-01,9.907827356791876205e-02,9.906690551230457054e-02
1.232846739442066070e-03,9.911959714832074830e-02,1.455494752720301044e-01,9.908036664707919883e-02,9.906754051055099985e-02
1.321941148466029489e-03,9.912746439645014895e-02,1.455497635299101145e-01,9.908241147533924931e-02,9.906806921286948064e-02
1.417474162926805675e-03,9.913589448285531347e-02,1.455500296056086995e-01,9.908440945591356908e-02,9.906848723238037557e-02
1.519911082952933893e-03,9.914494169666632217e-02,1.455503009055636454e-01,9.908637214349269584e-02,9.906879996300177460e-02
1.629750834620644203e-03,9.915464758734549022e-02,1.455505798974565668e-01,9.908829571862276531e-02,9.906902003392814571e-02
1.747528400007684023e-03,9.916504390647862266e-02,1.455508192116710120e-01,9.909016367924783353e-02,9.906913551129581386e-02
1.873817422860383922e-03,9.917619662387844315e-02,1.455510681508163096e-01,9.909199066086937790e-02,9.906916572182389302e-02
2.009233002565047159e-03,9.918816549265230265e-02,1.455513165192803271e-01,9.909378167427895789e-02,9.906911575744536957e-02
2.154434690031884706e-03,9.920098392898979434e-02,1.455515468256178835e-01,9.909551165007179918e-02,9.906899180406747440e-02
2.310129700083160455e-03,9.921472970437483774e-02,1.455517528186265341e-01,9.909719594322141667e-02,9.906878859911460999e-02
2.477076355991711734e-03,9.922947700234541202e-02,1.455519817144002026e-01,9.909884199376040037e-02,9.906852416708522568e-02
