# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000048e-04,1.104191858191505560e-02,9.978713989257777250e-02,1.696541703229748066e-02,3.891533344984053344e-01,1.098853175076364153e-02,9.970024610750163885e-02,1.003255520285008195e+00,0.000000000000000000e+00
1.030919824940233596e-04,1.104396405732410713e-02,9.978051404438553762e-02,1.696553748535500894e-02,3.891445549571925788e-01,1.098888612847881419e-02,9.969153128960484000e-02,1.000960512219045917e+00,4.367609490366282288e-91
1.062795685454800943e-04,1.104607279265112929e-02,9.977372927090685795e-02,1.696566166311841428e-02,3.891359635943284490e-01,1.098925020923946505e-02,9.968262888896141372e-02,9.986627926531206345e-01,0.000000000000000000e+00
1.095657141996298959e-04,1.104824674923543526e-02,9.976665474593696126e-02,1.696578968324757852e-02,3.891266116481819082e-01,1.098962425863625469e-02,9.967347630623887844e-02,9.963626254625919110e-01,3.952525166729972353e-323
1.129534669021340081e-04,1.105048794202323492e-02,9.975949984950552296e-02,1.696592166135335589e-02,3.891172599266735643e-01,1.099000854221876544e-02,9.966399241938261877e-02,9.940566594885029694e-01,0.000000000000000000e+00
1.164459683251404767e-04,1.105279844923501287e-02,9.975204161920817048e-02,1.696605772427894898e-02,3.891073517934042769e-01,1.099040333345091547e-02,9.965430919522796915e-02,9.917480688999074090e-01,nan
1.200464572807498148e-04,1.105518042035469328e-02,9.974435503739970121e-02,1.696619799373966231e-02,3.890972490944558104e-01,1.099080891990111830e-02,9.964428431542229903e-02,9.894374599870163767e-01,0.000000000000000000e+00
1.237582727245657124e-04,1.105763606040399694e-02,9.973655489948171637e-02,1.696634260396057137e-02,3.890867570321039359e-01,1.099122558573872865e-02,9.963394660309710105e-02,9.871203913818318298e-01,5.044231011433802978e+180
1.275848568521149807e-04,1.106016765409245650e-02,9.972829881433672994e-02,1.696649168681174658e-02,3.890759220203872104e-01,1.099165363401910511e-02,9.962334393823368828e-02,9.848022342623434788e-01,2.402902635977883631e-314
1.315297582910071280e-04,1.106277754815820913e-02,9.972000536877226318e-02,1.696664538108971776e-02,3.890649180175315691e-01,1.099209336715678553e-02,9.961257140896936924e-02,9.824787406769550646e-01,9.881312916824930884e-324
1.355966353917961785e-04,1.106546816584419446e-02,9.971138213917712934e-02,1.696680383026549777e-02,3.890535084996790127e-01,1.099254509929936674e-02,9.960137066654103921e-02,9.801530029525500343e-01,0.000000000000000000e+00
1.397892596205952038e-04,1.106824200662304136e-02,9.970239592797434935e-02,1.696696718128087866e-02,3.890417839404644584e-01,1.099300915413237156e-02,9.958982219429890481e-02,9.778248668126625631e-01,nan
1.441115190565887426e-04,1.107110164299585087e-02,9.969319183373109849e-02,1.696713558531470767e-02,3.890297258178362916e-01,1.099348585935500111e-02,9.957808911923593520e-02,9.754914956712392726e-01,0.000000000000000000e+00
1.485674219976896161e-04,1.107404973200698528e-02,9.968375090248303427e-02,1.696730920002509357e-02,3.890174106822216760e-01,1.099397555630488021e-02,9.956589294810890001e-02,9.731540065158781339e-01,5.815009097327015804e+252
1.531611006776799984e-04,1.107708900694603926e-02,9.967392703724062275e-02,1.696748818469062670e-02,3.890041614915067392e-01,1.099447858920354903e-02,9.955327163745854302e-02,9.708140407827896556e-01,2.402902635977883631e-314
1.578968150982871859e-04,1.108022229205718467e-02,9.966392947360885879e-02,1.696767270666188487e-02,3.889909915851771371e-01,1.099499531754144499e-02,9.954043856640434895e-02,9.684690340541550757e-01,9.881312916824930884e-324
1.627789569797466734e-04,1.108345249522013631e-02,9.965355510121998162e-02,1.696786293774188437e-02,3.889774140568987848e-01,1.099552610655440965e-02,9.952724007562144259e-02,9.661210256968101318e-01,0.000000000000000000e+00
1.678120538335141018e-04,1.108678261728002212e-02,9.964277790151765402e-02,1.696805905348375276e-02,3.889631692784104589e-01,1.099607133392987990e-02,9.951356105076167302e-02,9.637693164719385308e-01,nan
1.730007731609074252e-04,1.109021574881041694e-02,9.963189258623886269e-02,1.696826123738470748e-02,3.889484427941345412e-01,1.099663138394602058e-02,9.949961284002348250e-02,9.614137110825220489e-01,0.000000000000000000e+00
1.783499267815677589e-04,1.109375507803367356e-02,9.962041460858667152e-02,1.696846967652865246e-02,3.889332902974788064e-01,1.099720665293002497e-02,9.948524336282783820e-02,9.590554363482578504e-01,2.737224741292062415e+161
1.838644752957571248e-04,1.109740389110824843e-02,9.960851992914321329e-02,1.696868456521283264e-02,3.889181569371671365e-01,1.099779754684870881e-02,9.947040214278932146e-02,9.566934263687734141e-01,2.402902635977883631e-314
1.895495326846298695e-04,1.110116557683271665e-02,9.959647467879090277e-02,1.696890610266565957e-02,3.889022638181366398e-01,1.099840448299804763e-02,9.945523652690783922e-02,9.543265247489435277e-01,9.881312916824930884e-324
1.954103710527417017e-04,1.110504362577002802e-02,9.958406995124320649e-02,1.696913449376058480e-02,3.888858706524053743e-01,1.099902788636564210e-02,9.943954141974634120e-02,9.519561657504058694e-01,0.000000000000000000e+00
2.014524255171983762e-04,1.110904164450832177e-02,9.957122040633806237e-02,1.696936995224263001e-02,3.888688106110998466e-01,1.099966820117637134e-02,9.942340201817728707e-02,9.495825442258087890e-01,nan
2.076812992479756077e-04,1.111316334247502979e-02,9.955802117259263118e-02,1.696961269701713348e-02,3.888514546347872081e-01,1.100032587414512264e-02,9.940681921713806490e-02,9.472048970705156945e-01,0.000000000000000000e+00
2.141027686640830719e-04,1.111741254704856630e-02,9.954423502451584249e-02,1.696986295265934253e-02,3.888335060927604059e-01,1.100100136659820649e-02,9.938979150688015407e-02,9.448231933396749049e-01,0.000000000000000000e+00
2.207227887903958664e-04,1.112179320847261899e-02,9.953014699926901465e-02,1.697012095214045502e-02,3.888147078092251130e-01,1.100169515650262220e-02,9.937225699290008762e-02,9.424380217953276517e-01,2.402902635977883631e-314
2.275474987801150649e-04,1.112630939396019869e-02,9.951561484720609918e-02,1.697038693436936363e-02,3.887955396321914336e-01,1.100240772577332216e-02,9.935438225457984829e-02,9.400492012945161902e-01,9.881312916824930884e-324
2.345832276079840148e-04,1.113096529512613841e-02,9.950080010063755420e-02,1.697066114834888673e-02,3.887759969811017124e-01,1.100313957840937107e-02,9.933578058458097937e-02,9.376562313778147306e-01,0.000000000000000000e+00
2.418364999395378678e-04,1.113576523837145338e-02,9.948520945079016020e-02,1.697094384657438226e-02,3.887555121774415312e-01,1.100389121977785045e-02,9.931671872355535280e-02,9.352595809905341895e-01,nan
2.493140421818269793e-04,1.114071368812519225e-02,9.946941251475875656e-02,1.697123529752486704e-02,3.887344537962734159e-01,1.100466318365711516e-02,9.929715518567751309e-02,9.328589103126143645e-01,0.000000000000000000e+00
2.570227887212311012e-04,1.114581523700675092e-02,9.945296354374050241e-02,1.697153576614174320e-02,3.887130953408866607e-01,1.100545600451674488e-02,9.927694845127506273e-02,9.304545231841285791e-01,0.000000000000000000e+00
2.649698883541421910e-04,1.115107462679487682e-02,9.943615687838749939e-02,1.697184553398800588e-02,3.886908529996105921e-01,1.100627023770339719e-02,9.925636084369976464e-02,9.280459683813748750e-01,2.402902635977883631e-314
2.731627109164852648e-04,1.115649674124519208e-02,9.941878407597071199e-02,1.697216488789110578e-02,3.886680188358777599e-01,1.100710644765956481e-02,9.923513422715560250e-02,9.256340873255350932e-01,9.881312916824930884e-324
2.816088541182226322e-04,1.116208662116191519e-02,9.940065580400148093e-02,1.697249412676460345e-02,3.886442593573095627e-01,1.100796521959512830e-02,9.921311123840394208e-02,9.232181017141649626e-01,0.000000000000000000e+00
2.903161505891778903e-04,1.116784946113846821e-02,9.938232228557597470e-02,1.697283355680512251e-02,3.886199036732412293e-01,1.100884715116912105e-02,9.919071969513959530e-02,9.207985511574279247e-01,nan
2.992926751427174418e-04,1.117379061576828647e-02,9.936311071095173253e-02,1.697318349290366513e-02,3.885943635425275211e-01,1.100975285214444988e-02,9.916760861963622165e-02,9.183740219093908808e-01,0.000000000000000000e+00
3.085467522640244933e-04,1.117991560445030785e-02,9.934340535921545867e-02,1.697354425984132220e-02,3.885682373529749656e-01,1.101068295642715356e-02,9.914368386520497345e-02,9.159463312328475215e-01,0.000000000000000000e+00
3.180869638299057829e-04,1.118623012434971642e-02,9.932326336848679160e-02,1.697391619356047876e-02,3.885416300240078780e-01,1.101163810403305021e-02,9.911942684944161086e-02,9.135147799570400018e-01,2.402902635977883631e-314
3.279221570672965829e-04,1.119274003983061760e-02,9.930227296382741764e-02,1.697429964218311049e-02,3.885141357948964091e-01,1.101261896187155642e-02,9.909420727973265730e-02,9.110784667418019289e-01,9.881312916824930884e-324
3.380614527578411615e-04,1.119945140603073597e-02,9.928072825279322944e-02,1.697469496079251350e-02,3.884857542724826085e-01,1.101362620540369264e-02,9.906828045523807802e-02,9.086386551224634456e-01,0.000000000000000000e+00
3.485142536961543256e-04,1.120637046046280005e-02,9.925840236021982177e-02,1.697510251702771811e-02,3.884562355705704628e-01,1.101466053485999907e-02,9.904178937320293197e-02,9.061951580584490795e-01,nan
3.592902534096156222e-04,1.121350363742168454e-02,9.923566734922525945e-02,1.697552269147517556e-02,3.884259596666753689e-01,1.101572265872619028e-02,9.901446302174644887e-02,9.037471536327683630e-01,0.000000000000000000e+00
3.703994451477727440e-04,1.122085756762425390e-02,9.921202428493801351e-02,1.697595587422351393e-02,3.883949915626956351e-01,1.101681331670922859e-02,9.898639282960103314e-02,9.012946160178645361e-01,0.000000000000000000e+00
3.818521311497015749e-04,1.122843908906157040e-02,9.918756606006559617e-02,1.697640246890630422e-02,3.883628036009053597e-01,1.101793325840416671e-02,9.895761798968757961e-02,8.988384859245349690e-01,2.402902635977883631e-314
3.936589321979054742e-04,1.123625525268878711e-02,9.916257468483670456e-02,1.697686289171929097e-02,3.883298127470798944e-01,1.101908325623535134e-02,9.892786982470319623e-02,8.963790225553689428e-01,9.881312916824930884e-324
4.058307974676236027e-04,1.124431332708275555e-02,9.913671957547273705e-02,1.697733757224262341e-02,3.882956268774792052e-01,1.102026410136813794e-02,9.889739658704264913e-02,8.939140275647001754e-01,0.000000000000000000e+00
4.183790146806779246e-04,1.125262080817002186e-02,9.911002976500403461e-02,1.697782694925042968e-02,3.882600923948178462e-01,1.102147660576702215e-02,9.886592577608890875e-02,8.914459578359519298e-01,nan
4.313152205732719274e-04,1.126118542211074214e-02,9.908244921167783104e-02,1.697833148270544434e-02,3.882239432692135006e-01,1.102272160569972570e-02,9.883382286111125348e-02,8.889736653330881921e-01,0.000000000000000000e+00
4.446514116874553482e-04,1.127001513293257595e-02,9.905425268215080348e-02,1.697885163601764447e-02,3.881865525799518268e-01,1.102399994806191330e-02,9.880059703455437714e-02,8.864973678347737307e-01,0.000000000000000000e+00
4.583999554962592217e-04,1.127911816312110460e-02,9.902487273241711296e-02,1.697938790530728603e-02,3.881480490974873465e-01,1.102531251909510956e-02,9.876653504469373734e-02,8.840163743290579967e-01,2.402902635977883631e-314
4.725736018728144490e-04,1.128850297439898398e-02,9.899482390608262128e-02,1.697994077730924367e-02,3.881082237735978824e-01,1.102666020984455209e-02,9.873152766643411571e-02,8.815318713571484999e-01,9.881312916824930884e-324
4.871854949140970686e-04,1.129817830916080013e-02,9.896383893117274844e-02,1.698051078076701081e-02,3.880674124414619786e-01,1.102804395024636896e-02,9.869571247226724409e-02,8.790424721435278199e-01,0.000000000000000000e+00
5.022491851302619999e-04,1.130815316014821548e-02,9.893183550999656850e-02,1.698109843471073965e-02,3.880251111639904105e-01,1.102946468223109378e-02,9.865859773141517908e-02,8.765488199781102940e-01,nan
5.177786420108641645e-04,1.131843681860633666e-02,9.889878455288685088e-02,1.698170429289169725e-02,3.879817783588164759e-01,1.103092337684663526e-02,9.862052065363283160e-02,8.740514488763198031e-01,0.000000000000000000e+00
5.337882669796320794e-04,1.132903885546499012e-02,9.886475489603158140e-02,1.698232891994178040e-02,3.879363783463183335e-01,1.103242103093116100e-02,9.858148312110155687e-02,8.715501487197802044e-01,0.000000000000000000e+00
5.502929067497924071e-04,1.133996914050139360e-02,9.882985067121277667e-02,1.698297289738603943e-02,3.878902252166156472e-01,1.103395866576972750e-02,9.854130111587174057e-02,8.690436785186549384e-01,2.402902635977883631e-314
5.673078670923483021e-04,1.135123785199776414e-02,9.879365809942024235e-02,1.698363682620440684e-02,3.878427088707810388e-01,1.103553732864148706e-02,9.850001949198632090e-02,8.665336959327454291e-01,9.881312916824930884e-324
5.848489270300610138e-04,1.136285547886495273e-02,9.875638586478316383e-02,1.698432132629612568e-02,3.877932842396881186e-01,1.103715809724414854e-02,9.845766908600081524e-02,8.640191470371845206e-01,0.000000000000000000e+00
6.029323534703133827e-04,1.137483284424467556e-02,9.871795984184078554e-02,1.698502703608051334e-02,3.877426639650768947e-01,1.103882206853334935e-02,9.841406045910672251e-02,8.614996534728021071e-01,nan
6.215749162904186031e-04,1.138718110129910421e-02,9.867849434702252731e-02,1.698575461554319155e-02,3.876906173983027393e-01,1.104053038027963396e-02,9.836917535526160106e-02,8.589769217986142902e-01,0.000000000000000000e+00
6.407939038893587218e-04,1.139991175461485540e-02,9.863756714950921989e-02,1.698650474080132255e-02,3.876366326905605897e-01,1.104228418744912510e-02,9.832319790043358987e-02,8.564488797218522409e-01,0.000000000000000000e+00
6.606071392203858835e-04,1.141303666320148125e-02,9.859561041918551982e-02,1.698727811306466329e-02,3.875808342516918747e-01,1.104408468074002947e-02,9.827578140196668866e-02,8.539173125666933428e-01,2.402902635977883631e-314
6.810329963193487808e-04,1.142656806006114856e-02,9.855220822403568115e-02,1.698807545758196369e-02,3.875235976825165407e-01,1.104593308438062138e-02,9.822725495255923978e-02,8.513805077885943096e-01,9.881312916824930884e-324
7.020904173440658223e-04,1.144051855383110272e-02,9.850753986544616425e-02,1.698889751596555087e-02,3.874647988882096161e-01,1.104783064876446730e-02,9.817714434390349687e-02,8.488402802666263902e-01,0.000000000000000000e+00
7.237989301405591902e-04,1.145490114654901248e-02,9.846154482882685244e-02,1.698974505733796825e-02,3.874036094776414085e-01,1.104977865746592514e-02,9.812579662418333126e-02,8.462950262479462804e-01,nan
7.461786663524337454e-04,1.146972924551037387e-02,9.841391862382389832e-02,1.699061887331665410e-02,3.873408710821454881e-01,1.105177842666815735e-02,9.807313944938494954e-02,8.437457932496774671e-01,0.000000000000000000e+00
7.692503800901871573e-04,1.148501667817880545e-02,9.836507657207767263e-02,1.699151978133905949e-02,3.872764482359241089e-01,1.105383131295156751e-02,9.801882311994328245e-02,8.411912668166734441e-01,3.687789935099920656e+180
7.930354671777839655e-04,1.150077769936408423e-02,9.831454207117026889e-02,1.699244862341453555e-02,3.872094553751477264e-01,1.105593869694199149e-02,9.796309230507710408e-02,8.386326318775101374e-01,9.466732764936147439e+218
8.175559849943166623e-04,1.151702700807755164e-02,9.826266463414107255e-02,1.699340626801104648e-02,3.871404938818254760e-01,1.105810200432277846e-02,9.790587718560320174e-02,8.360700918489294420e-01,0.000000000000000000e+00
8.428346729291812242e-04,1.153377976495550961e-02,9.820907155502078822e-02,1.699439360978560742e-02,3.870698647845241536e-01,1.106032269330881057e-02,9.784695888564487465e-02,8.335025822573489673e-01,0.000000000000000000e+00
8.688949734697105952e-04,1.155105159543223792e-02,9.815380310242649564e-02,1.699541157519024459e-02,3.869967015162438795e-01,1.106260225989785795e-02,9.778638655755614306e-02,8.309304255311082965e-01,nan
8.957610539408420456e-04,1.156885862164491741e-02,9.809684338911540957e-02,1.699646111554242722e-02,3.869213549654991757e-01,1.106494223665865917e-02,9.772441570460638216e-02,8.283538085423773900e-01,0.000000000000000000e+00
9.234578289169720951e-04,1.158721746780200235e-02,9.803827488472241503e-02,1.699754321176794036e-02,3.868438667572807743e-01,1.106734420221289206e-02,9.766055173433357828e-02,8.257729725952864808e-01,0.000000000000000000e+00
9.520109833267731848e-04,1.160614526446601680e-02,9.797755820573379737e-02,1.699865888101559364e-02,3.867637366695655388e-01,1.106980977037830272e-02,9.759495076820695614e-02,8.231874255197901835e-01,2.402902635977883631e-314
9.814469962724156615e-04,1.162565968956541518e-02,9.791545885685704054e-02,1.699980916387722196e-02,3.866810965804620137e-01,1.107234059437223195e-02,9.752763764167399207e-02,8.205971012410756549e-01,9.881312916824930884e-324
