# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
0.000000000000000000e+00,1.097577279384398530e-02,9.999999701976740318e-02,1.696152210829238172e-02,3.894340574741362304e-01,1.097577279383998849e-02,9.999983691068893565e-02,1.112810824567581136e+01,1.097577279500383529e-02
1.677852348993288554e-03,1.208774746317908821e-02,9.644256304375595223e-02,1.702705836753226620e-02,3.847283470462112831e-01,1.112963329084970532e-02,9.598954095205664006e-02,7.742100223947827597e-01,1.104366298252690282e-02
3.355704697986577108e-03,1.320429239888243345e-02,9.291691620602979262e-02,1.709299061402802522e-02,3.800257920779286924e-01,1.125539157016985925e-02,9.257372158136792373e-02,7.119508179579606688e-01,1.110152190151614260e-02
5.033557046979865446e-03,1.432541718276714171e-02,8.942319209327581619e-02,1.715932214757964758e-02,3.753267884675411947e-01,1.137163132538754340e-02,8.941198967661975749e-02,6.742311358451196224e-01,1.115608897525022236e-02
6.711409395973154217e-03,1.545113133328146482e-02,8.596134546455497238e-02,1.722605630798001997e-02,3.706306040888851516e-01,1.148217025357101129e-02,8.642286298390440547e-02,6.468444734292650988e-01,1.120870028238585281e-02
8.389261744966442988e-03,1.658144431146535425e-02,8.253166669176678627e-02,1.729319646425730994e-02,3.659377745711703822e-01,1.158877470100772022e-02,8.356641569635299416e-02,6.252271204809181082e-01,1.125997038022807928e-02
1.006711409395973089e-02,1.771636552457600544e-02,7.913398546718201920e-02,1.736074603024295726e-02,3.612482475940341775e-01,1.169246173777427344e-02,8.081817508718458498e-02,6.073116727892573508e-01,1.131025237949256912e-02
1.174496644295302053e-02,1.885590431282957447e-02,7.576872175090963724e-02,1.742870844847432821e-02,3.565623171851033946e-01,1.179389000402220056e-02,7.816149982482978320e-02,5.919809079351998626e-01,1.135977482832672969e-02
1.342281879194630843e-02,2.000006996379588564e-02,7.243592002069498825e-02,1.749708720177922672e-02,3.518792267536294815e-01,1.189351921523518207e-02,7.558466190164500609e-02,5.785610904854023850e-01,1.140869731086568972e-02
1.510067114093959634e-02,2.114887169567536418e-02,6.913554073020131141e-02,1.756588581362872326e-02,3.471993876722319627e-01,1.199168751267487565e-02,7.307882384766152539e-02,5.666135741657172264e-01,1.145713730766884098e-02
1.677852348993288598e-02,2.230231867476617502e-02,6.586749135880531902e-02,1.763510784159461053e-02,3.425237770217477440e-01,1.208865349731969019e-02,7.063650127901990872e-02,5.558362020169229645e-01,1.150518477805673179e-02
1.845637583892617561e-02,2.346041999213221985e-02,6.263233478459306891e-02,1.770475688398076564e-02,3.378510264290004450e-01,1.218462100841422036e-02,6.825238004217122623e-02,5.460120382134443506e-01,1.155291073734943108e-02
2.013422818791946178e-02,2.462318468298962948e-02,5.943009228943413325e-02,1.777483657830880581e-02,3.331812229511897927e-01,1.227975465719088888e-02,6.592139827939980101e-02,5.369796102322833553e-01,1.160037262277302528e-02
2.181208053691275142e-02,2.579062171988666385e-02,5.626071709791233277e-02,1.784535059977687688e-02,3.285154351801410355e-01,1.237419004424911151e-02,6.363983294133923607e-02,5.286163398771737132e-01,1.164761783119550032e-02
2.348993288590604106e-02,2.696273999801412913e-02,5.312421495619706890e-02,1.791630266718313713e-02,3.238525772424493132e-01,1.246804075253615807e-02,6.140419421508516717e-02,5.208257325161456119e-01,1.169468612639390503e-02
2.516778523489932723e-02,2.813954835948728750e-02,5.002103319815090487e-02,1.798769653711929095e-02,3.191936384939113580e-01,1.256140328490196190e-02,5.921169018869219813e-02,5.135311589978441837e-01,1.174161136454676679e-02
2.684563758389261687e-02,2.932105557296260656e-02,4.695082839929662355e-02,1.805953601080378945e-02,3.145382848026050393e-01,1.265436064691183304e-02,5.705943061370102182e-02,5.066705834074042292e-01,1.178842270604651965e-02
2.852348993288590651e-02,3.050727033325140169e-02,4.391407996805808678e-02,1.813182492820031300e-02,3.098861552942560049e-01,1.274698500780013788e-02,5.494567462791562218e-02,5.001926762400801252e-01,1.183514555867359874e-02
3.020134228187919267e-02,3.169820127639200180e-02,4.091083426015956065e-02,1.820456717454166373e-02,3.052377565738739751e-01,1.283933972048689753e-02,5.286790558228084136e-02,4.940553924146774967e-01,1.188180226463708689e-02
3.187919463087248578e-02,3.289385695840985058e-02,3.794101270131954029e-02,1.827776667618152828e-02,3.005926579111802832e-01,1.293148087098860977e-02,5.082491588464152499e-02,4.882227129726645076e-01,1.192841263158461729e-02
3.355704697986577195e-02,3.409424587091325343e-02,3.500512305881875452e-02,1.835142740003670170e-02,2.959514537923433330e-01,1.302345849951813683e-02,4.881467392996519106e-02,4.826647982049359631e-01,1.197499437058968663e-02
3.523489932885905812e-02,3.529937643375724576e-02,3.210283615976426003e-02,1.842555337271800653e-02,2.913138905374598187e-01,1.311531756223960343e-02,4.683586197889942626e-02,4.773551778464554252e-01,1.202156341527316208e-02
3.691275167785235123e-02,3.650925698253648655e-02,2.923436403345506390e-02,1.850014864339644127e-02,2.866797655720580984e-01,1.320709870669989350e-02,4.488708920822040427e-02,4.722718825017967470e-01,1.206813419285424072e-02
3.859060402684563740e-02,3.772389579478829802e-02,2.639997654856931358e-02,1.857521732018430072e-02,2.820493685558812524e-01,1.329883890319960571e-02,4.296742400268940831e-02,4.673950939206560351e-01,1.211471985263856688e-02
4.026845637583892357e-02,3.894330106161758565e-02,2.359981302036473494e-02,1.865076355350470116e-02,2.774228568493753433e-01,1.339057195893822438e-02,4.107549919566158558e-02,4.627080502625729452e-01,1.216133242714523277e-02
4.194630872483221667e-02,4.016748090200872312e-02,2.083384870214517043e-02,1.872679154452550065e-02,2.727996099774134264e-01,1.348232894427603412e-02,3.921030147212560546e-02,4.581955285136588563e-01,1.220798299795200492e-02
4.362416107382550284e-02,4.139644335861136781e-02,1.810220357385243506e-02,1.880330553855769082e-02,2.681803852144244438e-01,1.357413854941547093e-02,3.737113567351348087e-02,4.538444392501265190e-01,1.225468181130506817e-02
4.530201342281878901e-02,4.263019639445908560e-02,1.540507492141303045e-02,1.888030982771504718e-02,2.635652035897531054e-01,1.366602738452793453e-02,3.555690058461183356e-02,4.496428824155294657e-01,1.230143837410690999e-02
4.697986577181208212e-02,4.386874789258499163e-02,1.274244819476931870e-02,1.895780875591546177e-02,2.589535380013556765e-01,1.375802023055094914e-02,3.376687408598574164e-02,4.455806255927262649e-01,1.234826156192880831e-02
4.865771812080536829e-02,4.511210566334877825e-02,1.011468767982352975e-02,1.903580671351901010e-02,2.543457091997767261e-01,1.385014025614506039e-02,3.200043610728699195e-02,4.416476945581102598e-01,1.239515966883497633e-02
5.033557046979865446e-02,4.636027742913495509e-02,7.521564258782839456e-03,1.911430814491343888e-02,2.497416699721202449e-01,1.394240920126632588e-02,3.025664483519147074e-02,4.378358429992615930e-01,1.244214049775382858e-02
5.201342281879194757e-02,4.761327083115274306e-02,4.963571335812981544e-03,1.919331754073949625e-02,2.451418023225597764e-01,1.403484753880901437e-02,2.853496072759828528e-02,4.341374228787485134e-01,1.248921139335523733e-02
5.369127516778523374e-02,4.887109343140116913e-02,2.440584148029136674e-03,1.927283944684798911e-02,2.405457208286288506e-01,1.412747460787566745e-02,2.683496077223252591e-02,4.305454283081270317e-01,1.253637930212714302e-02
5.536912751677851990e-02,5.013375273736020432e-02,1.000000000000000021e-08,1.935287846057232031e-02,2.359532707874182345e-01,1.422030873747970325e-02,2.515572752882605512e-02,4.270536028462329492e-01,1.258365081412282649e-02
5.704697986577181301e-02,5.140133827855630777e-02,1.000000000000000021e-08,1.943343922416174152e-02,2.313655105441799475e-01,1.431336734878518868e-02,2.349699324243131882e-02,4.236560276980780304e-01,1.263103219742567340e-02
5.872483221476509918e-02,5.267392860370234686e-02,1.000000000000000021e-08,1.951452645447049328e-02,2.267809889559826986e-01,1.440666705149618032e-02,2.185803979785611723e-02,4.203474547130079397e-01,1.267852942371794356e-02
6.040268456375838535e-02,5.395152370867983826e-02,1.000000000000000021e-08,1.959614489967798079e-02,2.222006261625320556e-01,1.450022371619352768e-02,2.023852277166094532e-02,4.171231305797447608e-01,1.272614820664430546e-02
6.208053691275167846e-02,5.523412359243362602e-02,1.000000000000000021e-08,1.967829937214449210e-02,2.176246236371106035e-01,1.459405255288204195e-02,1.863788819597782254e-02,4.139783986225805679e-01,1.277389402703299481e-02
6.375838926174497157e-02,5.652172825427959069e-02,1.000000000000000021e-08,1.976099474431691760e-02,2.130527052749111583e-01,1.468816817488671767e-02,1.705575744726114951e-02,4.109092184593783892e-01,1.282177214261859266e-02
