# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
2.500000000000000000e-01,2.305555555604736906e-01,1.000000000000000021e-08,3.429006589682970230e-02,1.000000000000000021e-08,3.009902313722867540e-02,1.000000335415825228e-08,2.271059118951883060e-01,1.983302831105704378e-02
2.516778523489933139e-01,2.324036955294930262e-01,1.000000000000000021e-08,3.449703953066052264e-02,1.000000000000000021e-08,3.031167302437243194e-02,1.000000000000000021e-08,2.260863975951195592e-01,1.991970164243628272e-02
2.533557046979865723e-01,2.342568402835276675e-01,1.000000000000000021e-08,3.470605487276223755e-02,1.000000000000000021e-08,3.052632041046710043e-02,1.000000000000000021e-08,2.250727528349993067e-01,2.000698043713633467e-02
2.550335570469798863e-01,2.361149808237474890e-01,9.042894853327242740e-04,3.491713755411995912e-02,1.000000000000000021e-08,3.074299088219767384e-02,1.000000000000000021e-08,2.240649503245320528e-01,2.009487137024967840e-02
2.567114093959731447e-01,2.379779763199330045e-01,3.910234607466707424e-03,3.513031360015195226e-02,1.000000000000000021e-08,3.096171041802864288e-02,1.000000000000000021e-08,2.230629946201663771e-01,2.018338120381502065e-02
2.583892617449664586e-01,2.398457701338805315e-01,6.977268983743685482e-03,3.534560945299491941e-02,1.000000000000000021e-08,3.118250539129063803e-02,1.000000000000000186e-08,2.220668055307398747e-01,2.027251679573083276e-02
2.600671140939597170e-01,2.417183513374467907e-01,1.010555685962938668e-02,3.556305196052922390e-02,1.000000000000000021e-08,3.140540258374380223e-02,1.000000082142651116e-08,2.210763043301786634e-01,2.036228508784210245e-02
2.617449664429530309e-01,2.435957087738773730e-01,1.329554674280639115e-02,3.578266840043564656e-02,1.000000000000000021e-08,3.163042918969782846e-02,1.000000000000000021e-08,2.200913906553364774e-01,2.045269312739927958e-02
2.634228187919462894e-01,2.454778310728833457e-01,1.654769250545635312e-02,3.600448648086707060e-02,1.000000000000000021e-08,3.185761282328991584e-02,1.000000712905133997e-08,2.191121351417031626e-01,2.054374805388414771e-02
2.651006711409396033e-01,2.473647066375044279e-01,1.986193463852989338e-02,3.622853434785389126e-02,1.000000000000000021e-08,3.208698152822031524e-02,1.000000246440087217e-08,2.181383951493939266e-01,2.063545710548897461e-02
2.667785234899328617e-01,2.492563236452980391e-01,2.323928301534670254e-02,3.645484058852987985e-02,1.000000000000000021e-08,3.231856378630149074e-02,1.000000356440432352e-08,2.171701577612279443e-01,2.072782761950064945e-02
2.684563758389261756e-01,2.511526700516211186e-01,2.667977555660635408e-02,3.668343425345454989e-02,1.000000000000000021e-08,3.255238852406283634e-02,1.000000000000000186e-08,2.162074111965857637e-01,2.082086703842511710e-02
2.701342281879194340e-01,2.530537335897629081e-01,3.018372054718698044e-02,3.691434485515809882e-02,1.000000000000000021e-08,3.278848512182497288e-02,1.000000000000000021e-08,2.152500378120323354e-01,2.091458290822900690e-02
2.718120805369127480e-01,2.549595017607761971e-01,3.375168274290726855e-02,3.714760237570224888e-02,1.000000000000000021e-08,3.302688342257376064e-02,1.000000000000000021e-08,2.142979982886901169e-01,2.100898287767971606e-02
2.734899328859060619e-01,2.568699618343672775e-01,3.738397996631938336e-02,3.738323727296033461e-02,1.000000000000000021e-08,3.326761374120357218e-02,1.000000164285546394e-08,2.133512482586576442e-01,2.110407470829156473e-02
2.751677852348993203e-01,2.587851008626802507e-01,4.108113134365181524e-02,3.762128053144775386e-02,1.000000000000000021e-08,3.351070687298474127e-02,1.000000010756775821e-08,2.124098253932358293e-01,2.119986626847669697e-02
2.768456375838926342e-01,2.607049056587986691e-01,4.484314973412779903e-02,3.786176356727755099e-02,1.000000000000000021e-08,3.375619410015873179e-02,1.000000000000000021e-08,2.114736408526416978e-01,2.129636554216518540e-02
2.785234899328858926e-01,2.626293628069658048e-01,4.867088748409374721e-02,3.810471838005424772e-02,1.000000000000000021e-08,3.400410720936486442e-02,1.000000191246729844e-08,2.105426219950040645e-01,2.139358062249641090e-02
2.802013422818792066e-01,2.645584586613978217e-01,5.256454244139596027e-02,3.835017744395252670e-02,1.000000000000000021e-08,3.425447849471785489e-02,1.000000316835939981e-08,2.096166964828606871e-01,2.149151971764484692e-02
2.818791946308724650e-01,2.664921793391576976e-01,5.652447263200401084e-02,3.859817376328011918e-02,1.000000000000000021e-08,3.450734076164163611e-02,1.000000000000000021e-08,2.086959929160902560e-01,2.159019117505445173e-02
2.835570469798657789e-01,2.684305107252056288e-01,6.055107871324474922e-02,3.884874089691159327e-02,1.000000000000000021e-08,3.476272735075314202e-02,1.000000000000000021e-08,2.077802821979282677e-01,2.168960343198389484e-02
2.852348993288590373e-01,2.703734384672753510e-01,6.464508143079555902e-02,3.910191294248588356e-02,1.000000000000000021e-08,3.502067214046333810e-02,1.000000000000000021e-08,2.068696089468730348e-01,2.178976506815377689e-02
2.869127516778523512e-01,2.723209479810815292e-01,6.880658391204273749e-02,3.935772456377151229e-02,1.000000000000000021e-08,3.528120955680269510e-02,1.000000000000000021e-08,2.059639615457113382e-01,2.189068478428635167e-02
2.885906040268456652e-01,2.742730244462561195e-01,7.303623514569211606e-02,3.961621099372214516e-02,1.000000000000000021e-08,3.554437458577441866e-02,1.000000000000000021e-08,2.050631863140430500e-01,2.199237140809495727e-02
