# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
0.000000000000000000e+00,1.097577279565764563e-02,9.999999940395312703e-02,1.696152210951740180e-02,3.894339831954845010e-01,1.097577279565475905e-02,9.999972243765241353e-02,1.171965327521171929e+01,1.097577279504902137e-02
1.677852348993288554e-03,1.208774746152907476e-02,9.644252719615341307e-02,1.702705836828322106e-02,3.847283943678886375e-01,1.112963329025173920e-02,9.598947344373556789e-02,7.742104582527267187e-01,1.104366298043446548e-02
3.355704697986577108e-03,1.320429239883735839e-02,9.291689546512077458e-02,1.709299061363300787e-02,3.800256920589552556e-01,1.125539157013322189e-02,9.257362739123214945e-02,7.119509476667185144e-01,1.110152190011903794e-02
5.033557046979865446e-03,1.432541718353252946e-02,8.942308351977891479e-02,1.715932214732185379e-02,3.753266885527336560e-01,1.137163132572571733e-02,8.941190593154615951e-02,6.742311554271118723e-01,1.115608897432296409e-02
6.711409395973154217e-03,1.545113133270081818e-02,8.596137754306870660e-02,1.722605630755724704e-02,3.706305591151506929e-01,1.148217025332831653e-02,8.642298355527902598e-02,6.468446954855371356e-01,1.120870028047726841e-02
8.389261744966442988e-03,1.658144431180930134e-02,8.253161551125663686e-02,1.729319646480842465e-02,3.659377301668818028e-01,1.158877470116692621e-02,8.356640214338403871e-02,6.252269894769701963e-01,1.125997038146886453e-02
1.006711409395973089e-02,1.771636552436595125e-02,7.913406232693320774e-02,1.736074602988613158e-02,3.612482037587906869e-01,1.169246173766724795e-02,8.081814600206252419e-02,6.073116790286611222e-01,1.131025237967486774e-02
1.174496644295302053e-02,1.885590431152328605e-02,7.576877270167468870e-02,1.742870844487409698e-02,3.565624117237221613e-01,1.179389000323594061e-02,7.816141724255017131e-02,5.919810757241898980e-01,1.135977482925965010e-02
1.342281879194630843e-02,2.000006996421888061e-02,7.243573750236960429e-02,1.749708720180209731e-02,3.518793115494673884e-01,1.189351921529513412e-02,7.558467404442906212e-02,5.785611973722573076e-01,1.140869731037741364e-02
1.510067114093959634e-02,2.114887169703183467e-02,6.913540797597311771e-02,1.756588581494078483e-02,3.471996055716273233e-01,1.199168751260715204e-02,7.307871460782272566e-02,5.666134639849738086e-01,1.145713730553044041e-02
1.677852348993288598e-02,2.230231867286014413e-02,6.586757751273121519e-02,1.763510784166899548e-02,3.425237270944923029e-01,1.208865349738585948e-02,7.063656126790099354e-02,5.558360819641641193e-01,1.150518477853035293e-02
1.845637583892617561e-02,2.346041999112125076e-02,6.263249208643148491e-02,1.770475688459538510e-02,3.378508465204259625e-01,1.218462100880168819e-02,6.825236638787256227e-02,5.460119574810629040e-01,1.155291073695285942e-02
2.013422818791946178e-02,2.462318468389579351e-02,5.943005339615613225e-02,1.777483657867784395e-02,3.331812871790822417e-01,1.227975465680608558e-02,6.592140661237756716e-02,5.369796160898601123e-01,1.160037262314261852e-02
2.181208053691275142e-02,2.579062171935309067e-02,5.626068169571503408e-02,1.784535059948244573e-02,3.285151172128783492e-01,1.237419004414253010e-02,6.363985724315091019e-02,5.286164915909883355e-01,1.164761782968959380e-02
2.348993288590604106e-02,2.696273999704201785e-02,5.312426200920235264e-02,1.791630266637689317e-02,3.238530156997581622e-01,1.246804075257323952e-02,6.140415440756363114e-02,5.208256993619215791e-01,1.169468612796087381e-02
2.516778523489932723e-02,2.813954836026932860e-02,5.002087484963921304e-02,1.798769653831056026e-02,3.191938197027078816e-01,1.256140328505916948e-02,5.921158320659125618e-02,5.135310584478083307e-01,1.174161136266649308e-02
2.684563758389261687e-02,2.932105557182596023e-02,4.695074595872140988e-02,1.805953601179988155e-02,3.145383435082843571e-01,1.265436064666003446e-02,5.705948772268695096e-02,5.066704522331979543e-01,1.178842270583047025e-02
2.852348993288590651e-02,3.050727033230371532e-02,4.391403420268897434e-02,1.813182492836551418e-02,3.098862131316580948e-01,1.274698500799398282e-02,5.494555674374958926e-02,5.001926418992765910e-01,1.183514556016973529e-02
3.020134228187919267e-02,3.169820127624567441e-02,4.091090051182923876e-02,1.820456717465179786e-02,3.052376362253815811e-01,1.283933972042072824e-02,5.286804138224164562e-02,4.940554504823549964e-01,1.188180226493096292e-02
3.187919463087248578e-02,3.289385695897273365e-02,3.794102732480184037e-02,1.827776667706126901e-02,3.005928878012213978e-01,1.293148087113449307e-02,5.082493138160286417e-02,4.882226882087301600e-01,1.192841263266375407e-02
3.355704697986577195e-02,3.409424587214759939e-02,3.500507865731729285e-02,1.835142740443074238e-02,2.959513934651245570e-01,1.302345849961494828e-02,4.881462050471251091e-02,4.826647260105895176e-01,1.197499437119387000e-02
3.523489932885905812e-02,3.529937643361913402e-02,3.210264187576217926e-02,1.842555337270801452e-02,2.913136053625751121e-01,1.311531756220851719e-02,4.683584117771706634e-02,4.773551906755452157e-01,1.202156341413684881e-02
3.691275167785235123e-02,3.650925698323947977e-02,2.923447489460664211e-02,1.850014864272830906e-02,2.866800405702480403e-01,1.320709870648206774e-02,4.488722881096017525e-02,4.722718918883286321e-01,1.206813419431229661e-02
3.859060402684563740e-02,3.772389579454493713e-02,2.640002090095702747e-02,1.857521731992117786e-02,2.820493383730218184e-01,1.329883890317384854e-02,4.296741369000841443e-02,4.673951007559716819e-01,1.211471985162293485e-02
4.026845637583892357e-02,3.894330106192600560e-02,2.359983252681491228e-02,1.865076355375960837e-02,2.774227195683273695e-01,1.339057195903614605e-02,4.107549726961647746e-02,4.627080004397315927e-01,1.216133242589789720e-02
4.194630872483221667e-02,4.016748090090582757e-02,2.083386704771234693e-02,1.872679154513301469e-02,2.727997130979817886e-01,1.348232894393497361e-02,3.921037288219535177e-02,4.581956330129807187e-01,1.220798299861369784e-02
4.362416107382550284e-02,4.139644335781245132e-02,1.810222746151688225e-02,1.880330553812670225e-02,2.681808930921365519e-01,1.357413854981759371e-02,3.737118475142699875e-02,4.538444977379402223e-01,1.225468180987199229e-02
4.530201342281878901e-02,4.263019639235010594e-02,1.540501324770737583e-02,1.888030982828348137e-02,2.635649866070301495e-01,1.366602738462763256e-02,3.555696638399762077e-02,4.496429094431575457e-01,1.230143837494002135e-02
