# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000056e-01,8.555555557004335121e-02,1.000000000000000021e-08,2.168929883353731825e-02,1.153534667226098209e-01,1.681985950811415442e-02,1.000001643483308727e-08,3.563244895209982666e-01,1.389667694444640667e-02
1.010860144587248100e-01,8.646161599756219118e-02,1.000000000000000021e-08,2.175158786402375810e-02,1.124591067471695932e-01,1.688764790540320249e-02,1.000002777225982894e-08,3.549225033902433935e-01,1.393030378873183484e-02
1.021838231914952433e-01,8.737964741718062811e-02,1.000000000000000021e-08,2.181483949656803922e-02,1.095348581360169327e-01,1.695644958259068247e-02,1.000003882919158035e-08,3.535178438086098995e-01,1.396439096284396442e-02
1.032935542858326866e-01,8.830982636329953728e-02,1.000000000000000021e-08,2.187907226634555613e-02,1.065815090134052401e-01,1.702628444977727362e-02,1.000003131297918041e-08,3.521105614120135230e-01,1.399894648637556305e-02
1.044153372203076163e-01,8.925233232573170916e-02,1.000000000000000021e-08,2.194430519617118769e-02,1.035979271251291911e-01,1.709717291863044331e-02,1.000002488747308734e-08,3.507007362647882043e-01,1.403397854837096226e-02
1.055493028796464366e-01,9.020734776094840868e-02,1.000000000000000021e-08,2.201055774713700508e-02,1.005845052263052153e-01,1.716913591772750713e-02,1.000002905295026245e-08,3.492880957347814785e-01,1.406949553419367671e-02
1.066955835700026667e-01,9.117505818344984192e-02,1.000000000000000021e-08,2.207784988164562812e-02,9.754024235235045359e-02,1.724219490949341349e-02,1.000002406648561078e-08,3.478728518243756063e-01,1.410550601508264723e-02
1.078543130343937034e-01,9.215565219583821133e-02,1.000000000000000021e-08,2.214620205238482242e-02,9.446559871615811677e-02,1.731637190516388536e-02,1.000003136613029271e-08,3.464547864690303847e-01,1.414201875417231413e-02
1.090256264683055754e-01,9.314932156801947194e-02,1.000000000000000021e-08,2.221563522772029842e-02,9.135985032529704564e-02,1.739168948377489698e-02,1.000005444884927616e-08,3.450342086168723954e-01,1.417904272500991603e-02
1.102096605354666858e-01,9.415626127702370063e-02,1.000000000000000021e-08,2.228617091334061939e-02,8.822305598473859090e-02,1.746817080937423938e-02,1.000000000833923644e-08,3.436107114829670128e-01,1.421658710384843260e-02
1.114065533837934052e-01,9.517666957808468275e-02,1.000000000000000021e-08,2.235783114386036274e-02,8.505450444784909414e-02,1.754583964975653387e-02,1.000002042015820303e-08,3.421846368049831222e-01,1.425466127788821424e-02
