# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000048e-04,1.104191858175673779e-02,9.978698670991027753e-02,1.696541703215670438e-02,3.891536556174015615e-01,1.098853175059666398e-02,9.970017587168589213e-02,1.003256444782426149e+00,1.098117333460790768e-02
1.028895190478161178e-04,1.104383011755238897e-02,9.978090095379904545e-02,1.696552959702146701e-02,3.891451939481014310e-01,1.098886295947387737e-02,9.969209887080465737e-02,1.001109708545719013e+00,1.098131451014394688e-02
1.058625312989092701e-04,1.104579690071494369e-02,9.977463952565004957e-02,1.696564541309775187e-02,3.891370316764974358e-01,1.098920264522851298e-02,9.968388192095119227e-02,9.989604676228396318e-01,1.098145935037964094e-02
1.089214493052915631e-04,1.104782053136377229e-02,9.976809303288333708e-02,1.696576458414122968e-02,3.891285703686644393e-01,1.098955102412801921e-02,9.967507205740597231e-02,9.968079176234470040e-01,1.098160794559877029e-02
1.120687553301254571e-04,1.104990265143968031e-02,9.976137570636803287e-02,1.696588719582270421e-02,3.891196592837302681e-01,1.098990831335910912e-02,9.966645155642545051e-02,9.946516896815140729e-01,1.098176039335330145e-02
1.153070033620398800e-04,1.105204494933498260e-02,9.975444952443041080e-02,1.696601335106961983e-02,3.891107536213621043e-01,1.099027473421299028e-02,9.965740672734670069e-02,9.924947650886311035e-01,1.098191679420534861e-02
1.186388211876521101e-04,1.105424916792840939e-02,9.974729550354471952e-02,1.696614315377331650e-02,3.891011054131310321e-01,1.099065051940684157e-02,9.964815800757025055e-02,9.903318822323404769e-01,1.098207725203004248e-02
1.220669125239738303e-04,1.105651709688926232e-02,9.974014199571898387e-02,1.696627670938455346e-02,3.890915965975313418e-01,1.099103590358496696e-02,9.963867983821771135e-02,9.881687338350901850e-01,1.098224186808249847e-02
1.255940592124352249e-04,1.105885057850453101e-02,9.973253183228251995e-02,1.696641412608035360e-02,3.890818004376438433e-01,1.099143112802636324e-02,9.962884184967374379e-02,9.860013572005347227e-01,1.098241074498051972e-02
1.292231234763040030e-04,1.106125150599890361e-02,9.972496088889468147e-02,1.696655551351078373e-02,3.890717076785382700e-01,1.099183643743750771e-02,9.961887164070987177e-02,9.838295547589743784e-01,1.098258400277396518e-02
1.329570502433348911e-04,1.106372183306469914e-02,9.971701009970027063e-02,1.696670099044572666e-02,3.890610203454024640e-01,1.099225208866161374e-02,9.960861469158661941e-02,9.816560144492842976e-01,1.098276174792800486e-02
1.367988695355305069e-04,1.106626356197870642e-02,9.970871759321461858e-02,1.696685067124081847e-02,3.890502602578265190e-01,1.099267833645578563e-02,9.959803800730815393e-02,9.794785562225003517e-01,1.098294409198574684e-02
1.407516989279569274e-04,1.106887876113837876e-02,9.970042339909607199e-02,1.696700468027123598e-02,3.890391288608664455e-01,1.099311545031778081e-02,9.958716071058545949e-02,9.772978370830993633e-01,1.098313116077531681e-02
1.448187460786050460e-04,1.107156955173893564e-02,9.969161883060816132e-02,1.696716314106305745e-02,3.890277757521330981e-01,1.099356369909121334e-02,9.957605780384251593e-02,9.751145961847914601e-01,1.098332307277005704e-02
1.490033113313549390e-04,1.107433812375457904e-02,9.968279602498655856e-02,1.696732618292018380e-02,3.890162003712322458e-01,1.099402336432531158e-02,9.956473931074517891e-02,9.729291952666014875e-01,1.098351995047996965e-02
1.533087903941512010e-04,1.107718672017776740e-02,9.967365077945586349e-02,1.696749393599672473e-02,3.890040317431383565e-01,1.099449473038971448e-02,9.955298871658818660e-02,9.707394006280568588e-01,1.098372192115193435e-02
1.577386770945668698e-04,1.108011766317162916e-02,9.966420219309922446e-02,1.696766654517367634e-02,3.889915296108468201e-01,1.099497809285399086e-02,9.954090264274176314e-02,9.685466942075378061e-01,1.098392911783141468e-02
1.622965662149875271e-04,1.108313332643806604e-02,9.965446936085381457e-02,1.696784414086249804e-02,3.889787496519357957e-01,1.099547374600295946e-02,9.952851671279971946e-02,9.663497433417063132e-01,1.098414167357286697e-02
1.669861564097212649e-04,1.108623616569737180e-02,9.964443098182716729e-02,1.696802687267440213e-02,3.889655342360228141e-01,1.099598200046303376e-02,9.951595449597042120e-02,9.641509699491491725e-01,1.098435972786426795e-02
