# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000048e-04,1.104191858015668437e-02,9.978704452514614021e-02,1.696541702966403165e-02,3.891533017158507191e-01,1.098853174895642049e-02,9.970027847650639319e-02,1.003256188234931789e+00,1.098117333569903487e-02
1.028895190478161178e-04,1.104383011777931856e-02,9.978099207302840168e-02,1.696552959745512013e-02,3.891455823052636376e-01,1.098886295972900662e-02,9.969208567545752298e-02,1.001109985721013507e+00,1.098131451040595952e-02
1.058625312989092701e-04,1.104579690129270375e-02,9.977452129030880967e-02,1.696564541646838897e-02,3.891370094760636666e-01,1.098920264580960371e-02,9.968369278345648454e-02,9.989596012028798544e-01,1.098145935011829444e-02
1.089214493052915631e-04,1.104782053280284337e-02,9.976812704913724794e-02,1.696576458296061851e-02,3.891283626137276297e-01,1.098955102567167330e-02,9.967519501944500926e-02,9.968079643101033227e-01,1.098160794516944705e-02
1.120687553301254571e-04,1.104990265044714093e-02,9.976139069107156643e-02,1.696588719506553211e-02,3.891194561723226308e-01,1.098990831233082055e-02,9.966643547273164316e-02,9.946536460740749153e-01,1.098176039325871045e-02
1.153070033620398800e-04,1.105204494872036314e-02,9.975446450809359600e-02,1.696601335113712139e-02,3.891105499347697894e-01,1.099027473358793472e-02,9.965740905757029811e-02,9.924947573564819603e-01,1.098191679438320634e-02
1.186388211876521101e-04,1.105424916851904804e-02,9.974746745603005338e-02,1.696614315441413723e-02,3.891011985993793054e-01,1.099065052002989873e-02,9.964812990442759033e-02,9.903324556317334437e-01,1.098207725119970668e-02
1.220669125239738303e-04,1.105651709672206273e-02,9.974008563203770605e-02,1.696627670896577733e-02,3.890913975592944496e-01,1.099103590338801339e-02,9.963871203263881260e-02,9.881686257899049419e-01,1.098224186855101259e-02
1.255940592124352249e-04,1.105885057898436941e-02,9.973262825869179393e-02,1.696641412617827527e-02,3.890816014044181648e-01,1.099143112845379910e-02,9.962891701720755222e-02,9.860004532430428625e-01,1.098241074522343652e-02
1.292231234763040030e-04,1.106125150832260040e-02,9.972490512807025143e-02,1.696655551338355217e-02,3.890713602276233418e-01,1.099183643716394876e-02,9.961887250451406661e-02,9.838287652007662309e-01,1.098258400226703735e-02
1.329570502433348911e-04,1.106372183095882811e-02,9.971684972773270372e-02,1.696670098915564751e-02,3.890607482730272793e-01,1.099225208649134977e-02,9.960863971350225610e-02,9.816556107434779577e-01,1.098276174570622654e-02
1.367988695355305069e-04,1.106626356169937431e-02,9.970870939042125736e-02,1.696685067132297497e-02,3.890500670383901793e-01,1.099267833613293277e-02,9.959807972291717659e-02,9.794785952140347973e-01,1.098294409196443056e-02
1.407516989279569274e-04,1.106887876018181061e-02,9.970034150251769201e-02,1.696700468059186839e-02,3.890393814591563415e-01,1.099311544929593154e-02,9.958722866923572226e-02,9.772990534021035458e-01,1.098313116148275093e-02
1.448187460786050460e-04,1.107156955250809816e-02,9.969167005557913463e-02,1.696716314098956069e-02,3.890276573261853832e-01,1.099356369991122406e-02,9.957606725334292030e-02,9.751152536738049159e-01,1.098332307099325611e-02
1.490033113313549390e-04,1.107433812160940612e-02,9.968277118671585446e-02,1.696732618015284189e-02,3.890158593453971747e-01,1.099402336374977196e-02,9.956474925063778236e-02,9.729296367270683366e-01,1.098351994880386595e-02
