# # epsilon, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000048e-04,1.104191858204939258e-02,9.978698670991027753e-02,1.696541703206810858e-02,3.891535070601264690e-01,1.098853175086644818e-02,9.970017025381078257e-02,1.003255764132046757e+00,1.098117333472403701e-02
1.017215022999258935e-04,1.104305742729927431e-02,9.978347990595876071e-02,1.696548409512388389e-02,3.891484620700765285e-01,1.098872920399807107e-02,9.969528828453125269e-02,1.001970166263446149e+00,1.098125749206968482e-02
1.034726403015382866e-04,1.104421587665993520e-02,9.977982572578641962e-02,1.696555231148022536e-02,3.891436374984604263e-01,1.098892967012865540e-02,9.969039431694082243e-02,1.000683577584596584e+00,1.098134295162511709e-02
1.052539241841233034e-04,1.104539427684980701e-02,9.977586717557146434e-02,1.696562170451931806e-02,3.891385160936242649e-01,1.098913319528982413e-02,9.968553909601532426e-02,9.993960564197195140e-01,1.098142973431570635e-02
1.070658729097152465e-04,1.104659297391119566e-02,9.977206221771559025e-02,1.696569229471611706e-02,3.891334689784710643e-01,1.098933982812466681e-02,9.968034569644315668e-02,9.981066897220443046e-01,1.098151785553413973e-02
1.089090143742917251e-04,1.104781230664908520e-02,9.976825621558629842e-02,1.696576409963168608e-02,3.891287188140548636e-01,1.098954961186437984e-02,9.967547084969871629e-02,9.968170149772834776e-01,1.098160734182929144e-02
1.107838855615717722e-04,1.104905263562194762e-02,9.976416491937384334e-02,1.696583713928490056e-02,3.891230595075649834e-01,1.098976259140393985e-02,9.967004241946346432e-02,9.955261544567557408e-01,1.098169820906691463e-02
1.126910326994615016e-04,1.105031432350100928e-02,9.976013087645030364e-02,1.696591143733727769e-02,3.891179754832164717e-01,1.098997881822372236e-02,9.966464096168661801e-02,9.942335505110744265e-01,1.098179048462522012e-02
1.146310114191929642e-04,1.105159773904240694e-02,9.975586866382740725e-02,1.696598701654816743e-02,3.891124833242912695e-01,1.099019834192227485e-02,9.965930796488089993e-02,9.929402290022377731e-01,1.098188418346457418e-02
1.166043869172025656e-04,1.105290325159358211e-02,9.975162566022784116e-02,1.696606389518340308e-02,3.891071396775170887e-01,1.099042120677062861e-02,9.965373691167139780e-02,9.916455894924278702e-01,1.098197933102129653e-02
1.186117341197966840e-04,1.105423124938331725e-02,9.974732575876163465e-02,1.696614209931035511e-02,3.891011652656014563e-01,1.099064747068712045e-02,9.964822031379139133e-02,9.903493107730305667e-01,1.098207594998990011e-02
1.206536378506509714e-04,1.105558211214674458e-02,9.974314495072569842e-02,1.696622164954209033e-02,3.890956733439420168e-01,1.099087717690694355e-02,9.964262747606875137e-02,9.890528664955671179e-01,1.098217406150214792e-02
1.227306930011941755e-04,1.105695623838576225e-02,9.973869321886869033e-02,1.696630257009568155e-02,3.890897733221923560e-01,1.099111038155475839e-02,9.963686367140345279e-02,9.877548943480962684e-01,1.098227368961668393e-02
1.248435047039247276e-04,1.105835402719423932e-02,9.973424168570119153e-02,1.696638488431267966e-02,3.890838548366610805e-01,1.099134713546234821e-02,9.963097815275900881e-02,9.864565482269622709e-01,1.098237485070618913e-02
1.269926885087108799e-04,1.105977588522644162e-02,9.972967621443262765e-02,1.696646861591744049e-02,3.890779271646745419e-01,1.099158749076556418e-02,9.962506334014253895e-02,9.851570741973787460e-01,1.098247757834280858e-02
1.291788705621260518e-04,1.106122223028083162e-02,9.972499682059779436e-02,1.696655378918188184e-02,3.890716749110727513e-01,1.099183150452409663e-02,9.961910334900191122e-02,9.838556790178534239e-01,1.098258189284484487e-02
1.314026877898713346e-04,1.106269348070920699e-02,9.972018449908831572e-02,1.696664043074314066e-02,3.890655920484376029e-01,1.099207922610112576e-02,9.961280819784337770e-02,9.825539493029362692e-01,1.098268781716893461e-02
1.336647880823384281e-04,1.106419006599868027e-02,9.971539142991760196e-02,1.696672856358349968e-02,3.890590709877035369e-01,1.099233071695615571e-02,9.960670843059604707e-02,9.812500685595402228e-01,1.098279537778257264e-02
1.359658304833669346e-04,1.106571242507792263e-02,9.971067466793284706e-02,1.696681821476819785e-02,3.890528375888916424e-01,1.099258603040786930e-02,9.960030595792079833e-02,9.799449074838876284e-01,1.098290459872464098e-02
1.383064853822514411e-04,1.106726100255528422e-02,9.970557776302352293e-02,1.696690940958323068e-02,3.890460106424312725e-01,1.099284522327592661e-02,9.959386080128455887e-02,9.786405505706357033e-01,1.098301550224356493e-02
1.406874347090535744e-04,1.106883624361776342e-02,9.970055718797138367e-02,1.696700217623936524e-02,3.890394783154232372e-01,1.099310835535582953e-02,9.958740051153845696e-02,9.773337049535009147e-01,1.098312812456037069e-02
1.431093721332766557e-04,1.107043861378209648e-02,9.969534670200384807e-02,1.696709653980987831e-02,3.890324985588906603e-01,1.099337548326939640e-02,9.958076953481242999e-02,9.760266833008137688e-01,1.098324248040594142e-02
1.455730032659605241e-04,1.107206857811959821e-02,9.969002239607341331e-02,1.696719252811740297e-02,3.890255282028395878e-01,1.099364666718827266e-02,9.957400490689426176e-02,9.747168591523869274e-01,1.098335860056320890e-02
1.480790458652552139e-04,1.107372661264860447e-02,9.968485048939393356e-02,1.696729017082510005e-02,3.890184049326698146e-01,1.099392196837167823e-02,9.956713899244457044e-02,9.734054383864604310e-01,1.098347651340991771e-02
1.506282300455339003e-04,1.107541320071847579e-02,9.967922253000045807e-02,1.696738949471710001e-02,3.890111333941865257e-01,1.099420145053597864e-02,9.956024785683736944e-02,9.720947587545024637e-01,1.098359624427436287e-02
1.532212984901054240e-04,1.107712883713607432e-02,9.967374698677064493e-02,1.696749052951274095e-02,3.890041541461901620e-01,1.099448517111323298e-02,9.955317539835456531e-02,9.707836766399506878e-01,1.098371782401330599e-02
1.558590066675888982e-04,1.107887401393004012e-02,9.966811965425337316e-02,1.696759330563368806e-02,3.889967344807744309e-01,1.099477319271491282e-02,9.954600490263670887e-02,9.694685237490422436e-01,1.098384127587270775e-02
1.585421230520130923e-04,1.108064924892593339e-02,9.966241659870064828e-02,1.696769785027063548e-02,3.889890181759216858e-01,1.099506558583440707e-02,9.953869538766249581e-02,9.681541906526838215e-01,1.098396663304712639e-02
1.612714293467046680e-04,1.108245505630645056e-02,9.965671149334219547e-02,1.696780419695254061e-02,3.889815987992017443e-01,1.099536241191856334e-02,9.953132986414268968e-02,9.668391495088458631e-01,1.098409392105659244e-02
1.640477207120315413e-04,1.108429196287374907e-02,9.965079049846339854e-02,1.696791237477279779e-02,3.889737344098827543e-01,1.099566373699945032e-02,9.952372523946570460e-02,9.655216791232978935e-01,1.098422317304192930e-02
