# # alphas_L2, errors_L2, lambdas_L2, errors_L1, lambdas_L1, errors_Huber,lambdas_Huber, huber_params, errors_BO
1.000000000000000048e-04,1.104191858011915883e-02,9.978712797164882020e-02,1.696541702996645640e-02,3.891534805297850452e-01,1.098853174891378792e-02,9.970016684230710580e-02,1.003254879772057295e+00,1.098117333618375824e-02
1.030919824940233596e-04,1.104396405508634160e-02,9.978050452794343106e-02,1.696553748404205919e-02,3.891451673145637224e-01,1.098888612620996241e-02,9.969153128960484000e-02,1.000960512219045917e+00,1.098132438823262724e-02
1.062795685454800943e-04,1.104607279077729487e-02,9.977381015529562802e-02,1.696566166077118076e-02,3.891358151472278926e-01,1.098925020732810509e-02,9.968258764742984890e-02,9.986633626286200993e-01,1.098147963393447668e-02
1.095657141996298959e-04,1.104824674590920708e-02,9.976680698868926889e-02,1.696578968039763602e-02,3.891267600917148739e-01,1.098962425527294506e-02,9.967344781302264756e-02,9.963615513342797270e-01,1.098163918656025473e-02
1.129534669021340081e-04,1.105048794123120182e-02,9.975950044416202755e-02,1.696592166129384793e-02,3.891171485966145038e-01,1.099000854144738248e-02,9.966395899492264121e-02,9.940569078906507094e-01,1.098180316753327723e-02
1.164459683251404767e-04,1.105279844921258636e-02,9.975211772966688373e-02,1.696605772416903690e-02,3.891073517934042769e-01,1.099040333342227171e-02,9.965422503922367892e-02,9.917490761910667807e-01,1.098197169996517619e-02
1.200464572807498148e-04,1.105518041908171156e-02,9.974450724705200000e-02,1.696619799407295126e-02,3.890972954796667604e-01,1.099080891695725093e-02,9.964419058705772936e-02,9.894359238461698514e-01,1.098214490495830198e-02
1.237582727245657124e-04,1.105763606082321715e-02,9.973644075095200456e-02,1.696634260395191163e-02,3.890866086032650495e-01,1.099122558612464218e-02,9.963394660309710105e-02,9.871203913818318298e-01,1.098232290946143941e-02
1.275848568521149807e-04,1.106016765568229587e-02,9.972841295363507608e-02,1.696649168631125804e-02,3.890762165507747339e-01,1.099165363564491571e-02,9.962341147768664917e-02,9.848017879522598106e-01,1.098250585154469938e-02
1.315297582910071280e-04,1.106277754725693008e-02,9.972004578985334267e-02,1.696664538078085371e-02,3.890652334117271627e-01,1.099209336623996336e-02,9.961252647041132779e-02,9.824797311966945168e-01,1.098269386511396828e-02
1.355966353917961785e-04,1.106546816649145448e-02,9.971129654877528004e-02,1.696680383029169903e-02,3.890539537495035782e-01,1.099254509996794305e-02,9.960139421774356905e-02,9.801527023861367205e-01,1.098288708711714357e-02
1.397892596205952038e-04,1.106824200740019748e-02,9.970249102007694431e-02,1.696696718202495013e-02,3.890417468373880694e-01,1.099300915496659314e-02,9.958990109378716704e-02,9.778231630149660791e-01,1.098308565895989020e-02
1.441115190565887426e-04,1.107110164390312512e-02,9.969317281699011102e-02,1.696713558608053951e-02,3.890292805948899479e-01,1.099348586027426578e-02,9.957800792495849485e-02,9.754897715153243443e-01,1.098328973960815969e-02
1.485674219976896161e-04,1.107404973091941081e-02,9.968366414671120390e-02,1.696730919947464500e-02,3.890171092388445828e-01,1.099397555522285685e-02,9.956584813714583482e-02,9.731526229200671008e-01,1.098349946866705729e-02
1.531611006776799984e-04,1.107708900648818329e-02,9.967392941388437955e-02,1.696748818429938410e-02,3.890040501928190841e-01,1.099447858872371064e-02,9.955328831407220247e-02,9.708127525095633370e-01,1.098371500280737045e-02
1.578968150982871859e-04,1.108022229108973633e-02,9.966392947360885879e-02,1.696767270660393123e-02,3.889909915851771371e-01,1.099499531655379059e-02,9.954051568894975444e-02,9.684685674162789581e-01,1.098393650263129739e-02
1.627789569797466734e-04,1.108345249747477723e-02,9.965350282540857974e-02,1.696786293779495303e-02,3.889774882510423915e-01,1.099552610883103299e-02,9.952729872887564055e-02,9.661223748130279843e-01,1.098416413352210075e-02
1.678120538335141018e-04,1.108678261729600933e-02,9.964283967555867538e-02,1.696805905348841570e-02,3.889632805657625703e-01,1.099607133394586711e-02,9.951365021326884219e-02,9.637688499686511978e-01,1.098439806250017803e-02
1.730007731609074252e-04,1.109021574878732430e-02,9.963158850042441728e-02,1.696826123728456537e-02,3.889487210023526154e-01,1.099663138674289442e-02,9.949962524197611402e-02,9.614137859005277287e-01,1.098463846466635196e-02
1.783499267815677589e-04,1.109375507795484772e-02,9.962033859571703398e-02,1.696846967643783621e-02,3.889337354139655867e-01,1.099720665284742438e-02,9.948517506652726494e-02,9.590553872515801270e-01,1.098488551157117410e-02
1.838644752957571248e-04,1.109740389099322933e-02,9.960855793128653435e-02,1.696868456501343658e-02,3.889182867578071523e-01,1.099779754671526000e-02,9.947037471764301475e-02,9.566924698088579149e-01,1.098513939275591600e-02
1.895495326846298695e-04,1.110116557661666725e-02,9.959647467879090277e-02,1.696890610257950627e-02,3.889023379984128392e-01,1.099840448278444072e-02,9.945515569171872738e-02,9.543259523238258879e-01,1.098540029093242332e-02
1.954103710527417017e-04,1.110504362708719661e-02,9.958400346342327625e-02,1.696913449396730833e-02,3.888857222979368311e-01,1.099902788772455509e-02,9.943950676750307194e-02,9.519563484278064092e-01,1.098566840059134186e-02
2.014524255171983762e-04,1.110904164484338708e-02,9.957123940047934996e-02,1.696936995273712334e-02,3.888686622629696776e-01,1.099966820155429126e-02,9.942339119748078158e-02,9.495827773647913528e-01,1.098594391911422719e-02
2.076812992479756077e-04,1.111316334244882853e-02,9.955786923893875096e-02,1.696961269707886188e-02,3.888514546347872081e-01,1.100032587413046770e-02,9.940688596165707380e-02,9.472049219488484217e-01,1.098622704919982596e-02
