# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
0.000000000000000000e+00,1.097577279546690932e-02,1.000000072066609125e-01,1.696152210919521508e-02,3.894340040818461413e-01,1.097577279546713136e-02,9.999999663920255966e-02,2.142501979275153179e+00,1.097577279455386190e-02
1.002004008016031981e-03,1.163928867075325613e-02,9.787178744879514170e-02,1.700061255215556955e-02,3.866234488437997330e-01,1.107410160915334174e-02,9.748062132553668435e-02,8.188312210064929708e-01,1.101865402125667970e-02
2.004008016032063962e-03,1.230443311224460601e-02,9.575477391283435114e-02,1.703984374805012081e-02,3.838140781294972492e-01,1.115517023260892415e-02,9.529853306231990395e-02,7.585102199688796842e-01,1.105528954291867816e-02
3.006012024048095727e-03,1.297120816579511171e-02,9.364910691416977739e-02,1.707921639672416170e-02,3.810057217175245037e-01,1.123016725122738535e-02,9.326050503280432225e-02,7.220179226014435958e-01,1.108980514772039960e-02
4.008016032064127925e-03,1.363961587297990441e-02,9.155480559743688074e-02,1.711873120150841920e-02,3.781985107906624677e-01,1.130142892659335985e-02,9.132017495364376514e-02,6.955492040575025348e-01,1.112302751646687682e-02
5.010020040080160122e-03,1.430965826514896122e-02,8.947192538800237405e-02,1.715838886896348114e-02,3.753925425495449053e-01,1.137004564968013831e-02,8.945501796876806355e-02,6.746730426605770381e-01,1.115533895262921238e-02
6.012024048096191453e-03,1.498133736592444087e-02,8.740049112907474771e-02,1.719819010932388537e-02,3.725876756562022663e-01,1.143664952141465463e-02,8.765101420899454321e-02,6.573839107176586705e-01,1.118696002587915572e-02
7.014028056112223651e-03,1.565465519784736692e-02,8.534032288276652278e-02,1.723813564649012697e-02,3.697840011528780169e-01,1.150165212459142161e-02,8.589881199160334657e-02,6.425985202517727757e-01,1.121803395481757448e-02
8.016032064128255849e-03,1.632961376815300625e-02,8.329171759774504913e-02,1.727822619299979046e-02,3.669816048138797027e-01,1.156534201069936429e-02,8.419181048129723011e-02,6.296632393336711875e-01,1.124866099296673028e-02
9.018036072144287180e-03,1.700621508232535994e-02,8.125470156575154146e-02,1.731846248229973462e-02,3.641800599575274466e-01,1.162793218494995173e-02,8.252484381600536101e-02,6.181529927885224263e-01,1.127891507881395583e-02
