# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
1.000000000000000048e-04,1.104191858165926021e-02,9.978706403089292187e-02,1.696541703209852869e-02,3.891533772730166874e-01,1.098853175049785413e-02,9.970018259477286815e-02,1.003256384629134024e+00,1.098117333454662337e-02
1.017215022999258935e-04,1.104305742374100952e-02,9.978340971946601801e-02,1.696548409525999723e-02,3.891487010906954924e-01,1.098872920315407953e-02,9.969539665594412403e-02,1.001970354551559250e+00,1.098125749414058383e-02
1.034726403015382866e-04,1.104421587711423847e-02,9.977964134881391056e-02,1.696555231430996180e-02,3.891439507403403608e-01,1.098892967058562320e-02,9.969049383318796809e-02,1.000681962622721022e+00,1.098134295333386135e-02
1.052539241841233034e-04,1.104539427947126562e-02,9.977583505756373872e-02,1.696562170706927830e-02,3.891386066614269668e-01,1.098913319794836418e-02,9.968538169375279479e-02,9.993953541948090713e-01,1.098142973303450898e-02
1.070658729097152465e-04,1.104659297167964738e-02,9.977187666566997293e-02,1.696569229541955437e-02,3.891335409895243513e-01,1.098933982834293666e-02,9.968043545912165515e-02,9.981074900609203659e-01,1.098151785495826704e-02
1.089090143742917251e-04,1.104781230596141306e-02,9.976822291042099222e-02,1.696576409927685880e-02,3.891283454962326527e-01,1.098954961118159268e-02,9.967523532168562350e-02,9.968162756865981411e-01,1.098160734035080743e-02
1.107838855615717722e-04,1.104905263650746150e-02,9.976418870340936218e-02,1.696583714005805987e-02,3.891230016316247209e-01,1.098976259232342656e-02,9.966995027055981782e-02,9.955266804394402591e-01,1.098169820909156158e-02
1.126910326994615016e-04,1.105031432571568217e-02,9.976008092405215522e-02,1.696591143869552454e-02,3.891176578404035857e-01,1.098997881809005150e-02,9.966473602568115542e-02,9.942326684835638417e-01,1.098179048376424216e-02
1.146310114191929642e-04,1.105159773863384487e-02,9.975581871356345443e-02,1.696598701604257187e-02,3.891123141225683035e-01,1.099019834147019203e-02,9.965929155264680039e-02,9.929400740239689993e-01,1.098188418253376319e-02
1.166043869172025656e-04,1.105290325258945217e-02,9.975178500812537097e-02,1.696606389516230884e-02,3.891069751166980062e-01,1.099042120779181175e-02,9.965382199804642682e-02,9.916453281373627249e-01,1.098197933178624019e-02
1.186117341197966840e-04,1.105423124820914538e-02,9.974744704750412860e-02,1.696614209884517166e-02,3.891013346805047290e-01,1.099064746951983196e-02,9.964818117740312231e-02,9.903496033691607803e-01,1.098207594773803475e-02
1.206536378506509714e-04,1.105558211343282693e-02,9.974320440210854288e-02,1.696622164997974025e-02,3.890953974653149072e-01,1.099087717601077152e-02,9.964258060449469878e-02,9.890532273569989652e-01,1.098217406124879503e-02
1.227306930011941755e-04,1.105695623616442802e-02,9.973875266759810176e-02,1.696630256717091001e-02,3.890897386434352123e-01,1.099111037931543855e-02,9.963682816580535229e-02,9.877553690888947191e-01,1.098227368857163100e-02
1.248435047039247276e-04,1.105835402690891200e-02,9.973433917909199642e-02,1.696638488468127370e-02,3.890838758181649482e-01,1.099134713524252405e-02,9.963108935788003717e-02,9.864573475367960365e-01,1.098237485051611895e-02
1.269926885087108799e-04,1.105977588410134160e-02,9.972962152083614251e-02,1.696646860844897020e-02,3.890779388693762497e-01,1.099158748959938592e-02,9.962507533466882781e-02,9.851563724387597532e-01,1.098247757826698034e-02
1.291788705621260518e-04,1.106122222968841662e-02,9.972505626106192844e-02,1.696655378974387673e-02,3.890717051682682781e-01,1.099183150387550434e-02,9.961916063959899703e-02,9.838557771770846117e-01,1.098258189239387228e-02
1.314026877898713346e-04,1.106269347952149040e-02,9.972022491563911628e-02,1.696664043046980375e-02,3.890654727265590029e-01,1.099207922671818771e-02,9.961293322560541008e-02,9.825534190679686697e-01,1.098268781913436243e-02
1.336647880823384281e-04,1.106419006712400233e-02,9.971541282440228582e-02,1.696672856319891842e-02,3.890590166001309247e-01,1.099233071816319018e-02,9.960660471980886665e-02,9.812496807048027847e-01,1.098279537641055903e-02
1.359658304833669346e-04,1.106571242388598719e-02,9.971061998458299880e-02,1.696681821457701744e-02,3.890524863737170325e-01,1.099258602918551375e-02,9.960034940406704840e-02,9.799453691119796028e-01,1.098290459835404853e-02
1.383064853822514411e-04,1.106726100135624336e-02,9.970559915563481646e-02,1.696690940951595117e-02,3.890458820510380722e-01,1.099284522491394966e-02,9.959386549661561339e-02,9.786395146103598064e-01,1.098301550077984690e-02
1.406874347090535744e-04,1.106883624339127792e-02,9.970042644083487726e-02,1.696700217590496607e-02,3.890392778404700991e-01,1.099310835510092232e-02,9.958738164361012613e-02,9.773335939058468425e-01,1.098312812485535694e-02
1.431093721332766557e-04,1.107043861343393054e-02,9.969533243682698886e-02,1.696709653945416285e-02,3.890326737420112257e-01,1.099337548290413302e-02,9.958082487843145092e-02,9.760260583388926658e-01,1.098324248145410298e-02
1.455730032659605241e-04,1.107206857844844627e-02,9.969017927003881452e-02,1.696719252878819972e-02,3.890255596162644491e-01,1.099364666755131559e-02,9.957397045044145967e-02,9.747164617170053225e-01,1.098335860131616215e-02
1.480790458652552139e-04,1.107372661238992251e-02,9.968483384888723875e-02,1.696729017059905864e-02,3.890184369252127627e-01,1.099392197068360666e-02,9.956721981597860260e-02,9.734060378489950427e-01,1.098347651263797964e-02
1.506282300455339003e-04,1.107541320067761959e-02,9.967933898404535142e-02,1.696738949439691169e-02,3.890116105824016901e-01,1.099420144784279962e-02,9.956028589109869320e-02,9.720947284756367157e-01,1.098359624445344185e-02
1.532212984901054240e-04,1.107712883555755923e-02,9.967371133581778841e-02,1.696749053026769261e-02,3.890043391709184784e-01,1.099448516951673227e-02,9.955315999557512452e-02,9.707836558526325987e-01,1.098371782270768371e-02
1.558590066675888982e-04,1.107887401416118855e-02,9.966816005032011483e-02,1.696759330488362139e-02,3.889966598135606857e-01,1.099477319297337274e-02,9.954596706527742145e-02,9.694701139319479299e-01,1.098384127614893124e-02
1.585421230520130923e-04,1.108064924829599285e-02,9.966252352813098625e-02,1.696769785058549473e-02,3.889894628767622820e-01,1.099506558519491861e-02,9.953873266503729389e-02,9.681554269759482523e-01,1.098396663152023667e-02
1.612714293467046680e-04,1.108245505468063996e-02,9.965666871984876773e-02,1.696780419436905163e-02,3.889817281676892780e-01,1.099536241023990613e-02,9.953131686985992876e-02,9.668385689444837228e-01,1.098409392228738568e-02
1.640477207120315413e-04,1.108429196345439571e-02,9.965084751951699960e-02,1.696791237488337600e-02,3.889737895833779713e-01,1.099566373596250202e-02,9.952378833509339939e-02,9.655226233048345152e-01,1.098422317418423777e-02
1.668718059970651733e-04,1.108616050274013887e-02,9.964476531446819774e-02,1.696802241325756633e-02,3.889654802067694650e-01,1.099596962645543741e-02,9.951616554951156490e-02,9.642035270357204313e-01,1.098435441795664325e-02
1.697445079752325087e-04,1.108806122688910101e-02,9.963871674067642514e-02,1.696813435376109958e-02,3.889579129004452906e-01,1.099628015432507766e-02,9.950843200089873331e-02,9.628836847538508881e-01,1.098448768322080049e-02
1.726666635840240233e-04,1.108999468372751096e-02,9.963248799055973715e-02,1.696824821874498568e-02,3.889496038629993713e-01,1.099659538332753428e-02,9.950049896365573132e-02,9.615632021566622445e-01,1.098462300597979890e-02
1.756391241688282990e-04,1.109196143913271371e-02,9.962614085864200664e-02,1.696836404563062395e-02,3.889414433755525868e-01,1.099691538552116654e-02,9.949255437627910204e-02,9.602427329540179635e-01,1.098476041286211569e-02
