# reg_params,l2,l1,Huber 0.01,Huber 0.02,Huber 0.03,Huber 0.06,Huber 0.10,Huber 0.18,Huber 0.32,Huber 0.56,Huber 1.00,BO
1.000000000000000048e-04,8.820996700773940802e+01,2.238900834940519360e+02,1.261422165396361450e+01,1.823452846451734644e+01,2.605048312556185408e+01,3.679309544100445351e+01,5.117631044141023722e+01,6.920981399165361836e+01,8.619131098496440302e+01,8.820995468574864162e+01,8.820996700738797358e+01,6.197755182845332556e-01
1.149756995397735633e-04,8.221238346505589334e+01,2.053428453786128216e+02,1.150617312141428705e+01,1.667857529531754679e+01,2.387064398886125360e+01,3.375489745870591918e+01,4.699673987740450087e+01,6.365332153398829007e+01,7.982163712158101987e+01,8.221234685541014642e+01,8.221238346734396885e+01,6.197755182845332556e-01
1.321941148466028784e-04,7.661911710251419549e+01,1.883439007442404716e+02,1.048666103207587419e+01,1.524694610342681500e+01,2.186574462187015300e+01,3.096149656214387846e+01,4.315363434373202978e+01,5.853585594687937999e+01,7.386504574629880437e+01,7.661901678650967540e+01,7.661911710228655181e+01,6.197755182845332556e-01
1.519911082952933080e-04,7.140292547470441775e+01,1.727626347378233618e+02,9.548721332140697626e+00,1.392960962700304961e+01,2.002148447884677296e+01,2.839279752224401321e+01,3.961954176067260391e+01,5.382301686837203647e+01,6.830459082358737533e+01,7.140267060038408431e+01,7.140292547453870498e+01,6.197755182845332556e-01
1.747528400007682938e-04,6.653840270360024078e+01,1.584795239369158821e+02,8.685994668606303648e+00,1.271739103686533134e+01,1.832476908853778141e+01,2.603038194140268402e+01,3.636925752575845650e+01,4.948298026983655262e+01,6.312246812289532727e+01,6.653779925845154253e+01,6.653840270306392313e+01,6.197755182845332556e-01
2.009233002565047864e-04,6.200185572693660419e+01,1.453851896099356509e+02,7.892676517921064061e+00,1.160190139169642265e+01,1.676361094699941390e+01,2.385737017034019658e+01,3.337964371005173092e+01,4.548633158075473659e+01,5.830005902485321911e+01,6.200051817021368805e+01,6.200185572732652162e+01,6.197755182845332556e-01
2.310129700083160510e-04,5.777118888839541455e+01,1.333795321266792087e+02,7.163471290505373013e+00,1.057547297505256267e+01,1.532703794443184719e+01,2.185829483693775899e+01,3.062946267097738939e+01,4.180590433023535724e+01,5.381818242210587755e+01,5.776840165791844584e+01,5.777118889245312516e+01,6.197755182845332556e-01
2.656087782946686443e-04,5.382579635674837704e+01,1.223709396595940291e+02,6.493549997836369769e+00,9.631099987535550966e+00,1.400500982653969650e+01,2.001898432648300030e+01,2.809922381572797434e+01,3.841662547465132604e+01,4.965741439201414664e+01,5.382031527098817492e+01,5.382579635271802232e+01,6.197755182845332556e-01
3.053855508833415791e-04,5.014646170292544980e+01,1.122755646289356406e+02,5.878511086247920403e+00,8.762384110810298665e+00,1.278834157462339149e+01,1.832645702660834530e+01,2.577104251707602245e+01,3.529536822104469707e+01,4.579839726037686631e+01,5.013625592390740593e+01,5.014646170690476623e+01,6.197755182845332556e-01
3.511191734215130954e-04,4.671526436810076177e+01,1.030166622179343108e+02,5.314344045718426557e+00,7.963484487516378607e+00,1.166863317736272521e+01,1.676882339466362026e+01,2.362851096397728412e+01,3.242081271807136034e+01,4.222210266085366470e+01,4.669721856963463580e+01,4.671526436523881642e+01,6.197755182845332556e-01
